gene_id,meta_log2FC,meta_SE,meta_z,meta_pvalue,tau2,I2,n_datasets,n_up,n_down,meta_padj,frac_concordant,replicated
90271,-29.9198068478621,9.98569771049766,-2.99626603120665,0.00273307882060267,0,0,2,0,2,0.141323986190884,1,TRUE
168620,129.031415376976,43.0672330663672,2.99604609328248,0.00273505088011111,0,0,2,2,0,0.141323986190884,1,TRUE
84419,243.854049448584,81.5011624613949,2.99203155002963,0.00277127621100123,0,0,2,2,0,0.142426742773314,1,TRUE
23035,-0.451025311422851,0.150754588691391,-2.99178496215556,0.00277351552502174,0,0,3,1,2,0.142426742773314,0.666666666666667,TRUE
221908,32.658333494033,10.9183297809279,2.99114737778672,0.00277931322028695,0,0,2,2,0,0.142426742773314,1,TRUE
79568,-0.382098994790718,0.127758907456411,-2.99078164018493,0.00278264394691203,0,0,3,1,2,0.142426742773314,0.666666666666667,TRUE
10963,-1.60690522242314,0.53741630450983,-2.99005670080809,0.00278925665619873,0,0,3,1,2,0.142429289300764,0.666666666666667,TRUE
54165,0.343933773909939,0.115263820944143,2.98388315685464,0.00284615435437313,6.39920131361324e-07,1.15920832328408e-07,3,2,1,0.144993525348839,0.666666666666667,TRUE
339287,0.347566760905687,0.116573118083035,2.98153439335915,0.00286807828889212,0,0,3,2,1,0.145768231909922,0.666666666666667,TRUE
283130,27.8331178938153,9.34457938848238,2.97853083982794,0.00289633880920362,0,0,2,2,0,0.146860618778824,1,TRUE
400761,5.71804078361619,1.92153556602548,2.97576630103362,0.00292257483364216,0,0,2,2,0,0.147845498927045,1,TRUE
90121,-0.39888056856777,0.13415012713924,-2.97338941880954,0.00294530513032864,2.10240736032008e-07,1.06291240532669e-07,3,1,2,0.148520737518403,0.666666666666667,TRUE
221935,64.3637191384597,21.6498464220552,2.97294114164667,0.00294961007604975,0,0,2,2,0,0.148520737518403,1,TRUE
83690,-317.01645234006,106.70341699636,-2.97100562722255,0.00296826341931283,0,0,2,0,2,0.148806353301393,1,TRUE
728577,-69.7361466655043,23.4747886037944,-2.97068262647666,0.00297138676855413,0,0,2,0,2,0.148806353301393,1,TRUE
6188,-0.356825856596705,0.120134434191255,-2.97022131080781,0.00297585279388095,0,0,3,2,1,0.148806353301393,0.666666666666667,TRUE
