,meta_log2FC,meta_SE,meta_z,meta_pvalue,meta_padj,n_datasets,n_concordant,frac_concordant,replicated
4735,0.13900277126453284,0.026736919763317525,5.198907446894523,2.0046330322427445e-07,1.3464933538983048e-06,3,2,0.6666666666666666,True
56957,-0.15886446373996593,0.030562893092910732,-5.197952407745575,2.0149569724169657e-07,1.352836831917504e-06,4,4,1.0,True
2352,-0.31111328284225936,0.059856979724896314,-5.1976107760889585,2.0186624625381896e-07,1.3547331017688637e-06,4,3,0.75,True
1553,0.9545061685470022,0.18368146665220725,5.196529546197045,2.0304334241403444e-07,1.3620381281046158e-06,3,3,1.0,True
27074,-0.3111931653452372,0.05989369632252363,-5.195758225865414,2.0388710230982586e-07,1.3671016999623081e-06,4,4,1.0,True
23307,-0.27454807703404094,0.05284195758792487,-5.195645459902096,2.0401074241265156e-07,1.3673344222295194e-06,3,3,1.0,True
9639,-0.2041630448441558,0.03929784680843996,-5.195273060108421,2.0441956810523172e-07,1.3694774987441994e-06,4,2,0.5,False
4281,0.11148631171588476,0.021463420357709883,5.19424722890626,2.0554983871093668e-07,1.3764498127964508e-06,4,4,1.0,True
64377,0.17163748460153944,0.03304724590839946,5.193700106728565,2.061551303775297e-07,1.3791824677213994e-06,4,4,1.0,True
4313,0.1518626684840034,0.02924014912345067,5.193635225417136,2.0622702395391854e-07,1.3791824677213994e-06,4,4,1.0,True
147687,0.17530764924339765,0.03375364507881388,5.193739782297849,2.0611117867369392e-07,1.3791824677213994e-06,3,3,1.0,True
9559,-0.16563754942555586,0.03189428205255287,-5.193330552248565,2.065649498641903e-07,1.3808417844182286e-06,4,4,1.0,True
9627,0.1226196458324811,0.0236135239795061,5.1927719868877364,2.0718586874060727e-07,1.3843905831755049e-06,4,4,1.0,True
124930,0.14527708473261433,0.027977343480451226,5.192669019277139,2.0730052752020654e-07,1.3845550002707103e-06,4,4,1.0,True
2987,-0.15467825149354383,0.029802940718595308,-5.190033190148701,2.102565995303935e-07,1.40368876151967e-06,4,4,1.0,True
