entrez_id,meta_log2FC,meta_SE,meta_z,meta_pvalue,meta_padj,n_datasets,n_concordant,frac_concordant,replicated
3400,-0.024373916743479263,0.050899843111950276,-0.4788603510991324,0.6320379790554927,0.7271512365968624,3,2,0.6666666666666666,True
3416,0.2814328929540032,0.04982291602028183,5.648663615743366,1.6169990842864677e-08,6.515997288595901e-08,3,3,1.0,True
3417,-0.3811900624374669,0.05529647755817574,-6.8935686190215,5.440985477245645e-12,2.805781406821768e-11,3,3,1.0,True
3418,0.6221629782171836,0.061141852795277285,10.175729876887877,2.5448490386542536e-24,2.691482891652054e-23,3,3,1.0,True
3419,-0.4734985686807905,0.04316865619711801,-10.968573274986536,5.41196009690962e-28,6.909968276705378e-27,3,3,1.0,True
3420,-0.41979897698980534,0.03832824010441828,-10.952732915629307,6.447252738665825e-28,8.202153767326359e-27,3,3,1.0,True
3421,-0.27999237236122565,0.04919793120783192,-5.6911411819010205,1.2619310992367193e-08,5.137981169700459e-08,3,3,1.0,True
3422,-0.024537784401045728,0.06478684867011159,-0.3787463799325967,0.7048762084964512,0.785577030273968,3,1,0.3333333333333333,False
3423,-0.021441719436517924,0.047934072370281716,-0.4473168745372741,0.654646284840014,0.7454688013116421,3,2,0.6666666666666666,True
3425,0.026922142992470078,0.03989308569663374,0.6748573724579501,0.49976638548485086,0.6112489267222141,3,1,0.3333333333333333,False
3426,2.067649490815288,0.17269406505535517,11.972904165250414,4.927320280801892e-33,8.088662781228674e-32,3,3,1.0,True
3428,1.488278164143232,0.10259440520492207,14.506426165935125,1.1032047725899054e-47,3.749075256066878e-46,3,3,1.0,True
3429,0.03588150945810916,0.08072126731469509,0.44451122550174615,0.6566730147491877,0.7468472817931884,3,2,0.6666666666666666,True
3430,0.7445215655447673,0.05764268828606653,12.916149258165916,3.6495394617383307e-38,7.854139541960557e-37,3,3,1.0,True
3431,1.174452881211072,0.0761989626121914,15.412977302438579,1.3389798489893287e-53,6.0476848535887305e-52,3,3,1.0,True
3433,0.4780164771567835,0.11983121408560458,3.9890814826869723,6.632963599006517e-05,0.00019088409863372746,3,2,0.6666666666666666,True
3434,-0.051158403801598626,0.13610367732786455,-0.37587818937736334,0.7070074558827724,0.7872065530235601,3,1,0.3333333333333333,False
3437,1.231938040369481,0.10056461660212895,12.250213663554115,1.6755389871971746e-34,2.993193508148474e-33,3,3,1.0,True
3439,-0.0027644804005838375,0.021607879596238003,-0.12793853225029733,0.8981976172725207,0.9303958044666846,2,1,0.5,True
3440,-0.02589365243526277,0.014231540883771328,-1.8194552962841932,0.06884199706670495,0.11808723040547196,3,2,0.6666666666666666,True
3441,-0.0023452001343066842,0.008779227819573132,-0.26713057030802895,0.7893686308527389,0.8493594091654443,2,2,1.0,True
