drug,reversal_score,best_adj_pvalue,l2s2_rank
brd-u74615290,44.497182668431066,0.056227302341098254,321
sar-245408,44.081879882654626,0.03999718912593559,322
brd-k29143967,44.04525899561418,0.01426732936330992,323
bms-754807,44.01936570127745,0.04224194083927381,324
thiothixene,44.016738451665674,0.07688895145578724,325
abt-737,43.621799321679,0.05736467952397277,326
brd-k16290432,43.50033611705121,0.1111323503994005,327
brd-k93229693,43.447215004937185,0.14419129503283878,328
364947,43.38930188388156,0.05469135126291278,329
1478,42.92892625019806,0.05038930912334572,330
kin001-242,42.80247075272736,0.004889626996576767,331
acid,42.6806289849196,0.11855093603684813,332
gr-103,42.67705615648603,0.17983266667182543,333
cyclosporine,42.33478996733036,0.07357997033809598,334
acetate,42.32901156124798,0.024409605635341846,335
(wortmannin),42.040986631868016,0.11599446894414767,336
brd-k41859756,41.84179496928684,0.029960037594063904,337
mls-0390857.0001,41.62458309597999,0.1315818343143168,338
bml-259,41.583392860236714,0.14995582627174014,339
407824,41.55959907839574,0.024593801476270258,340
at7867,41.52322055387338,0.027383398972596267,341
tg101348,41.29169443668255,0.02543079087449356,342
lovastatin,41.12543975660222,0.017733847299678425,343
ncgc00165289-01,41.09917410511147,0.05038930912334572,344
oxiconazole,41.06069142799587,0.1494888886952249,345
brd-k30804015,40.93716145217896,0.09153507507206639,346
beclomethasone,40.53076703240729,0.07244705075101382,347
tyrphostin-ag-1478,40.074856868959195,0.12703849293604444,348
valdecoxib,39.98815508572178,0.07494428038716734,349
"ly-165,163",39.784930349191754,0.08144962919956159,350
ncgc00025228-11,39.6859029519894,0.03552193204621196,351
hy-11007,39.46870989055913,0.052501531745763934,352
brd-k05649647,39.382771304890866,0.046679744161004996,353
simvastatin,39.21618682709676,0.029011644941710973,354
nvp-bgj398,38.92668262144453,0.01100668977979556,355
wortmannin,38.88341474359375,0.06315668261115871,356
mls-0315803,38.87726922678089,0.10667145401160054,357
brd-k64835161,38.81936703082998,0.2773650400673396,358
brd-k48388979,38.81936703082998,0.2773650400673396,359
brd-k39829853,38.81936703082998,0.2773650400673396,360
brd-k73819439,38.81936703082998,0.2201197469666296,361
brd-k70229243,38.81936703082998,0.2773650400673396,362
brd-k45878950,38.81936703082998,0.2201197469666296,363
16-hydroxytriptolide,38.76837176315979,0.011652522528553068,364
tegaserod,38.69039403313537,0.07223921612491836,365
purmorphamine,38.67507166021612,0.06445967785504314,366
95397,38.48295015509891,0.05578129408929417,367
auranofin,38.40475614876067,0.04750618305487467,368
brd-k19540840,38.30657407116387,0.03086643369613322,369
doramapimod,38.20527860821472,0.03525422039706578,370
inhibitor,37.942121407066786,0.07688895145578724,371
akti-1/2,37.92721712003686,0.05835083427922499,372
brd-k57037351,37.79590890867508,0.0798261290020526,373
gemcitabine,37.72856898731618,0.03949233256324277,374
brd-a25170757,37.18389797506972,0.06693804183334892,375
brd-u33728988,37.143638327623066,0.004397445039811173,376
brd-k88198340,37.126059895359795,0.03471406103864715,377
brd-k56343971,36.96645161695071,0.0798261290020526,378
brd-k24346336,36.87343378412446,0.15938329139733562,379
pp-110,36.83254719745407,0.03384849243064676,380
brd-k49371609,36.80846047393638,0.029288440634097673,381
pazopanib,36.78949684206089,0.009651712426992028,382
importazole,36.52071958533972,0.02551413217134583,383
ag14361,36.348177317322246,0.14579149896243832,384
brd-k79404599,36.177658373972704,0.2201197469666296,385
propionate,36.02251415461855,0.05336209056423814,386
s1019,35.92525921748227,0.021637471139253663,387
brd-k86269644,35.840551576059575,0.012103484117607156,388
s1035,35.67424995482059,0.16801457586372248,389
brd-k62818989,35.57650656714653,0.05874024336221468,390
isotretinoin,35.557797465840046,0.06543702062651854,391
11,35.42974524010778,0.0923937688850989,392
kin001-244,35.36777623948951,0.05846961669627599,393
lonidamine,35.25924590983672,0.15938329139733562,394
l-sulforophane,35.09836226966194,0.09423433906781553,395
pik-90,35.078989090519016,0.059954401719816794,396
brd-k32101742,35.0290834266627,0.16387808719976454,397
brd-a42737819,35.0290834266627,0.16387808719976454,398
rondual-kinase-inhibitor,34.91366589623828,0.08566078266189399,399
brd-k45044657,34.80195498382336,0.03518864786938772,400
elesclomol,34.78080788768792,0.020227496220626282,401
podofilox,34.74200636165769,0.10210979283956133,402
pyrazolanthrone,34.54783525609703,0.07223921612491836,403
brd-k61776140,34.46985064727603,0.10281622801468479,404
brd-k89224880,34.416212196523844,0.09153507507206639,405
cortisone,34.366128953287195,0.11466502121855775,406
brd-k32238524,34.24811184824394,0.1056004289862053,407
k3644,34.24811184824394,0.06631563978265523,408
?,34.196642372582836,0.059792435976691725,409
glimepiride,33.8249677445728,0.04855127066678622,410
cilostazol,33.71572144348522,0.23086275587178387,411
brd-k15640888,33.71572144348522,0.2312380576111384,412
brd-k56596360,33.71572144348522,0.2312380576111384,413
yc-1,33.71572144348522,0.2312380576111384,414
sant-1,33.71572144348522,0.2887955181089771,415
cilnidipine,33.71572144348522,0.24238113451224136,416
isoliquiritigenin,33.59268636979197,0.07223921612491836,417
vx-745,33.570552102340585,0.0798261290020526,418
brd-k50234570,33.4510086734022,0.09069027883108254,419
indirubin-3-oxime,33.41801147174506,0.07988911805283072,420
dihydrate,33.388530262262535,0.12063166956314594,421
vu0415533-1,33.29751719214051,0.10694440518725189,422
697,33.29751719214051,0.0681677386037,423
ncgc00183218-01,33.29751719214051,0.10694440518725189,424
brd-k74949371,33.29751719214051,0.0681677386037,425
chloroxine,33.27901467845985,0.059792435976691725,426
brd-k51189903,33.04448943824818,0.10984209103709762,427
ncgc00186073-01,32.87544044801305,0.1494888886952249,428
2536,32.81827519303176,0.01826295933563791,429
7b-cis,32.79086137479709,0.0747937233211576,430
415286,32.75806304233373,0.15123945388490162,431
mw-a1-12,32.325904056985635,0.12872306110797258,432
brd-k24859147,32.29700614624507,0.19563852420321398,433
hy-10966,32.29700614624507,0.19563852420321398,434
brd-k08316444,32.232588424031306,0.07159868482421981,435
curcumin,32.22716835132386,0.03012248436133591,436
ncgc00167107-01,32.18875083166573,0.0828547080613641,437
cgk-733,32.16828963289711,0.014818290848632442,438
brd-k75081836,32.095419987277815,0.03604134658561876,439
brd-k72703948,32.09117383810898,0.10667145401160054,440
hy-11068,31.881036598167167,0.04536599298729145,441
brd-k58618158,31.75207337759583,0.12286351109815678,442
brd-k87573634,31.75207337759583,0.12286351109815678,443
parbendazole,31.702122033828857,0.06402263710432805,444
nu7026,31.612521513520754,0.2312380576111384,445
rg-108,31.51265895781099,0.031358853027386266,446
brd-a77467113,31.478887697989343,0.08183305979626769,447
brd-a68739437,31.336568553482874,0.1822292642832548,448
a1,31.23682601834091,0.10228310902683603,449
750,31.226587120005977,0.10281622801468479,450
brd-k23931216,31.065698592909158,0.09153507507206639,451
bs-181,31.052882779912146,0.11855093603684813,452
cay10594,30.983161224087596,0.10442617633419515,453
narciclasine,30.811946628094123,0.011183810380596229,454
brd-k10114046,30.675032473260696,0.11599446894414767,455
brd-k68588778,30.59546447687914,0.14131238607548646,456
pp-30,30.331084523960236,0.09153507507206639,457
tetramethyl-,30.29152577028359,0.12718535638534448,458
brd-k84677391,30.29152577028359,0.17783915029988223,459
chaetocin,30.262172427740133,0.031358853027386266,460
c646,30.142299145119864,0.008074334712729513,461
brd-k98426715,30.137258791571814,0.23732184383742772,462
brd-k74486276,30.12654543963017,0.09642124298447881,463
brd-a32449311,30.12169470934715,0.04368893264421434,464
sodium,30.079561468001017,0.12352496446574443,465
brd-a19248578,30.001859156775897,0.12352496446574443,466
a8674,29.93428765270985,0.08986018410545271,467
(digoxin),29.919865822120894,0.019567685810828482,468
brd-k07395346,29.87029076718715,0.07688895145578724,469
j2,29.73922851586607,0.04168439307355825,470
brd-k52075040,29.733878873436158,0.04750618305487467,471
brd-k71382703,29.640520020250488,0.24999707797016324,472
ncgc00184891-01,29.640520020250488,0.23007500664034206,473
kuc104127n,29.640520020250488,0.2429003754960052,474
sulfosalicylate,29.640520020250488,0.30039327583125475,475
brd-k91145395,29.4845119730332,0.024643314270559536,476
x,29.48350102722387,0.1111323503994005,477
dactinomycin,29.431080970523514,0.04534137640628466,478
brd-k02113016,29.413798237787617,0.16783424555143525,479
v2264,29.332176128535693,0.10228310902683603,480
mln4924,29.26387488903212,0.04168439307355825,481
brd-k30849099,29.251902138653186,0.051746757380827485,482
