entrez,log2FoldChange,pvalue,padj
89,-0.08498348288218693,0.7353191586004889,0.8706992909962487
90,0.043485201059958456,0.7823158492556394,0.8949301334238622
91,-1.2662479671481925,0.0019555904378441725,0.031059459534199356
92,-0.019643759446081432,0.8939721326365638,0.95248095761054
93,-0.055255945438831944,0.7585199591851608,0.8836303092300141
94,-0.4975684184728033,0.02386918771537765,0.13011432222586203
97,0.1995453218375065,0.491344032261719,0.7144386418183176
100,0.40981962851789433,0.017846827526975605,0.10964642285907975
101,-1.5073584993757452,0.01861449125946627,0.11196534212633011
102,0.6784138330527281,0.001091852010480977,0.022891976345079546
103,0.21305860112381403,0.01858330095792607,0.11196534212633011
104,-0.8805333571993592,0.0013456221317806538,0.025649698855832598
105,0.013936873608317413,0.9640519219812789,0.9855421656490676
107,-0.48955166379266046,0.1747210749703631,0.41064336183573474
108,-2.5275927930300375,0.00019263888784017475,0.008814316915282575
109,-0.33003696635934787,0.09296872381060885,0.2876320949302484
112,-0.5449820528187246,0.0018713535641393926,0.030348887532545915
113,0.5917855310473747,0.01526167238299434,0.09947142079609574
114,-1.188346216191329,0.022342402282109885,0.12518374404130111
115,-0.3740526821686849,0.08467261148964508,0.2718635465834297
116,0.23438844793773317,0.4183743646418583,0.6568011812959369
117,-1.157680930284961,0.008605206025339877,0.07093962481045078
118,-1.1355673164784186,5.7863096613051806e-05,0.0047501001641892535
119,0.6229903318287988,0.1797404584060297,0.4177259735775511
120,0.7426260743592454,0.005159427242983612,0.05374825491136224
123,-0.44250499357800877,0.16128299474274374,0.3928568441379951
124,-1.0442938259097758,0.046086666638258965,0.19285430848832386
125,-1.6130897903849029,0.2445098411541388,0.49262321794192354
126,-0.9544369970110047,0.22701081024276037,0.47457377658686833
128,0.1191125711157035,0.5835099370531378,0.7788171265262097
130,-0.4391722641148226,0.2849288953850455,0.5363185854506279
131,-0.22189134478192685,0.28472388945696997,0.5363176042858904
132,-0.36038739290314936,0.23246740584385214,0.47987816372201375
133,-0.8569141275457799,0.029818560829337246,0.14914635038386576
134,-0.54525160222612,0.008006621715167035,0.06799220719476641
136,0.056977164725600105,0.7741720011509499,0.8903966175458348
140,-0.874796474956181,0.012975396843842923,0.08993180960228672
141,-1.0576179298719612,0.016414526474201982,0.10400663612079077
142,0.33691194592038265,0.000329300610105349,0.01146532108590233
143,0.3521423072173011,0.00981912225842753,0.07694239616621432
146,-0.5434122456027124,0.11630372014082768,0.32678874473704844
147,0.9802762515978243,0.04475655795117335,0.18971093414989457
148,-0.7336123033310145,0.06274716331985487,0.22985287526817788
150,-0.6151594876352711,0.07814101480948533,0.2598830198507107
151,-0.21409460483466702,0.5905558406722139,0.7824955946087918
152,-0.037638845306549484,0.9152068469910465,0.9629811866164795
153,-0.5716010279705279,0.2717283925818611,0.5231606963760869
154,0.5005130822162851,0.03966501559475495,0.17744540102347411
155,-0.6351507211625753,0.060211037189246204,0.22492414384787104
156,-1.431218348804106,9.095322089452075e-05,0.006104550063833151
157,0.17296560054422194,0.3461629777557326,0.593898185504388
158,-0.16200802622000765,0.23173469416138845,0.479634252364656
159,-0.15883862235327761,0.26674160409413417,0.5176063009134064
161,-0.2740736784750908,0.10086519665075963,0.3013648668502114
162,-0.09086562585011748,0.7751022905709304,0.8909318240375551
163,-0.21712915861129467,0.15391049896155354,0.3820416228539933
164,-0.04255892670107819,0.8120077787665292,0.9112595353673736
165,-0.13523907083600406,0.7311887448105467,0.8685010021648941
166,-0.20772684327766378,0.20238670918143048,0.44669007930762833
167,-0.584586090508115,0.2492500784912624,0.49803080156212337
173,0.04932866499157029,0.9195369719918647,0.9650900094859882
174,0.17977332156349313,0.6082481281360721,0.7936288230036359
175,0.9090947676390249,0.0008154483376273935,0.01935727905701185
176,1.0514628077084307,0.02139668337122258,0.12171413396187487
177,0.4721290283630273,0.17519912236093,0.41111647468077117
178,0.703836463321494,0.003272489694268146,0.04140033573618468
181,-1.2506388202585441,0.006434304611836707,0.06090722585622657
182,-0.5689330808535131,0.11748719569974275,0.32847768905613145
183,-0.84106927325083,0.011153724498072396,0.08265328998687968
185,-0.5411138631864283,0.21107868997444557,0.4560820456896221
186,-0.7278516421183938,0.11165080479322448,0.31933190645711984
187,1.1902077714597876,0.0545544902030789,0.21278447491601735
189,-0.4181562754284558,0.3196012802045592,0.5702358336774916
190,0.18310955289216668,0.6359918489518142,0.8124217985471666
191,-0.27588739440456855,0.009624771851169618,0.07586444681981344
196,0.28793379308600464,0.4091293215795348,0.6493325265496278
197,0.18449282545306467,0.5660707922409537,0.7669335114917718
199,0.5881423184321477,0.1287823938539616,0.34503523893805776
202,1.0219305670260237,5.665723569381491e-07,0.00043275208449135
203,-0.5728522166222403,0.04926293452148151,0.20064448363044643
204,0.48749954413886165,0.000318524297423089,0.01123050145487135
207,0.18303567519168773,0.18500175936892702,0.4243765909015648
208,-2.363759609977812,2.6001731820334588e-05,0.003145438057464555
210,-1.643792389937051,0.0026704370897003165,0.037225865149117125
211,0.6124827601365705,0.000257063102944349,0.010014225739351273
212,-0.32999306337463086,0.23544356963154117,0.4826210984689101
213,-1.4243261381780257,0.006104671891355783,0.05906661040168516
214,1.0842843803542124,0.030865893257052687,0.15237544573523515
215,-0.19048356095756702,0.2061039034232567,0.45054878964343315
216,-0.5701978452021965,0.1027334896499804,0.3048216178256343
217,0.23110186389014586,0.33452697010507587,0.5833214238087022
218,-0.5868907410511177,0.05327703846144755,0.21035623720837854
219,0.5295916289895892,0.30121278600998974,0.552330851766014
220,-0.41349845323426493,0.31303278339353957,0.563798053051911
221,-0.4540998605626303,0.010974416811478729,0.08190684729698984
222,0.12952153664118393,0.7464972755049736,0.8774195702500429
