probe,log2FoldChange,pvalue,padj
200703_at,0.196015163412655,0.1001452618077891,0.30020726105242485
200704_at,-0.027128959484437942,0.8940025444139547,0.9524809576105401
200705_s_at,-0.18841102872429794,0.28093815097235103,0.53300509307083
200706_s_at,0.20246220816891025,0.33787129261289395,0.5872229945630696
200707_at,-0.20231747239445852,0.42417866732712906,0.6621347281296264
200708_at,0.408034172929705,0.000226624441264986,0.009474432316524733
200709_at,0.29934974041299256,0.013442414120988549,0.09202375233732345
200710_at,-0.34929286281932725,0.04919375062163856,0.20043597460266446
200711_s_at,-0.0493538899543946,0.6185727891751481,0.8005841587494817
200712_s_at,0.13954268044921747,0.2869735990004014,0.5382687463405678
200713_s_at,0.09739629431508057,0.2151751355586267,0.4603431323576993
200714_x_at,-0.23709642022932265,0.05498835347384816,0.2135159527428263
200715_x_at,-0.06660948566782743,0.6107199705719253,0.7953172289319275
200716_x_at,-0.3441561008269769,0.0011164684127831477,0.02309959669642236
200717_x_at,-0.40638235094435693,0.00019469888408051608,0.008835998439849573
200718_s_at,-0.28336789785147154,0.001083702069803645,0.022781257756070396
200719_at,-0.45852918531716824,0.012677927423828821,0.08873187335119104
200720_s_at,-0.3746418895836765,0.0038352608634846033,0.04555496685555832
200721_s_at,-0.07854667995201048,0.5319576826173146,0.7434913027575436
200722_s_at,-0.0961155947101382,0.6665210698921918,0.8312581295353283
200723_s_at,0.13857472734989962,0.12589552507863183,0.34082492835951317
200724_at,-0.17163359836372472,0.37126932703954024,0.6162379452083482
200725_x_at,-0.2957960986709143,0.011438084796731996,0.08372703623338648
200726_at,0.06307112397676917,0.6570353445413336,0.8262722829964748
200727_s_at,-0.4710347644066548,0.06550849527948233,0.23570576462339815
200728_at,0.1758460661428458,0.03529860289760348,0.16573088250469836
200729_s_at,0.463623156348131,0.002680136855682228,0.03730261683645664
200730_s_at,-0.5943863321786678,0.0251944417580333,0.13492135200534872
200731_s_at,-0.10252275697262903,0.5488145957572684,0.755450681817347
200732_s_at,-0.25370679395249063,0.10781512847314706,0.31358744567566754
200733_s_at,-0.31049275707039925,0.2785927237566121,0.5306335296579697
200734_s_at,-0.21397961489643968,0.28050769132391085,0.5324418213455829
200735_x_at,-0.5201336412508635,1.3560534447685288e-05,0.002306636557998254
200736_s_at,-0.06220348694803057,0.6997420280193649,0.850878669050778
200737_at,-0.006398296790932179,0.9723632134088671,0.9889169093742486
200738_s_at,-0.01413360063203406,0.9184339059385044,0.9644763649923986
200739_s_at,0.18913257356308222,0.301509277922252,0.5525107927583505
200740_s_at,0.36949916039795916,0.0011194037028289029,0.023117398248504582
200741_s_at,-0.3068824970482016,0.005838794143767022,0.0575538805459891
200742_s_at,0.0934417802852856,0.6229989865891654,0.8034200272402262
200743_s_at,0.2657298278515299,0.1992209232827928,0.4431263559104085
200744_s_at,-0.12185629732233849,0.4511890943386485,0.6832843950759891
200745_s_at,-0.29930207140668763,0.05970321508053441,0.22377909867780457
200746_s_at,0.24541083050397638,0.0025515659408717004,0.03621435914677968
200747_s_at,-0.2599470888183735,0.3869621712590206,0.630417324003536
200748_s_at,-0.15732105009298003,0.23816620239258118,0.4856160573300616
200749_at,-0.3400467266241698,0.3100873260239178,0.5607137779591788
200750_s_at,-0.18235417158180312,0.363156014968108,0.6092610662200234
200751_s_at,-0.3143560941959258,0.05674618547534564,0.21722646468770435
200752_s_at,-0.04862515290530034,0.7794360976333904,0.8933253882415716
200753_x_at,0.15608657675375426,0.4749772454376476,0.7022238561628915
200754_x_at,-0.1791227194766627,0.40730819156733694,0.648011454569111
200755_s_at,0.18119029392794417,0.37299167845803055,0.6179459904148918
200756_x_at,-0.2892438161375548,0.29181233023641884,0.5429038619820272
200757_s_at,-0.02662930731435864,0.8041821718104938,0.9071373562039705
200758_s_at,-0.1188216153986712,0.6076623066144988,0.7933289886507428
200759_x_at,-0.2032228912327252,0.21751271505993505,0.4628818479305255
200760_s_at,0.5022929849100279,0.036179597115534874,0.16794959670959342
200761_s_at,0.18390333848932272,0.16928739979965512,0.40374608776774984
200762_at,-0.07797594285516674,0.5959843915212154,0.7864692761025253
200763_s_at,-0.4092369708959236,8.420478276977651e-06,0.0018924185954010753
200764_s_at,0.018126583579984867,0.8765878581240687,0.9441341586865641
200765_x_at,0.1903574346226602,0.051469574260692326,0.20585896706637863
200766_at,-0.08638531772141889,0.7534051211385887,0.8806654941158879
200767_s_at,-0.6780852926727103,0.0002554596716552056,0.009969190654103234
200768_s_at,-0.78136387814504,0.000290460492876732,0.010610378955364293
200769_s_at,-0.9846402390241149,0.003086927459399402,0.04022573367122624
200770_s_at,-0.2447110204108096,0.23049288347905206,0.4783081507323261
200771_at,-0.14645967148191374,0.36044884912898933,0.6068667703166808
200772_x_at,-0.2021964144713575,0.14047813301028045,0.36263603311724735
200773_x_at,-0.6126221629221806,2.6661595478774803e-06,0.0009293152920554819
200774_at,-0.07265729237337304,0.39671077666969035,0.6386895214569116
200775_s_at,-0.2871193118462383,0.02754923451071122,0.14214238398923218
200776_s_at,-0.41838881585164245,0.0877217436106294,0.277577905832953
200777_s_at,-0.34426940589859,0.11090114677488411,0.3180041505063367
200778_s_at,-0.07442050896536934,0.5544303015060688,0.7585901550448158
200779_at,-0.30935175833428374,0.01651082875360025,0.10429129749824688
200780_x_at,-0.2073911963885493,0.13798188107869613,0.35919565795430514
200781_s_at,-0.36966063862255893,0.001287953719974908,0.025043169932112457
200782_at,-0.10810514774189173,0.2242439732942992,0.4707327797378115
200783_s_at,0.6397930234997826,0.13410356366541262,0.35321297654033407
200784_s_at,-0.81622652160498,0.001974394838325486,0.03129120923357525
200785_s_at,-0.8031927496760467,5.1868058419577016e-05,0.004586412483188233
200786_at,0.06950444417959112,0.4426828659820674,0.6760453597370119
200787_s_at,-0.03670864886244374,0.8321295010344842,0.9227337399529216
200788_s_at,0.24652404064962852,0.08299397443503002,0.2691928285787153
200789_at,0.14997310900451488,0.637646848304839,0.8134122235388555
200790_at,0.084653505153792,0.7653949401263723,0.8867724978337209
200791_s_at,0.1868541817131817,0.07955610380756602,0.26260333747434156
200792_at,-0.027456324244843344,0.6892219218140963,0.8450479469162578
200793_s_at,0.5149755065601109,0.027103582805204265,0.14078068430031856
200794_x_at,0.19844330362970908,0.03362114808495874,0.1611833138505025
200795_at,-0.3986965232872546,0.003233132611370513,0.04116060761812289
200796_s_at,-3.5558858990353714,1.954572562810736e-05,0.002722108776069477
200797_s_at,-0.28506135688261125,0.1357130906083534,0.35535779060234296
200798_x_at,-0.24760714505210046,0.38197190174187917,0.626535140707714
