entrez_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,dataset
953,1905.2301278279244,0.8242691549224639,0.0909970628610901,9.05819516593339,1.3262678928929446e-19,5.123134822162104e-17,GSE213001
26471,1420.8344651626587,-0.8991874940519456,0.0993696825427795,-9.048911811354907,1.4440014071868509e-19,5.438470299817477e-17,GSE213001
137902,22.347757643029063,1.4702673775503303,0.1629399888314298,9.023367364234945,1.8239468990746716e-19,6.542323817752364e-17,GSE213001
4047,1173.2032618636913,-0.7509995978179896,0.0832106878643423,-9.025278087381492,1.7923954631116408e-19,6.542323817752364e-17,GSE213001
1622,1663.4325750262742,-0.6978687787285801,0.0775721076562423,-8.996388003548356,2.3326578815009863e-19,8.172439763909847e-17,GSE213001
23765,931.7685681456426,-0.5488630000906726,0.0614009614605911,-8.938996833835388,3.927190975586188e-19,1.3446166374364983e-16,GSE213001
6280,3890.477569461048,-1.6728679585911173,0.1873203957244581,-8.930516893909664,4.240229057788352e-19,1.419534461235145e-16,GSE213001
374907,113.15211946798452,-1.175536109256984,0.1317281471374728,-8.923955394515513,4.499251093118037e-19,1.4735047329961572e-16,GSE213001
3241,1011.542299381612,-0.9344966600146688,0.1048687345120307,-8.911108390532371,5.052489179979099e-19,1.6194840318379818e-16,GSE213001
79145,398.5534140962795,-0.613693529922503,0.0689171079131696,-8.90480678173133,5.3479114742827e-19,1.6784642991681016e-16,GSE213001
729238,68072.9605943861,-2.032682044423544,0.229150402430134,-8.870514835963645,7.280850214948342e-19,2.2384899691468726e-16,GSE213001
2867,66.01046223855016,-2.2683828607836127,0.2562820622669183,-8.851118337034011,8.664662506744836e-19,2.6106628132822187e-16,GSE213001
6195,1118.4111345760584,-0.6637488497085704,0.0751006448660461,-8.838124504689288,9.733876866453304e-19,2.8753108822180197e-16,GSE213001
7855,312.64501694409324,-1.2128832571089128,0.1373980437917253,-8.82751474211278,1.0702727012367658e-18,3.100703508486899e-16,GSE213001
181,25.1667673266323,-2.2068503068033425,0.2508399451147137,-8.797842408210183,1.3947171373378405e-18,3.9644176743385975e-16,GSE213001
11024,96.81998194814054,-1.4403287297160206,0.1640106117003978,-8.781924015667375,1.6070164499549781e-18,4.483278299735508e-16,GSE213001
27074,2427.774160523502,-1.8550228345817796,0.2115025494589136,-8.770687820678658,1.77578152969311e-18,4.864027044513948e-16,GSE213001
9890,284.7853995272401,1.5085256239491005,0.1722257147317474,8.759003417687804,1.9698414758627228e-18,5.29922532747713e-16,GSE213001
8325,149.57114572784155,-0.8611245677515057,0.0987660395983047,-8.718832619530147,2.8108473247573186e-18,7.429020166222631e-16,GSE213001
122402,51.80705733441997,-1.3168096684180095,0.1511937709844652,-8.709417457107465,3.054404301635707e-18,7.93355186278309e-16,GSE213001
23362,602.7059871637159,0.7685013372106901,0.0882800348975853,8.705267709762879,3.168260248184315e-18,8.089803498118087e-16,GSE213001
221692,414.1775094207962,-1.033732359576763,0.1187817398396881,-8.70278850075713,3.238270829963709e-18,8.130758342233879e-16,GSE213001
442213,60.503570815166285,1.5364188330390407,0.1768924906886956,8.685608004372034,3.7672191175586184e-18,9.303796066560752e-16,GSE213001
389840,8.426648984276687,-2.25823419993816,0.2612342364496759,-8.644480258900467,5.405075827506226e-18,1.3133462474416338e-15,GSE213001
23558,1622.4997682648786,-0.3506481808576847,0.0406825554706439,-8.619128685529803,6.7465501720142625e-18,1.6132821958951564e-15,GSE213001
5004,66.51252862979833,-2.706608594969018,0.314616307448895,-8.602887170458155,7.773538690883671e-18,1.8298181309087892e-15,GSE213001
10555,763.6854663048055,-0.8307191652628891,0.0967652069499126,-8.584895247450705,9.091923519236905e-18,2.1072281202662146e-15,GSE213001
1441,2464.011665628814,-1.444709443747879,0.1684178617181085,-8.578124843824337,9.643225342202334e-18,2.2011392390951235e-15,GSE213001
3674,60.81035698139208,-1.6380474137533083,0.1910497223089069,-8.573932450447437,1.0001010094466757e-17,2.2487345831812186e-15,GSE213001
1717,405.78200340850486,-1.142838512910656,0.1335091707726425,-8.560000083116657,1.1286744000563897e-17,2.5005117407131628e-15,GSE213001
131405,25.72934402978512,-1.5644869990011494,0.1835122546887336,-8.525245366609283,1.5248623227196132e-17,3.3292827379378224e-15,GSE213001
8618,40.2355076561989,1.0722727311045257,0.126464477965352,8.47884519317986,2.2744005892874848e-17,4.831398307188271e-15,GSE213001
4357,537.7171561715041,-0.6692123029069892,0.0789285283580761,-8.478712536878486,2.276994887556371e-17,4.831398307188271e-15,GSE213001
6323,105.59431871563736,-1.9825719398513608,0.2339573527122554,-8.474074086013998,2.3695660249041194e-17,4.957987800719522e-15,GSE213001
55272,440.796454938585,-0.4348660810479851,0.0514879241762945,-8.445982004615388,3.015001390480741e-17,6.222054239396213e-15,GSE213001
5106,405.4019536247237,-0.7149511887836889,0.0849284266362056,-8.418278980325534,3.82055120680702e-17,7.777919450074022e-15,GSE213001
653509,54184.36786904907,-1.9681066979649504,0.2340984209412796,-8.407176306663867,4.1999949410787465e-17,8.436389838313511e-15,GSE213001
79413,76.33902136195115,-1.836627778246432,0.2185625379478209,-8.403213997656378,4.344219994930193e-17,8.611272924160969e-15,GSE213001
6196,2578.9710425689836,-0.7370694895944937,0.087731380675896,-8.401434970201054,4.41055401450783e-17,8.629220289423436e-15,GSE213001
84552,154.9377993840198,0.6194736697290751,0.0741426726454415,8.355156991594665,6.534574724811e-17,1.2620944644779197e-14,GSE213001
64757,142.0694209543123,-0.940836556560509,0.1127258952336659,-8.346232732153322,7.047486738352839e-17,1.3439289583960191e-14,GSE213001
2171,499.0117563118562,-0.8980793042033225,0.107649201426419,-8.342647156720268,7.264568045553178e-17,1.3680089700782332e-14,GSE213001
2224,1356.416448726256,-0.618879554013202,0.0742389095601318,-8.336323333412164,7.663617895668316e-17,1.425338316027693e-14,GSE213001
195814,608.3844115318209,-1.709209839299284,0.2052566096139913,-8.32718538279303,8.278705102480446e-17,1.5074163299102987e-14,GSE213001
21,3868.638943097386,-1.7676939824810296,0.2122894802377125,-8.326809131105522,8.305048482081301e-17,1.5074163299102987e-14,GSE213001
4684,180.39985817263516,1.1533583793760136,0.1387799542386919,8.310698657475536,9.514024597260088e-17,1.706295006639562e-14,GSE213001
2195,1988.7738335223885,0.6955917395091872,0.0837152097652909,8.30902462598362,9.649189793542715e-17,1.7101769910555414e-14,GSE213001
29948,83.48476082189195,-0.854473917652315,0.1029186472434528,-8.302420800684127,1.0201115218484644e-16,1.786310506486479e-14,GSE213001
84451,84.11471288829107,-0.9773689752024116,0.1177398111979831,-8.30109174847355,1.0315898709878772e-16,1.786310506486479e-14,GSE213001
79794,1046.4199317586365,-0.8576357110794571,0.1033892097473685,-8.295214879532296,1.083890986661228e-16,1.821633987182617e-14,GSE213001
79888,4213.505816824429,-1.1698603526637232,0.1410364751400713,-8.294736177303557,1.0882645791333259e-16,1.821633987182617e-14,GSE213001
3157,1187.2629321740162,-0.9879872712878828,0.1190904305223648,-8.296109661828298,1.0757623655181763e-16,1.821633987182617e-14,GSE213001
157310,445.85750227952275,-1.8671639693861393,0.225471771713637,-8.28114293507904,1.2199864883722031e-16,2.0196809282777183e-14,GSE213001
4052,3585.1345267698234,1.0101666452998204,0.1224052526581589,8.252641315327475,1.5493152628297432e-16,2.5370037428837044e-14,GSE213001
9843,1088.736907013567,0.8309531409219556,0.1007317323402261,8.249169567692654,1.5949898300908208e-16,2.5837120204643243e-14,GSE213001
54549,226.9397432614724,0.8166680196360302,0.0990867663093247,8.241948446340368,1.694285728116719e-16,2.6867804730608814e-14,GSE213001
10682,186.72497004510373,-1.110975872640615,0.1347938600171111,-8.242036191408006,1.6930433444613592e-16,2.6867804730608814e-14,GSE213001
3705,1042.6612032195922,-0.3805286648147489,0.0462153673507856,-8.233812401109919,1.81347608161567e-16,2.8458351218270914e-14,GSE213001
23089,712.8909799688653,-1.2650860708015508,0.1538781582566574,-8.221349183887943,2.0122644092295175e-16,3.1252333324786274e-14,GSE213001
347454,25.982058317801236,-1.239234301231039,0.1508179421640231,-8.216756464448379,2.0908105538953391e-16,3.2140878565748255e-14,GSE213001
1740,212.52105404041075,1.308259951777646,0.1593907988446256,8.207876246689368,2.251350782231899e-16,3.4259191448811675e-14,GSE213001
3787,14.064648604821244,-1.8677584325440288,0.2281252175308175,-8.187426417650263,2.6687129004906463e-16,3.9811138197158636e-14,GSE213001
