"","gene_id","log2FoldChange","stat","pvalue","padj","dataset"
"2878","2878",-2.2756575,-8.35734593213654,5.74782479779922e-11,1.16089072270822e-08,"GSE53845"
"6470","6470",-0.638105,-8.35518388466093,5.79121016713358e-11,1.16391969045332e-08,"GSE53845"
"64919","64919",1.3430275,8.35311396052008,5.83305590182701e-11,1.1666111803654e-08,"GSE53845"
"1308","1308",2.750575,8.34114936826799,6.08096998904188e-11,1.21029014345008e-08,"GSE53845"
"54874","54874",-0.6319475,-8.32441102465051,6.44571099127687e-11,1.27668671807899e-08,"GSE53845"
"374378","374378",-1.0975875,-8.32220357167247,6.49542974710071e-11,1.28034913284197e-08,"GSE53845"
"57823","57823",2.75401,8.32017904664593,6.54136782301707e-11,1.28323483609426e-08,"GSE53845"
"147","147",-2.4613675,-8.31167424431164,6.73794985372142e-11,1.31550449525037e-08,"GSE53845"
"7227","7227",0.7940275,8.30358107210955,6.93053936480287e-11,1.34669248320814e-08,"GSE53845"
"2941","2941",-0.980960000000001,-8.29623746323698,7.11008487231342e-11,1.37506358379646e-08,"GSE53845"
"201305","201305",0.6819225,8.28668742353451,7.35060072321849e-11,1.41490436456318e-08,"GSE53845"
"2639","2639",-0.482745000000001,-8.26792604094222,7.84722399829328e-11,1.48265522548398e-08,"GSE53845"
"94121","94121",-0.935845000000001,-8.26883313461224,7.82245326771319e-11,1.48265522548398e-08,"GSE53845"
"55652","55652",-0.603665,-8.25711507194906,8.14859857173213e-11,1.52553671890876e-08,"GSE53845"
"9890","9890",2.119025,8.25747663918287,8.13833334985715e-11,1.52553671890876e-08,"GSE53845"
"105","105",-0.6487425,-8.24917403468227,8.37736832684292e-11,1.561236824548e-08,"GSE53845"
"54733","54733",1.1331875,8.23014753193863,8.95215261406097e-11,1.6480036737842e-08,"GSE53845"
"113451","113451",0.760810000000001,8.22978338569858,8.96353217692382e-11,1.6480036737842e-08,"GSE53845"
"8395","8395",-1.540145,-8.23066332098168,8.93605909958212e-11,1.6480036737842e-08,"GSE53845"
"25878","25878",1.6642475,8.22239250622502,9.19767020860631e-11,1.68229336047831e-08,"GSE53845"
"50861","50861",1.0452675,8.21676286176802,9.38013620338589e-11,1.69420962263798e-08,"GSE53845"
"4050","4050",2.3211425,8.20902318277867,9.63695563306232e-11,1.7329613199805e-08,"GSE53845"
"3371","3371",1.8460075,8.20487395368094,9.77753846985601e-11,1.74540098677991e-08,"GSE53845"
"51621","51621",-0.920052500000001,-8.19327678024487,1.01815160653529e-10,1.80710891203234e-08,"GSE53845"
"7145","7145",-0.6048825,-8.18937778537302,1.03210743964009e-10,1.82398297522602e-08,"GSE53845"
"2257","2257",-1.13521,-8.18546487735735,1.04630666096724e-10,1.83583538360783e-08,"GSE53845"
"642838","642838",2.3726925,8.18506481073194,1.04776946283959e-10,1.83583538360783e-08,"GSE53845"
"57157","57157",0.575035,8.16398811643912,1.12781715677214e-10,1.9676809969216e-08,"GSE53845"
"140766","140766",1.83863,8.15791320215488,1.15201210347674e-10,2.00137695942993e-08,"GSE53845"
"54829","54829",2.7469375,8.1413048462671,1.22085946828007e-10,2.11203536706678e-08,"GSE53845"
