entrez_id,gene_id,log2FoldChange,stat,pvalue,padj,dataset
1380,1380,-0.459068977777777,-4.47782298651731,1.77418566023569e-05,0.0038382950020412,GSE38958
7188,7188,-0.40117513968254,-4.47710560567638,1.77927205437014e-05,0.0038382950020412,GSE38958
84179,84179,0.146575692063491,4.4815187107207,1.74820368541771e-05,0.0038382950020412,GSE38958
4327,4327,0.131038534920635,4.47853540384535,1.76914834651841e-05,0.0038382950020412,GSE38958
7556,7556,-0.247014853968254,-4.46189266632287,1.89050814314487e-05,0.0039606145598885,GSE38958
5955,5955,-0.309152507936508,-4.4628585394465,1.88325066612705e-05,0.0039606145598885,GSE38958
8776,8776,-0.236417366666667,-4.46644599298342,1.85652948321708e-05,0.0039606145598885,GSE38958
64219,64219,-0.194241,-4.44651439108184,2.00975844085845e-05,0.0041310015952286,GSE38958
284161,284161,-0.139368463492064,-4.44393064886781,2.03049309779164e-05,0.004134615291092,GSE38958
56946,56946,-0.20136813968254,-4.4396312050892,2.0654544293782e-05,0.00416686306549,GSE38958
8707,8707,-0.289700263492064,-4.42569592844196,2.18280551962711e-05,0.0042231384322938,GSE38958
5270,5270,-0.246440574603175,-4.42546008957697,2.18484583488648e-05,0.0042231384322938,GSE38958
4306,4306,-0.303290936507936,-4.42261024792114,2.20964650854369e-05,0.0042231384322938,GSE38958
27244,27244,-0.371706363492063,-4.43015089313803,2.14460756558528e-05,0.0042231384322938,GSE38958
124961,124961,-0.314014058730158,-4.42622941006555,2.17819697959732e-05,0.0042231384322938,GSE38958
84707,84707,-0.35301483015873,-4.42396855941278,2.1977921744421e-05,0.0042231384322938,GSE38958
286826,286826,-0.180858795238095,-4.41837106270251,2.24704067093687e-05,0.0042572627946411,GSE38958
65010,65010,0.145439349206349,4.41250518643872,2.29979144889244e-05,0.0043196427662472,GSE38958
7570,7570,-0.355683544444444,-4.40712814062918,2.34919330276796e-05,0.0043747199727101,GSE38958
6689,6689,-0.356600979365079,-4.40051464281781,2.41135871287812e-05,0.0044524308166261,GSE38958
939,939,-0.434451452380953,-4.3910373175554,2.50321405730303e-05,0.004502084120995,GSE38958
146712,146712,0.141755582539682,4.38717912447207,2.54156575583984e-05,0.004502084120995,GSE38958
27300,27300,-0.19717435079365,-4.39267810451619,2.48707363050068e-05,0.004502084120995,GSE38958
23708,23708,-0.29104049047619,-4.39161787958185,2.49749156341026e-05,0.004502084120995,GSE38958
2788,2788,-0.219742242857143,-4.3793082699358,2.62156758611197e-05,0.0045332313147783,GSE38958
