sample_id,PC1,PC2,PC1_zscore,PC2_zscore,outlier,condition,dataset
ipf_762,42.46952796526401,9.946703471725328,1.4684292097312888,0.39969029107588494,False,IPF,GSE150910
ipf_763,-19.624641468405073,-8.471468904137245,-0.6785429022493447,-0.34041065783854146,False,IPF,GSE150910
control_269,9.161361605271999,-27.87205477202813,0.3167638451996745,-1.1199881163022731,False,control,GSE150910
ipf_765,43.35422016444882,-1.8695826057948366,1.499018385762794,-0.07512579600112808,False,IPF,GSE150910
control_766,10.706819610489326,-23.317272062073013,0.37019970347270076,-0.936962410116866,False,control,GSE150910
ipf_270,22.140610400766835,-11.530590528994182,0.7655352105716368,-0.46333592812042684,False,IPF,GSE150910
control_768,38.16959751245531,-16.142591786107467,1.319754529808269,-0.6486608581475416,False,control,GSE150910
control_772,38.57268485561783,-23.52986999110095,1.3336917044633991,-0.9455052734259868,False,control,GSE150910
ipf_328,-35.69845975546229,-33.36247100272524,-1.2343123071726338,-1.3406105634892351,False,IPF,GSE150910
control_273,12.700424993387008,-36.05192839683376,0.43913073513660045,-1.448681545171065,False,control,GSE150910
ipf_774,-2.110209061327575,62.16245323345091,-0.0729627281665925,2.4978857666256946,False,IPF,GSE150910
control_279,16.997587215911082,-30.886150508406587,0.5877097005460868,-1.2411041026819016,False,control,GSE150910
control_280,15.518553601209064,23.372246542264904,0.5365705363957514,0.939171460185776,False,control,GSE150910
control_281,27.343921902624476,-31.081186249860117,0.9454452534359675,-1.2489412612433644,False,control,GSE150910
control_330,35.89227602042718,11.793402201076242,1.2410137111776005,0.47389653988604513,False,control,GSE150910
ipf_282,15.131851395292223,-30.901704561063273,0.5231998953304621,-1.2417291141594664,False,IPF,GSE150910
ipf_779,20.203491061122552,88.03453123654049,0.6985572440777403,3.5375084332898674,True,IPF,GSE150910
ipf_780,33.64152832258679,-1.2597476788951278,1.163191709813528,-0.05062068230857057,False,IPF,GSE150910
control_283,29.592226685956902,-5.438888904109523,1.0231827884263305,-0.21855191475169833,False,control,GSE150910
ipf_285,7.260537880502457,7.966190644181912,0.251040838287877,0.3201069647235368,False,IPF,GSE150910
control_286,31.2267926284754,-13.644815904439493,1.079699648637004,-0.5482922514001819,False,control,GSE150910
ipf_782,26.175481869837608,40.93615051109695,0.9050451935302639,1.6449451780498796,False,IPF,GSE150910
control_331,5.294566949981589,-26.35519185412966,0.1830652972783173,-1.0590357230897416,False,control,GSE150910
control_784,10.383271373074587,-21.15633693217279,0.35901267820212396,-0.8501291398257481,False,control,GSE150910
ipf_785,-6.658336455199966,27.947291775084256,-0.23021908195050356,1.1230113792090908,False,IPF,GSE150910
control_288,-0.40249151872674055,-15.642536248110508,-0.013916573390004709,-0.6285670306694974,False,control,GSE150910
ipf_787,12.992032726587484,63.416275150050794,0.4492133834195137,2.548268332892768,False,IPF,GSE150910
control_788,38.09684086195424,-20.43742724564744,1.3172388910452157,-0.8212410541719042,False,control,GSE150910
control_289,41.315201120994395,7.173477664699653,1.4285171283658256,0.28825322721044505,False,control,GSE150910
control_332,25.727964291445755,-5.234558004995696,0.8895717961212724,-0.21034124708931584,False,control,GSE150910
control_291,35.3453496048772,-24.98432816619192,1.2221031472357526,-1.0039500449035237,False,control,GSE150910
control_792,34.663625045144656,0.48446008430122206,1.1985317937391644,0.019467152374596345,False,control,GSE150910
control_292,29.862141240501593,-19.45664404233573,1.0325153719282996,-0.7818300548264093,False,control,GSE150910
control_293,-9.009314480286688,-35.66041552555982,-0.31150665374309155,-1.4329493084632694,False,control,GSE150910
control_794,26.968957921445234,-16.993994731215047,0.9324804740060884,-0.6828729457924835,False,control,GSE150910
control_796,29.898231041249957,20.773976393277497,1.0337632152675433,0.834764673043219,False,control,GSE150910
control_294,29.458052168311603,-24.998290738424323,1.018543561424017,-1.0045111056183225,False,control,GSE150910
ipf_798,41.32553271802093,29.136572102239867,1.4288743543484017,1.1708004584234124,False,IPF,GSE150910
ipf_799,-1.5669056672081703,3.1374337275902007,-0.05417743405351428,0.12607210050812045,False,IPF,GSE150910
control_295,9.520517646228283,13.858451167004633,0.3291820482421715,0.5568767980815481,False,control,GSE150910
control_296,23.75758499476221,24.132775081156023,0.8214438311515087,0.9697319241570803,False,control,GSE150910
control_298,29.082708900163816,-28.619522909692236,1.0055656677428106,-1.1500237716691155,False,control,GSE150910
control_299,31.83089132469032,-26.14899522041296,1.1005870051390148,-1.0507500842563964,False,control,GSE150910
control_300,11.580892716300376,-30.76314719701406,0.4004217130289003,-1.2361614370566996,False,control,GSE150910
ipf_301,-11.080387501726838,40.062542324877946,-0.38311621160435577,1.6098408129475406,False,IPF,GSE150910
ipf_809,21.00222105562805,52.48983222134334,0.7261741852309287,2.109208983530099,False,IPF,GSE150910
ipf_812,21.265556269473667,11.185803954258184,0.7352792810134393,0.4494813031376852,False,IPF,GSE150910
ipf_813,8.055699007117031,-2.205275706682733,0.27853438202866676,-0.0886150161822115,False,IPF,GSE150910
ipf_410,-9.351713744402842,64.09147314765686,-0.3233454733605333,2.5753999433770014,False,IPF,GSE150910
ipf_H03,19.454173433751993,36.84947849773162,0.672648788200919,1.4807296536606382,False,IPF,GSE150910
ipf_336,-19.942130707954547,42.519777389683426,-0.6895204312087231,1.7085803602845855,False,IPF,GSE150910
control_337,9.366213407037113,-30.904884029999902,0.3238468146554219,-1.241856875368832,False,control,GSE150910
control_823,64.6685830109477,14.851966069840232,2.2359852062136727,0.5967993977479993,False,control,GSE150910
control_825,33.3368403779246,-16.28496263414195,1.1526567992734138,-0.6543817732078308,False,control,GSE150910
ipf_826,-12.983522592204286,4.08837483873275,-0.4489191364498453,0.16428394934718743,False,IPF,GSE150910
control_306,-7.979483291911915,-16.8397389470276,-0.2758991424154718,-0.6766744560659848,False,control,GSE150910
ipf_307,5.751407967279561,42.34929883073251,0.1988610625279895,1.7017299876919993,False,IPF,GSE150910
ipf_827,-50.29457317714212,36.95806985132146,-1.738988490870178,1.4850932008245832,False,IPF,GSE150910
ipf_309,-24.071861153529472,25.544990805377786,-0.8323102644171068,1.026479259139032,False,IPF,GSE150910
control_828,29.570618709672207,-13.590600371212872,1.022435669608208,-0.5461136982425673,False,control,GSE150910
ipf_829,-19.74655044333593,34.56984598708675,-0.6827580350349807,1.3891267437804211,False,IPF,GSE150910
control_339,5.1402755169116485,-19.792722560068032,0.1777305064768629,-0.7953347622863852,False,control,GSE150910
control_834,-8.55331529567497,-27.008339234351638,-0.29573999575609516,-1.0852812693914342,False,control,GSE150910
control_836,48.70057687579826,-11.208163118256842,1.683874369257821,-0.45037976570794686,False,control,GSE150910
control_315,15.619578021768747,-26.863292497207052,0.5400635634472258,-1.0794528285664187,False,control,GSE150910
control_340,20.167205904292448,-27.653922159077254,0.697302646093685,-1.1112228517288079,False,control,GSE150910
ipf_318,-5.610908006324515,12.660189007755072,-0.19400312657915483,0.5087268001875623,False,IPF,GSE150910
control_842,29.30562865751002,-17.811480872500127,1.01327335602654,-0.7157221480120466,False,control,GSE150910
control_319,18.811488884849066,-16.14052606203818,0.6504272847026008,-0.6485778507615385,False,control,GSE150910
ipf_341,-11.125931759014897,10.305651106499209,-0.38469095285865,0.4141139526469368,False,IPF,GSE150910
ipf_845,-31.13064141219174,17.231169803707395,-1.0763751178191057,0.6924033971656325,False,IPF,GSE150910
control_324,20.641758448234597,8.413877037014359,0.7137108062608263,0.33809643280917534,False,control,GSE150910
control_849,26.068447094714745,-17.60838540272435,0.9013443520616236,-0.7075611238434237,False,control,GSE150910
control_851,24.51487847564079,-28.679187954419966,0.8476280606670973,-1.1524213035913318,False,control,GSE150910
ipf_852,-22.44181244429302,-10.99081022176366,-0.7759495923633619,-0.44164583263026985,False,IPF,GSE150910
ipf_853,19.241723528090205,37.98512817224639,0.665303106201967,1.5263636820859685,False,IPF,GSE150910
control_327,20.88490472116555,6.199267192571792,0.7221178478860861,0.24910634118123698,False,control,GSE150910
control_342,17.495871306898756,-24.046302299721567,0.6049384042545236,-0.9662571718152692,False,control,GSE150910
control_854,38.945362646706165,-22.769333188634388,1.3465774364333858,-0.9149444773978475,False,control,GSE150910
ipf_856,-14.333202266868172,9.303942071099582,-0.4955857502082578,0.37386208658193054,False,IPF,GSE150910
chp_47,-44.423364513211844,-47.85783355859322,-1.535985191525901,-1.923080493921413,False,CHP,GSE150910
chp_43,-7.33509242374965,-30.31811423132874,-0.2536186411095117,-1.218278592142426,False,CHP,GSE150910
chp_44,0.7595598860601188,-14.227795736443655,0.026262592891145513,-0.5717182416699709,False,CHP,GSE150910
chp_45,0.9148929682861383,-19.612465601861828,0.03163339982276103,-0.788091462403294,False,CHP,GSE150910
chp_48,3.1462218676354565,-19.741461088362446,0.10878397552499176,-0.7932749127487745,False,CHP,GSE150910
chp_49,-0.42923145668142,11.293917901132666,-0.014841135254482439,0.45382566657613094,False,CHP,GSE150910
chp_50,20.890933584910908,-9.17069050427737,0.72232630227796,-0.368507613345558,False,CHP,GSE150910
ipf_877,-12.192431948226892,6.534116601897865,-0.4215663339861196,0.2625616591426672,False,IPF,GSE150910
control_878,-16.064014111862626,0.1142448043646918,-0.5554304151128813,0.004590720859451833,False,control,GSE150910
ipf_887,-34.60288989837101,-1.9103447422206525,-1.1964318112846224,-0.07676374873785355,False,IPF,GSE150910
ipf_888,-9.690836693536188,14.458058390967189,-0.33507101089428976,0.5809709300276799,False,IPF,GSE150910
ipf_894,-3.9103444374168927,8.300502292320997,-0.13520432807046232,0.3335406737241723,False,IPF,GSE150910
ipf_899,-11.157407222364364,23.354914004938976,-0.38577925056259404,0.9384749835180463,False,IPF,GSE150910
control_900,22.245700408266497,-32.73221878048959,0.7691688096262248,-1.3152850177068898,False,control,GSE150910
control_912,26.478719033840445,-22.828591598026968,0.9155299417822822,-0.9173256694144931,False,control,GSE150910
ipf_914,21.023807333940628,5.310692538643374,0.7269205538185313,0.21340057563983203,False,IPF,GSE150910
ipf_916,-12.939083750419943,-13.8175100004455,-0.44738261611516844,-0.555231651342679,False,IPF,GSE150910
ipf_917,8.885315091198951,1.584177518548778,0.30721924265921524,0.06365730870579625,False,IPF,GSE150910
control_919,28.793295879419706,-12.72807539639524,0.9955589039830436,-0.5114546919471599,False,control,GSE150910
control_920,26.914338237162642,-18.34332459447999,0.9305919401873829,-0.7370933261766794,False,control,GSE150910
control_923,28.953003332379858,-34.48204597502377,1.0010809594466759,-1.385598659076009,False,control,GSE150910
ipf_924,-16.630210534695994,51.96247275372104,-0.5750072601019263,2.088017997017356,False,IPF,GSE150910
ipf_926,19.646911545945056,28.36815355554468,0.6793129139242904,1.139922948757043,False,IPF,GSE150910
control_927,34.352272955949815,-5.071206306100115,1.1877664632966292,-0.20377725447961256,False,control,GSE150910
control_929,8.294598004372647,-8.857542217910094,0.28679456956907423,-0.35592431576522493,False,control,GSE150910
control_932,8.78029286414142,-20.476485147948356,0.3035879871856803,-0.8228105253423117,False,control,GSE150910
control_933,14.511045286806638,-32.302757288137144,0.5017348622360172,-1.2980278842885495,False,control,GSE150910
ipf_938,-9.930081084675173,27.43627597157145,-0.3433431407964682,1.1024771332821854,False,IPF,GSE150910
ipf_940,-26.316774998517342,15.250843499208381,-0.9099305540988424,0.6128275659045094,False,IPF,GSE150910
control_947,26.817105099124515,9.171039364856803,0.9272300007712961,0.3685216316770519,False,control,GSE150910
control_951,29.16327689612515,5.292650323168187,1.0083513921034841,0.21267558183907884,False,control,GSE150910
ipf_954,-23.214747619864312,-2.1173116436093196,-0.8026746501498762,-0.08508033938462002,False,IPF,GSE150910
control_955,26.602607325332468,-30.139673036993685,0.9198135115483362,-1.2111082554468116,False,control,GSE150910
control_956,4.396805936004851,-33.488456165469465,0.1520242530416198,-1.3456730494185303,False,control,GSE150910
control_961,24.606860720868983,-29.06517059112202,0.8508084448658627,-1.1679313178239088,False,control,GSE150910
control_964,31.19457211521882,-22.128289953022932,1.0785855900381613,-0.889185314257808,False,control,GSE150910
control_574,33.62964363997789,-28.936842513542114,1.162780784241067,-1.1627746860989434,False,control,GSE150910
control_576,30.00158029795405,-22.915866831970874,1.0373366260074137,-0.9208326668592159,False,control,GSE150910
ipf_965,25.25037600062889,50.03232954050687,0.8730586717692729,2.0104586825268136,False,IPF,GSE150910
control_646,25.347326634044606,-14.247861773145727,0.8764108432868378,-0.5725245590667837,False,control,GSE150910
control_657,-17.698276193165153,4.003437221868986,-0.6119367689980407,0.16087088481740902,False,control,GSE150910
control_661,30.34783423807337,-15.633528241160464,1.049308725157459,-0.6282050602005765,False,control,GSE150910
control_666,-0.3491936414127985,-33.2860058377676,-0.01207374245652978,-1.3375379491174522,False,control,GSE150910
control_671,22.920228598021655,-5.078726719387612,0.7924913409581901,-0.20407944868741568,False,control,GSE150910
control_687,41.40148890470052,58.196016507581575,1.4315006204861214,2.338501679827156,False,control,GSE150910
control_691,21.49086481279144,-25.455510511111232,0.7430695641190209,-1.0228836553329448,False,control,GSE150910
control_695,-2.6138573409673134,-20.643910269718024,-0.09037690441688666,-0.8295382010837025,False,control,GSE150910
control_698,18.97641749899827,-4.265607301207499,0.6561298673810633,-0.17140571533890453,False,control,GSE150910
control_699,25.39200681580341,2.177429825184108,0.8779557082084445,0.08749607979156838,False,control,GSE150910
control_703,-13.93338280417573,-33.16204304558335,-0.48176156600454245,-1.3325567284917903,False,control,GSE150910
control_973,36.01798583112318,-22.188024000815304,1.2453602619122066,-0.8915856189433897,False,control,GSE150910
control_709,45.096872889296186,-9.820436045545424,1.5592724617128888,-0.3946164629008811,False,control,GSE150910
control_710,22.482886855930914,-3.4191386634570406,0.7773697839386237,-0.13739190391175002,False,control,GSE150910
control_714,0.7948052118917966,-31.64321687294893,0.02748123760977915,-1.2715254454381069,False,control,GSE150910
control_975,34.713691656616845,-22.80773340221688,1.2002629002110368,-0.9164875205364905,False,control,GSE150910
control_978,34.28691177320347,-16.29219042499308,1.1855065307161252,-0.6546722089122161,False,control,GSE150910
control_980,41.611755520003875,-14.568327463740664,1.4387708128931411,-0.5854018933029783,False,control,GSE150910
control_982,20.881158255599036,-5.893967092510684,0.7219883098447021,-0.2368384087747072,False,control,GSE150910
ipf_1164,-16.805101365361455,-0.49222647795744523,-0.5810542970379945,-0.01977923085867795,False,IPF,GSE150910
ipf_1168,-0.7334365150965377,-26.735669997036982,-0.025359349487758885,-1.074324549193679,False,IPF,GSE150910
ipf_1169,-17.212565051065816,-20.283579892073668,-0.5951427884024955,-0.8150589764909969,False,IPF,GSE150910
ipf_1170,-6.1736390973080155,-12.838590077819081,-0.2134601540248092,-0.5158955245619067,False,IPF,GSE150910
ipf_990,-18.47274712072137,-14.77812574935449,-0.638714927046828,-0.5938322580044674,False,IPF,GSE150910
ipf_992,-36.91935063631284,-22.327773152506957,-1.2765259110723957,-0.8972011858773014,False,IPF,GSE150910
ipf_994,-14.509270799944588,35.9524958023473,-0.5016735074608323,1.444686026178698,False,IPF,GSE150910
ipf_997,13.64590329894341,63.410711644122905,0.4718216556050788,2.5480447734682774,False,IPF,GSE150910
ipf_998,5.8429580401757715,-26.293223647304647,0.20202650390760124,-1.0565456427637574,False,IPF,GSE150910
ipf_1017,0.250195033393162,29.657982516442846,0.008650760033516433,1.1917523929829572,False,IPF,GSE150910
ipf_1022,-11.875283409756996,-10.357000407241834,-0.41060058512981756,-0.41617733143556807,False,IPF,GSE150910
ipf_1024,12.177321079141636,19.474133121199245,0.4210438595765297,0.7825328218327324,False,IPF,GSE150910
ipf_1029,12.128322377789324,41.49772624925484,0.4193496772356408,1.6675110835163012,False,IPF,GSE150910
ipf_1030,-19.608364876917538,12.689859863326319,-0.6779801217448213,0.5099190698609726,False,IPF,GSE150910
ipf_1031,6.686800238611356,-20.102389366739843,0.23120324760958355,-0.8077781629011747,False,IPF,GSE150910
ipf_1034,-9.937943332395578,-16.494216810575132,-0.3436149863940042,-0.66279027386588,False,IPF,GSE150910
ipf_1036,19.85654618903722,-4.721673622410573,0.6865612552183097,-0.1897319156915874,False,IPF,GSE150910
