gene,score_dn,adj_p_dn,score_up,adj_p_up,reversal_score
SOD1,50.03179670011319,0.000453250196222031,48.51854193085795,0.00026988822898898535,49.269359911314076
CCL20,49.26703313987476,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.26703313987476
TRPC4,49.26703313987476,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.26703313987476
TMEM33,49.26703313987476,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.26703313987476
PLXNB1,49.26703313987476,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.26703313987476
KAT5,49.26703313987476,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.26703313987476
PI4K2A,49.26703313987476,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.26703313987476
SLC7A9,49.26703313987476,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.26703313987476
RNF32,49.26703313987476,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.26703313987476
EPOP,49.26703313987476,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.26703313987476
MAX,49.26703313987476,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.26703313987476
MAFF,49.26703313987476,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.26703313987476
FGF14,67.14129829198822,0.00012443682497553899,35.96878960319749,0.0011002477117794851,49.14256029095399
ART3,35.96878960319749,0.0016209275223648388,67.14129829198822,6.12915892724042e-05,49.14256029095399
IGF2BP3,67.14129829198822,0.00012443682497553899,35.96878960319749,0.0011002477117794851,49.14256029095399
LDLRAD3,35.96878960319749,0.0016209275223648388,67.14129829198822,6.12915892724042e-05,49.14256029095399
FDX1,35.96878960319749,0.0016209275223648388,67.14129829198822,6.12915892724042e-05,49.14256029095399
BTNL2,35.96878960319749,0.0016209275223648388,67.14129829198822,6.12915892724042e-05,49.14256029095399
MS4A15,67.14129829198822,0.00012443682497553899,35.96878960319749,0.0011002477117794851,49.14256029095399
PRKRA,47.7858596099108,0.000453250196222031,50.42043020443891,0.00026988822898898535,49.08547238461318
ABCC3,48.1502529637702,0.000453250196222031,50.03179670011319,0.00026988822898898535,49.08200960985984
