entrez_id,rwr_up,rwr_down,rwr_net,in_consensus,consensus_lfc
9530,4.007362560871036e-05,0.1137789216472184,-9.760308261844017e-06,True,-0.1137789216472184
56547,8.56837724379661e-07,0.0247099647537784,-9.764522664989873e-06,True,-0.0247099647537784
55898,1.9409938851507295e-07,0.0234992790489984,-9.801500240418085e-06,True,-0.0234992790489984
51629,4.421133723839675e-08,0.0222875584752348,-9.815419983110345e-06,True,-0.0222875584752348
401265,5.867549242669918e-06,0.0369895143054118,-9.841840000011363e-06,True,-0.0369895143054118
283849,2.4839631873227736e-06,0.0181481210854222,-9.85425927252002e-06,True,-0.0181481210854222
109703458,2.8449161279082463e-07,0.0,-9.86208328736635e-06,False,0.0
146760,1.8068149469277984e-06,0.0267253521583367,-9.866238964680299e-06,True,-0.0267253521583367
158038,4.0882889865358223e-07,0.0229809549895108,-9.87558964140332e-06,True,-0.0229809549895108
130540,1.9863305885117187e-07,0.0238843642093583,-9.880597878546357e-06,True,-0.0238843642093583
54433,5.613587845137471e-06,0.0193498354986616,-9.90165291308465e-06,True,-0.0193498354986616
110806296,1.781418050692214e-07,0.0,-9.906734494718564e-06,False,0.0
5406,1.1352760058644768e-05,0.0170808196661903,-9.927078060889954e-06,True,-0.0170808196661903
8712,0.0,0.0143501388027504,-9.927413027027742e-06,True,-0.0143501388027504
6847,1.04881282890113e-06,0.015724967401221,-9.929933820947272e-06,True,-0.015724967401221
26740,2.0470743749265823e-06,0.0280614476180371,-9.935516462577678e-06,True,-0.0280614476180371
1443,6.2215891265868825e-06,0.0036896028437683,-9.941965842384564e-06,True,-0.0036896028437683
5731,7.652039887713731e-06,0.0371599256443996,-9.959977024221161e-06,True,-0.0371599256443996
3933,1.9591081698096777e-05,0.0572457070544902,-9.975575450660134e-06,True,-0.0572457070544902
5620,1.796694184781659e-08,0.0129478144990967,-9.975994950623995e-06,True,-0.0129478144990967
83729,2.6702552070806637e-06,0.0026272762172045,-9.995592173524728e-06,True,-0.0026272762172045
9741,3.6870768268579845e-06,0.024086788900722,-1.0008239691334875e-05,True,-0.024086788900722
84229,1.0146275277653163e-06,0.0257094120659204,-1.0009960145145982e-05,True,-0.0257094120659204
57188,5.940505951705543e-07,0.0048312398434569,-1.0011506769680852e-05,True,-0.0048312398434569
23762,2.759334772326452e-06,0.0214602952746119,-1.0012723543265709e-05,True,-0.0214602952746119
5251,2.4306845843690114e-06,0.0186071166987417,-1.0017629545833054e-05,True,-0.0186071166987417
219453,2.2434630872990594e-07,0.0243796131351343,-1.0032083839506216e-05,True,-0.0243796131351343
5799,6.774339296412642e-07,0.0247005659579266,-1.003988686024884e-05,True,-0.0247005659579266
79991,1.1196999868574344e-05,0.030841132211768,-1.0061560604208402e-05,True,-0.030841132211768
166,1.6142508054981487e-06,0.0115635145067199,-1.0063672220167632e-05,True,-0.0115635145067199
1527,7.141203824932114e-08,0.0232265065514494,-1.0069563877996421e-05,True,-0.0232265065514494
64096,3.181862386873118e-07,0.0218345172617328,-1.007066372970169e-05,True,-0.0218345172617328
10343,5.422991097259519e-09,0.0202754764907363,-1.0085090500010281e-05,True,-0.0202754764907363
5514,1.1325871540186317e-06,0.0180846269805656,-1.0086146318392508e-05,True,-0.0180846269805656
25831,5.247871957915442e-09,0.0224576621491185,-1.0096626312384825e-05,True,-0.0224576621491185
4157,6.9986720351731936e-06,0.0204132621305488,-1.009824508110741e-05,True,-0.0204132621305488
84262,4.787072611878123e-06,0.0310251428179577,-1.0099755506201219e-05,True,-0.0310251428179577
8839,5.5717016687545425e-08,0.0243126883553078,-1.0135273971071541e-05,True,-0.0243126883553078
118856,6.436437537854337e-07,0.0200453540661315,-1.0155022487460533e-05,True,-0.0200453540661315
79152,8.869250261478952e-06,0.0,-1.015569971600174e-05,True,0.0129942815636436
161003,5.572829720521084e-07,0.0180823391203047,-1.017282708232807e-05,True,-0.0180823391203047
3306,1.812003316584447e-05,0.0343028672117425,-1.017594897014328e-05,True,-0.0343028672117425
144568,1.1356582074490352e-05,0.0494634965937813,-1.0190213058041435e-05,True,-0.0494634965937813
6445,1.0861637744679486e-05,0.0281314530635234,-1.019166568566149e-05,True,-0.0281314530635234
553,2.897398558827122e-06,0.0265668144269408,-1.0197120885788309e-05,True,-0.0265668144269408
2637,5.773342062720178e-07,0.0243163782779435,-1.0206598655060452e-05,True,-0.0243163782779435
728656,0.0,0.0239069865547518,-1.020858374602076e-05,True,-0.0239069865547518
200933,7.549333371305789e-06,0.0355118419253031,-1.021506991506387e-05,True,-0.0355118419253031
1128,1.3481665873899771e-05,0.0349544854170392,-1.0217768838766895e-05,True,-0.0349544854170392
28955,5.7754880033569654e-08,0.0207689373745594,-1.022183722617635e-05,True,-0.0207689373745594
151647,4.441524805163017e-09,0.0233060770879836,-1.023564608053459e-05,True,-0.0233060770879836
54841,1.958499697775532e-08,0.024303574229161,-1.0240367158946699e-05,True,-0.024303574229161
3237,4.754777896074809e-06,0.0162229548768873,-1.0243666476722333e-05,True,-0.0162229548768873
80059,9.602155728756597e-06,0.0454032010861697,-1.0247068619980456e-05,True,-0.0454032010861697
27063,8.649015481034975e-06,0.043782900610454,-1.0247344336839184e-05,True,-0.043782900610454
10345,9.789070846534216e-06,0.0221297272389389,-1.026257235778619e-05,True,-0.0221297272389389
57128,1.6782766025845023e-05,0.0,-1.0274820007476143e-05,True,0.0343027185316571
339983,8.645928902671446e-06,0.0,-1.0280648388359655e-05,True,0.0034138924135843
7857,4.974673164092565e-06,0.0285468268090676,-1.0291011390019741e-05,True,-0.0285468268090676
7399,5.526506147274524e-06,0.0051731095483542,-1.030298977755323e-05,True,-0.0051731095483542
4143,5.6555408446381595e-06,0.0119458624177145,-1.030519924916352e-05,True,-0.0119458624177145
167,5.366824588403367e-07,0.0256949454229667,-1.0318555371221364e-05,True,-0.0256949454229667
119694,6.446369758887848e-08,0.0242123442764139,-1.0329708448559932e-05,True,-0.0242123442764139
112885,2.792963486589101e-08,0.0153464609567455,-1.0337692533108357e-05,True,-0.0153464609567455
186,4.423586980157595e-06,0.0181025952439891,-1.0338882758136685e-05,True,-0.0181025952439891
7027,9.875236047245895e-06,0.0271765034714224,-1.0344132316095034e-05,True,-0.0271765034714224
10350,5.130301389157018e-07,0.0258010732613927,-1.0348683805155325e-05,True,-0.0258010732613927
23746,1.1125507905878572e-05,0.0,-1.0351248646196585e-05,True,0.0009455692238059
8622,3.255089150972162e-06,0.0151836302405138,-1.0357999070637837e-05,True,-0.0151836302405138
2688,2.374269994878887e-06,0.0043362711999973,-1.0373533649601302e-05,True,-0.0043362711999973
10660,1.4835805824863633e-06,0.0133766075284103,-1.0386049545205395e-05,True,-0.0133766075284103
353091,3.2198384151904234e-06,0.032432739356266,-1.0426879839454726e-05,True,-0.032432739356266
5224,7.72326121831612e-06,0.0104465708477543,-1.043435964488427e-05,True,-0.0104465708477543
84466,2.2671272575453325e-06,0.0187076397445833,-1.0442525964519845e-05,True,-0.0187076397445833
3191,7.567814820626655e-06,0.0208352270808847,-1.0443011979790774e-05,True,-0.0208352270808847
83591,4.836669043265222e-07,0.0255374167955172,-1.0446987308128519e-05,True,-0.0255374167955172
51259,8.0635202573833e-06,0.0315717474964589,-1.0450131256004126e-05,True,-0.0315717474964589
728621,1.5706715545380078e-07,0.0170037733558099,-1.047584079709868e-05,True,-0.0170037733558099
1998,3.0031962059166e-07,0.025730802780268,-1.0476752153528218e-05,True,-0.025730802780268
9196,9.689871446577482e-06,0.0010974644460675,-1.0483749218528303e-05,True,-0.0010974644460675
4793,1.211037127450966e-05,0.0452426956948301,-1.0510511891776001e-05,True,-0.0452426956948301
90167,1.1670334390233591e-07,0.0216500876516386,-1.0513804689005643e-05,True,-0.0216500876516386
90381,4.004846401633042e-06,0.0323339232955697,-1.052345566644214e-05,True,-0.0323339232955697
157724,4.2700186823135085e-07,0.0075203907600401,-1.0536270932881987e-05,True,-0.0075203907600401
613209,7.599273471806999e-07,0.0245878916253077,-1.0544188463662968e-05,True,-0.0245878916253077
51260,2.4604973328991534e-07,0.0239683328513679,-1.0558909956034417e-05,True,-0.0239683328513679
58513,2.2827018314670313e-05,0.0,-1.056816878443679e-05,True,0.0484716080435414
339829,8.273700204836489e-06,0.0334641132900971,-1.0589088674264142e-05,True,-0.0334641132900971
23732,5.892436452327267e-07,0.0031680656263545,-1.0596806682268808e-05,True,-0.0031680656263545
