drug,net_trace,weighted_trace,vae_score,baseline,sig_reproducibility,n_cell_lines,reversal_rank,reversal_pct
EPZ-005687,0.0284137637730722,0.0468471265810131,-0.08686594,0.0,0.0,5,174,9.841628959276019
refametinib,0.0282387059496049,0.0541818297364901,0.164874,0.0,0.0,7,175,9.89819004524887
chlorpropamide,0.0282163891244443,-0.0114241091730709,-0.11794895,-0.0656179775280899,0.0,7,176,9.95475113122172
flumatinib,0.0281693526392441,0.0419016897733834,0.061758347,0.0,0.0,7,177,10.01131221719457
cabazitaxel,0.0278072709993405,0.0203433995295013,0.14940691,-0.0944194756554307,0.0,7,178,10.06787330316742
lapatinib,0.0277414684750644,0.0009233742318915,-0.035380222,0.0,0.0,17,179,10.124434389140271
torin-2,0.027555268923362,0.0263145958531286,-0.36029065,-0.0944569288389513,0.0,13,180,10.180995475113122
fluoxetine,0.0275215114429834,0.0098240245275208,-0.51473665,0.0,0.0,7,181,10.237556561085972
midostaurin,0.0272884618100382,-0.0147701008022695,0.095994264,0.0,0.0,7,182,10.294117647058822
sarsagenin,0.0268346958289855,0.0051816302358314,0.08734886,-0.0651685393258426,0.0,7,183,10.350678733031673
clomethiazole,0.0267842494144554,0.0291962462279301,0.08553838,-0.0967228464419475,0.0,7,184,10.407239819004525
raloxifene,0.0263176100464168,0.0691670692568941,-0.009676688,0.0,0.0,7,185,10.463800904977376
perampanel,0.0262980673085866,0.0244710281833207,-0.09674309,0.0,0.0,7,186,10.520361990950226
foretinib,0.0261155676982591,0.0514781678361435,0.22636901,0.0,0.0,15,187,10.576923076923077
NU-7441,0.0260161473693273,0.0121084546410946,0.13435802,0.058820224719101,0.0,13,188,10.633484162895927
BMS-599626,0.0258170565468989,0.0402389461490246,-0.007650404,-0.0780149812734082,0.0,7,189,10.690045248868778
KD-023,0.0255482147555137,-0.0069879990657473,-0.025870662,0.0,0.0,7,190,10.74660633484163
clofazimine,0.025246245220405,-0.0071413289234383,0.07246561,0.0,0.0,7,191,10.80316742081448
ubenimex,0.024808828054783,-0.0139626398456008,-0.06286797,0.0,0.0,7,192,10.85972850678733
MK-0752,0.0246566641878468,-0.0275962886847829,-0.50064707,0.0,0.0,7,193,10.916289592760181
pilaralisib,0.0246505620372901,0.0269762607713204,0.096458875,-0.0674344569288389,0.0,7,194,10.972850678733032
KIN001-127,0.0241713032468962,0.0420325788584553,-0.031837173,0.0,0.0,19,195,11.029411764705882
SR-33805,0.0239987063376178,0.0738957091329603,0.036299177,0.0,0.0,7,196,11.085972850678733
oxatomide,0.0237112158786863,0.0042342488499596,-0.041238196,0.0,0.0,7,197,11.142533936651585
SDZ-NKT-343,0.0236327748090362,-0.0053957812555918,0.019371452,0.0766853932584269,0.0,7,198,11.199095022624435
dipyridamole,0.023591795969586,-0.0133063487292491,-0.019801365,-0.1061610486891385,0.0,7,199,11.255656108597286
salermide,0.0234909344452381,-0.0101222241476778,-0.25600585,0.0,0.0,5,200,11.312217194570136
