drug,baseline_score,baseline_rank
moxifloxacin,0.0,261
moxidectin,0.0,262
molsidomine,0.0,263
narlaprevir,0.0,264
molindone,0.0,265
navitoclax,0.0,266
anecortave-acetate,0.0,267
nicergoline,0.0,268
netupitant,0.0,269
nesbuvir,0.0,270
niclosamide,0.0,271
argatroban,0.0,272
aphidicolin,0.0,273
apabetalone,0.0,274
aripiprazole,0.0,275
anisodamine,0.0,276
aniracetam,0.0,277
neostigmine,0.0,278
nisoxetine,0.0,279
aspirin,0.0,280
asymmetrical-dimethylarginine,0.0,281
ataluren,0.0,282
nefazodone,0.0,283
mocetinostat,0.0,284
mizolastine,0.0,285
anagrelide,0.0,286
milacemide,0.0,287
midostaurin,0.0,288
okadaic acid,0.0,289
amoxapine,0.0,290
olanzapine,0.0,291
oprozomib,0.0,292
betahistine,0.0,293
orantinib,0.0,294
midodrine,0.0,295
orlistat,0.0,296
mibefradil,0.0,297
bexarotene,0.0,298
metronidazole,0.0,299
bifonazole,0.0,300
binimetinib,0.0,301
milnacipran,0.0,302
amsacrine,0.0,303
milrinone,0.0,304
minaprine,0.0,305
bardoxolone-methyl,0.0,306
anacetrapib,0.0,307
mitoxantrone,0.0,308
batimastat,0.0,309
bavisant,0.0,310
beclomethasone-dipropionate,0.0,311
belinostat,0.0,312
methylstat,0.0,313
mitomycin-c,0.0,314
nutlin-3,0.0,315
bendroflumethiazide,0.0,316
mirtazapine,0.0,317
amuvatinib,0.0,318
ofloxacin,0.0,319
mirodenafil,0.0,320
benzotript,0.0,321
mitiglinide,0.0,322
benzbromarone,0.0,323
10-DEBC,0.0,324
calpain inhibitor ii,0.0,325
dimethyl-fumarate,0.0,326
haloperidol,0.0,327
dinaciclib,0.0,328
halofantrine,0.0,329
diphenylpyraline,0.0,330
gsk126,0.0,331
dofequidar,0.0,332
griseofulvin,0.0,333
dolutegravir,0.0,334
donitriptan,0.0,335
dopamine,0.0,336
golvatinib,0.0,337
glibenclamide,0.0,338
doxazosin,0.0,339
doxepin,0.0,340
ginkgetin,0.0,341
doxofylline,0.0,342
hexachlorophene,0.0,343
diltiazem,0.0,344
dihydroergocristine,0.0,345
diflunisal,0.0,346
indibulin,0.0,347
indacaterol,0.0,348
imipramine,0.0,349
dequalinium,0.0,350
iguratimod,0.0,351
ifosfamide,0.0,352
dexamethasone-acetate,0.0,353
ifenprodil,0.0,354
doxorubicin,0.0,355
idoxuridin,0.0,356
idelalisib,0.0,357
idasanutlin,0.0,358
idalopirdine,0.0,359
diazoxide,0.0,360
ibrutinib,0.0,361
dicloxacillin,0.0,362
dicoumarol,0.0,363
hydrocortisone,0.0,364
dexniguldipine,0.0,365
gimeracil,0.0,366
dronedarone,0.0,367
gestrinone,0.0,368
epothilone-b,0.0,369
fludroxycortide,0.0,370
epz-5676,0.0,371
epz004777,0.0,372
floxuridine,0.0,373
