drug,trace_score,emp_pvalue,emp_padj,significant,trace_rank,baseline_score,baseline_rank
AZD-4547,0.0407645179857662,0.094,1.0,False,108,-0.1042322097378277,50
ulipristal,0.0406407019855174,0.173,1.0,False,109,0.0,787
PCI-24781,0.0405989959076093,0.101,1.0,False,110,0.0,635
zolpidem,0.0405115721389588,0.112,1.0,False,111,-0.0950187265917602,72
PD-184352,0.0398474726182421,0.146,1.0,False,112,-0.0618913857677902,199
GSK-429286A,0.039790276004391,0.115,1.0,False,113,-0.0894756554307116,91
bosutinib,0.0396286570201683,0.043,1.0,False,114,0.0,238
dovitinib,0.0395321057292871,0.101,1.0,False,115,-0.0824719101123595,114
binimetinib,0.0394566159410294,0.092,1.0,False,116,0.0,301
cordycepin,0.0392744020525639,0.279,1.0,False,117,0.0622471910112359,854
tracazolate,0.0392311088623537,0.124,1.0,False,118,0.0,812
KD-025,0.0391878176678615,0.178,1.0,False,119,0.0,536
pentobarbital,0.0391258520712558,0.097,1.0,False,120,0.0,727
AVL-292,0.0391013287496834,0.143,1.0,False,121,-0.1008239700374531,58
SB-939,0.0388896013149444,0.104,1.0,False,122,0.0,806
vu0155056,0.038650048598849,0.168,1.0,False,123,0.0,630
PF-573228,0.0377638621530975,0.228,1.0,False,124,0.0,766
EMD-1214063,0.0375963921356862,0.116,1.0,False,125,0.0,605
bisindolylmaleimide,0.0375886650799343,0.184,1.0,False,126,-0.0616666666666666,202
BGT-226,0.0369310953447884,0.108,1.0,False,127,-0.1165168539325842,32
ursodiol,0.0368881980111672,0.181,1.0,False,128,-0.08438202247191,108
tecastemizole,0.036803753475237,0.21,1.0,False,129,-0.0623970037453183,195
paracetamol,0.0364802702514391,0.199,1.0,False,130,0.0,699
caffeine,0.0359909207552588,0.33,1.0,False,131,0.1061797752808988,1465
HG-6-64-01,0.0358994495873832,0.146,1.0,False,132,-0.1282584269662921,18
kakonein,0.0358713512051251,0.124,1.0,False,133,0.0,458
bortezomib,0.0356959849723289,0.109,1.0,False,134,0.0,243
nalbuphine,0.0355892931630838,0.237,1.0,False,135,-0.1012359550561797,56
anandamide,0.0354683171977326,0.179,1.0,False,136,0.0535205992509363,821
lacidipine,0.0354310305825429,0.117,1.0,False,137,-0.062752808988764,194
acexamic-acid,0.0344365341787349,0.274,1.0,False,138,0.0,695
sodium-gualenate,0.0339226815802701,0.114,1.0,False,139,0.0,532
levofloxacin,0.0337328295188599,0.245,1.0,False,140,0.0,432
clomifene,0.0334116977067967,0.118,1.0,False,141,-0.0717228464419475,155
LY-2157299,0.0332062975499786,0.108,1.0,False,142,0.0,514
cilomilast,0.0332027538179034,0.361,1.0,False,143,-0.0557677902621722,215
troglitazone,0.0330673153379555,0.333,1.0,False,144,0.0857865168539326,1154
ticagrelor,0.0330529198912077,0.177,1.0,False,145,-0.0810112359550561,121
DPI-201106,0.0330103271079667,0.175,1.0,False,146,-0.0650187265917602,188
XMD-1150,0.0329973618765467,0.177,1.0,False,147,-0.0617602996254681,201
epitiostanol,0.0329713264538763,0.241,1.0,False,148,-0.0864232209737828,100
BIIB-021,0.0329542429040942,0.157,1.0,False,149,-0.0864232209737827,101
SNX-2112,0.0326448851321329,0.156,1.0,False,150,-0.1231835205992509,22
ibrutinib,0.0326210612428271,0.268,1.0,False,151,0.0,361
RG-4733,0.0324805751193041,0.284,1.0,False,152,-0.0667415730337078,178
danusertib,0.0321687326570957,0.167,1.0,False,153,0.0,469
paclitaxel,0.0319459661823021,0.14,1.0,False,154,-0.098876404494382,62
R-428,0.0318685315080164,0.202,1.0,False,155,-0.1318539325842696,14
theophylline,0.0316521935055429,0.476,1.0,False,156,0.0776779026217228,1026
rociletinib,0.0316335646848469,0.134,1.0,False,157,-0.0844569288389513,107
prazosin,0.0312684295151708,0.276,1.0,False,158,0.0,681
NSI-189,0.0309798229522865,0.338,1.0,False,159,0.0,540
MK-2206,0.0309475168895245,0.125,1.0,False,160,0.0,570
praziquantel,0.0308660781834888,0.189,1.0,False,161,0.0623970037453183,856
KU-60019,0.0305632950167066,0.134,1.0,False,162,-0.0810674157303371,120
GSK-2126458,0.0303609459890394,0.13,1.0,False,163,-0.0843071161048688,109
LCQ-908,0.0303270026153766,0.122,1.0,False,164,-0.0926029962546816,80
inosine,0.0302735540719678,0.21,1.0,False,165,0.0,474
LXR-623,0.0301991102207565,0.258,1.0,False,166,0.0,511
LY-2228820,0.0299795606473378,0.097,1.0,False,167,0.0,515
AZD-7762,0.0294559589917467,0.14,1.0,False,168,-0.104438202247191,49
sofalcone,0.028733404017093,0.322,1.0,False,169,-0.0636329588014981,192
molindone,0.0287216897028097,0.267,1.0,False,170,0.0,265
homochlorcyclizine,0.0285002931146789,0.188,1.0,False,171,-0.0763295880149812,137
taselisib,0.0284785970112657,0.186,1.0,False,172,-0.0919288389513108,82
rimcazole,0.0284362251486704,0.13,1.0,False,173,0.0,740
EPZ-005687,0.0284137637730722,0.202,1.0,False,174,0.0,616
refametinib,0.0282387059496049,0.15,1.0,False,175,0.0,775
chlorpropamide,0.0282163891244443,0.142,1.0,False,176,-0.0656179775280899,185
flumatinib,0.0281693526392441,0.16,1.0,False,177,0.0,377
cabazitaxel,0.0278072709993405,0.164,1.0,False,178,-0.0944194756554307,75
lapatinib,0.0277414684750644,0.186,1.0,False,179,0.0,490
torin-2,0.027555268923362,0.154,1.0,False,180,-0.0944569288389513,74
fluoxetine,0.0275215114429834,0.138,1.0,False,181,0.0,408
midostaurin,0.0272884618100382,0.215,1.0,False,182,0.0,288
sarsagenin,0.0268346958289855,0.241,1.0,False,183,-0.0651685393258426,187
clomethiazole,0.0267842494144554,0.458,1.0,False,184,-0.0967228464419475,66
raloxifene,0.0263176100464168,0.149,1.0,False,185,0.0,810
perampanel,0.0262980673085866,0.199,1.0,False,186,0.0,726
foretinib,0.0261155676982591,0.174,1.0,False,187,0.0,406
NU-7441,0.0260161473693273,0.204,1.0,False,188,0.058820224719101,841
BMS-599626,0.0258170565468989,0.256,1.0,False,189,-0.0780149812734082,128
KD-023,0.0255482147555137,0.309,1.0,False,190,0.0,528
clofazimine,0.025246245220405,0.2,1.0,False,191,0.0,486
ubenimex,0.024808828054783,0.484,1.0,False,192,0.0,808
MK-0752,0.0246566641878468,0.32,1.0,False,193,0.0,575
pilaralisib,0.0246505620372901,0.313,1.0,False,194,-0.0674344569288389,176
KIN001-127,0.0241713032468962,0.47,1.0,False,195,0.0,531
SR-33805,0.0239987063376178,0.229,1.0,False,196,0.0,777
oxatomide,0.0237112158786863,0.313,1.0,False,197,0.0,498
SDZ-NKT-343,0.0236327748090362,0.372,1.0,False,198,0.0766853932584269,1009
dipyridamole,0.023591795969586,0.21,1.0,False,199,-0.1061610486891385,45
salermide,0.0234909344452381,0.208,1.0,False,200,0.0,544
AS-703026,0.0233911963270768,0.175,1.0,False,201,-0.0865543071161049,99
diazoxide,0.0233191858400539,0.278,1.0,False,202,0.0,360
torcetrapib,0.0232874856206986,0.319,1.0,False,203,0.0,609
docetaxel,0.0232489778064365,0.238,1.0,False,204,-0.077003745318352,135
CEP-32496,0.0232486468188229,0.456,1.0,False,205,0.0,602
semagacestat,0.023170887153084,0.253,1.0,False,206,0.0,560
cabergoline,0.0225867658711242,0.209,1.0,False,207,-0.0577902621722846,212
avagacestat,0.0224909969640139,0.169,1.0,False,208,-0.1022097378277154,54
naftopidil,0.0224842500797922,0.317,1.0,False,209,0.0,253
isbufylline,0.0224655504255866,0.231,1.0,False,210,-0.0690262172284644,167
TAK-285,0.0224179207812606,0.15,1.0,False,211,-0.0663295880149812,179
PF-04620110,0.0222492063763728,0.432,1.0,False,212,0.0,762
mepacrine,0.0221167884030149,0.276,1.0,False,213,0.0,246
linsidomine,0.0219730691134118,0.2,1.0,False,214,-0.0674157303370786,177
budipine,0.0218858486748815,0.234,1.0,False,215,-0.0622659176029962,197
tamsulosin,0.0218197807887073,0.502,1.0,False,216,0.0862734082397004,1164
KIN001-266,0.0217163890697113,0.232,1.0,False,217,0.0,535
FK-888,0.0217137729654851,0.334,1.0,False,218,0.0,641
XMD-16144,0.0216280359311507,0.321,1.0,False,219,0.0,675
honokiol,0.0215898884942584,0.364,1.0,False,220,-0.0630898876404494,193
felbinac,0.021480868236439,0.287,1.0,False,221,0.0,380
AZD-9668,0.0210455414253661,0.388,1.0,False,222,0.0,537
GDC-0980,0.0210094532160756,0.203,1.0,False,223,0.0,648
aripiprazole,0.020991794559453,0.334,1.0,False,224,0.0,275
delivert,0.0209257788548467,0.331,1.0,False,225,0.0893071161048689,1215
luliconazole,0.0209150506923765,0.505,1.0,False,226,0.0,443
temoporfin,0.0208685894216014,0.325,1.0,False,227,-0.0873220973782771,98
meisoindigo,0.0207003793656349,0.301,1.0,False,228,0.0,222
cariprazine,0.0206913040520253,0.423,1.0,False,229,0.0,448
3-amino-benzamide,0.0201897854073093,0.446,1.0,False,230,0.0,811
N6022,0.0201119377985594,0.354,1.0,False,231,0.0,574
macitentan,0.0199209575890323,0.183,1.0,False,232,-0.0758052434456928,139
AZD-1981,0.0197783625786669,0.368,1.0,False,233,0.0,757
nesbuvir,0.0197245101761484,0.244,1.0,False,234,0.0,270
BIX-01294,0.0196674624750683,0.245,1.0,False,235,0.0747191011235955,974
celecoxib,0.0196296244167052,0.478,1.0,False,236,0.0663295880149812,884
andarine,0.019285074046503,0.29,1.0,False,237,0.0,249
GSK-461364,0.0192333752826862,0.275,1.0,False,238,-0.0968726591760299,64
atipamezole,0.0192149068485871,0.335,1.0,False,239,0.0888576779026217,1208
laropiprant,0.0192011613345233,0.498,1.0,False,240,-0.0687453183520599,170
methoxsalen,0.0191581451377523,0.437,1.0,False,241,-0.0682397003745318,171
ketoconazole,0.0189904458649691,0.395,1.0,False,242,0.0,465
ranitidine,0.018869745600198,0.559,1.0,False,243,0.0,797
PF-03758309,0.0187213175328279,0.278,1.0,False,244,0.0,758
AZ-628,0.0187093381445363,0.317,1.0,False,245,0.0,747
indole-3-carbinol,0.018538623198821,0.446,1.0,False,246,-0.0750374531835205,145
gemifloxacin,0.0184861629576393,0.429,1.0,False,247,0.0,394
BMS-509744,0.0184625618162064,0.42,1.0,False,248,0.0,591
amoxapine,0.018457763103603,0.527,1.0,False,249,0.0,290
compound e,0.0183930562165133,0.497,1.0,False,250,0.0,493
JWE-035,0.0183395658096769,0.388,1.0,False,251,0.0,525
carfilzomib,0.0181505730702242,0.228,1.0,False,252,0.0,445
azacitidine,0.0180880945353107,0.264,1.0,False,253,0.0,254
piracetam,0.0180328278351026,0.629,1.0,False,254,0.1001498127340824,1377
brivudine,0.0179648072774977,0.513,1.0,False,255,0.0722846441947565,946
VE-822,0.0177950359417611,0.329,1.0,False,256,0.0,679
lomitapide,0.0177432964636679,0.317,1.0,False,257,0.0,416
pioglitazone,0.0176865495547237,0.34,1.0,False,258,-0.0746629213483146,146
AV-412,0.017494874186552,0.198,1.0,False,259,0.0,807
bazedoxifene,0.0174140515527349,0.35,1.0,False,260,0.0649063670411984,871
varenicline,0.0172980368105465,0.502,1.0,False,261,0.0,500
faropenem,0.0171828433949785,0.353,1.0,False,262,-0.0757865168539325,141
curcumin,0.0171223573212391,0.574,1.0,False,263,0.0,496
SR-57227A,0.0170531222697291,0.462,1.0,False,264,0.0,778
milrinone,0.0170461382107084,0.511,1.0,False,265,0.0,304
rimonabant,0.0169838857879551,0.432,1.0,False,266,0.0,752
ixabepilone,0.0169591968928652,0.292,1.0,False,267,-0.0731460674157303,148
penitrem-a,0.0168975772218219,0.309,1.0,False,268,0.0,730
cytochalasin-b,0.0167926363467583,0.49,1.0,False,269,0.0,462
oprozomib,0.0167497544238582,0.283,1.0,False,270,0.0,292
pindolol,0.0167046903513474,0.268,1.0,False,271,0.0,663
paroxetine,0.0166304906023743,0.475,1.0,False,272,0.0746816479400749,973
desoxypeganine,0.0165752437073008,0.457,1.0,False,273,0.0634269662921348,864
mitiglinide,0.0164236225032341,0.439,1.0,False,274,0.0,322
diphenidol,0.0163066566033335,0.555,1.0,False,275,0.068501872659176,907
NVP-BEZ235,0.0162761461819107,0.244,1.0,False,276,-0.0661423220973782,181
oxybutynin,0.016111320805537,0.362,1.0,False,277,0.0775842696629213,1024
