drug,final_score,trace_score,genetic_support,pathway_concordance,sig_reproducibility,n_cell_lines,baseline_score,final_rank
AZD-4547,0.7182692307692308,0.0407645179857662,0.0,0.0,0.0,24,-0.1042322097378277,108
ulipristal,0.7179864253393665,0.0406407019855174,0.0,0.0,0.0,7,0.0,109
PCI-24781,0.7177036199095023,0.0405989959076093,0.0,0.0,0.0,7,0.0,110
zolpidem,0.717420814479638,0.0405115721389588,0.0,0.0,0.0,7,-0.0950187265917602,111
PD-184352,0.7171380090497738,0.0398474726182421,0.0,0.0,0.0,15,-0.0618913857677902,112
GSK-429286A,0.7168552036199095,0.039790276004391,0.0,0.0,0.0,19,-0.0894756554307116,113
bosutinib,0.7165723981900453,0.0396286570201683,0.0,0.0,0.0,24,0.0,114
dovitinib,0.716289592760181,0.0395321057292871,0.0,0.0,0.0,13,-0.0824719101123595,115
binimetinib,0.7160067873303168,0.0394566159410294,0.0,0.0,0.0,7,0.0,116
cordycepin,0.7157239819004525,0.0392744020525639,0.0,0.0,0.0,7,0.0622471910112359,117
tracazolate,0.7154411764705882,0.0392311088623537,0.0,0.0,0.0,7,0.0,118
KD-025,0.715158371040724,0.0391878176678615,0.0,0.0,0.0,7,0.0,119
pentobarbital,0.7148755656108597,0.0391258520712558,0.0,0.0,0.0,7,0.0,120
AVL-292,0.7145927601809955,0.0391013287496834,0.0,0.0,0.0,7,-0.1008239700374531,121
SB-939,0.7143099547511312,0.0388896013149444,0.0,0.0,0.0,21,0.0,122
vu0155056,0.714027149321267,0.038650048598849,0.0,0.0,0.0,5,0.0,123
PF-573228,0.7137443438914027,0.0377638621530975,0.0,0.0,0.0,19,0.0,124
EMD-1214063,0.7134615384615385,0.0375963921356862,0.0,0.0,0.0,7,0.0,125
bisindolylmaleimide,0.7131787330316742,0.0375886650799343,0.0,0.0,0.0,7,-0.0616666666666666,126
BGT-226,0.71289592760181,0.0369310953447884,0.0,0.0,0.0,22,-0.1165168539325842,127
ursodiol,0.7126131221719457,0.0368881980111672,0.0,0.0,0.0,7,-0.08438202247191,128
tecastemizole,0.7123303167420815,0.036803753475237,0.0,0.0,0.0,7,-0.0623970037453183,129
paracetamol,0.7120475113122172,0.0364802702514391,0.0,0.0,0.0,7,0.0,130
caffeine,0.711764705882353,0.0359909207552588,0.0,0.0,0.0,7,0.1061797752808988,131
HG-6-64-01,0.7114819004524887,0.0358994495873832,0.0,0.0,0.0,15,-0.1282584269662921,132
kakonein,0.7111990950226245,0.0358713512051251,0.0,0.0,0.0,7,0.0,133
bortezomib,0.7109162895927602,0.0356959849723289,0.0,0.0,0.0,7,0.0,134
nalbuphine,0.710633484162896,0.0355892931630838,0.0,0.0,0.0,7,-0.1012359550561797,135
anandamide,0.7103506787330317,0.0354683171977326,0.0,0.0,0.0,7,0.0535205992509363,136
lacidipine,0.7100678733031675,0.0354310305825429,0.0,0.0,0.0,7,-0.062752808988764,137
acexamic-acid,0.7097850678733032,0.0344365341787349,0.0,0.0,0.0,7,0.0,138
sodium-gualenate,0.709502262443439,0.0339226815802701,0.0,0.0,0.0,7,0.0,139
levofloxacin,0.7092194570135746,0.0337328295188599,0.0,0.0,0.0,7,0.0,140
clomifene,0.7089366515837103,0.0334116977067967,0.0,0.0,0.0,7,-0.0717228464419475,141
LY-2157299,0.7086538461538461,0.0332062975499786,0.0,0.0,0.0,7,0.0,142
cilomilast,0.7083710407239818,0.0332027538179034,0.0,0.0,0.0,7,-0.0557677902621722,143
troglitazone,0.7080882352941176,0.0330673153379555,0.0,0.0,0.0,7,0.0857865168539326,144
ticagrelor,0.7078054298642533,0.0330529198912077,0.0,0.0,0.0,7,-0.0810112359550561,145
DPI-201106,0.7075226244343891,0.0330103271079667,0.0,0.0,0.0,7,-0.0650187265917602,146
XMD-1150,0.7072398190045248,0.0329973618765467,0.0,0.0,0.0,15,-0.0617602996254681,147
epitiostanol,0.7069570135746606,0.0329713264538763,0.0,0.0,0.0,7,-0.0864232209737828,148
BIIB-021,0.7066742081447963,0.0329542429040942,0.0,0.0,0.0,7,-0.0864232209737827,149
SNX-2112,0.7063914027149321,0.0326448851321329,0.0,0.0,0.0,7,-0.1231835205992509,150
ibrutinib,0.7061085972850678,0.0326210612428271,0.0,0.0,0.0,24,0.0,151
RG-4733,0.7058257918552036,0.0324805751193041,0.0,0.0,0.0,8,-0.0667415730337078,152
danusertib,0.7055429864253393,0.0321687326570957,0.0,0.0,0.0,7,0.0,153
paclitaxel,0.705260180995475,0.0319459661823021,0.0,0.0,0.0,7,-0.098876404494382,154
R-428,0.7049773755656108,0.0318685315080164,0.0,0.0,0.0,7,-0.1318539325842696,155
theophylline,0.7046945701357465,0.0316521935055429,0.0,0.0,0.0,7,0.0776779026217228,156
rociletinib,0.7044117647058823,0.0316335646848469,0.0,0.0,0.0,7,-0.0844569288389513,157
prazosin,0.704128959276018,0.0312684295151708,0.0,0.0,0.0,7,0.0,158
NSI-189,0.7038461538461538,0.0309798229522865,0.0,0.0,0.0,7,0.0,159
MK-2206,0.7035633484162895,0.0309475168895245,0.0,0.0,0.0,17,0.0,160
praziquantel,0.7032805429864253,0.0308660781834888,0.0,0.0,0.0,7,0.0623970037453183,161
KU-60019,0.702997737556561,0.0305632950167066,0.0,0.0,0.0,19,-0.0810674157303371,162
GSK-2126458,0.7027149321266968,0.0303609459890394,0.0,0.0,0.0,15,-0.0843071161048688,163
LCQ-908,0.7024321266968325,0.0303270026153766,0.0,0.0,0.0,7,-0.0926029962546816,164
inosine,0.7021493212669683,0.0302735540719678,0.0,0.0,0.0,7,0.0,165
LXR-623,0.701866515837104,0.0301991102207565,0.0,0.0,0.0,7,0.0,166
LY-2228820,0.7015837104072398,0.0299795606473378,0.0,0.0,0.0,7,0.0,167
AZD-7762,0.7013009049773755,0.0294559589917467,0.0,0.0,0.0,27,-0.104438202247191,168
sofalcone,0.7010180995475113,0.028733404017093,0.0,0.0,0.0,7,-0.0636329588014981,169
molindone,0.700735294117647,0.0287216897028097,0.0,0.0,0.0,7,0.0,170
homochlorcyclizine,0.7004524886877828,0.0285002931146789,0.0,0.0,0.0,7,-0.0763295880149812,171
taselisib,0.7001696832579185,0.0284785970112657,0.0,0.0,0.0,7,-0.0919288389513108,172
rimcazole,0.6998868778280543,0.0284362251486704,0.0,0.0,0.0,7,0.0,173
EPZ-005687,0.69960407239819,0.0284137637730722,0.0,0.0,0.0,5,0.0,174
refametinib,0.6993212669683257,0.0282387059496049,0.0,0.0,0.0,7,0.0,175
chlorpropamide,0.6990384615384615,0.0282163891244443,0.0,0.0,0.0,7,-0.0656179775280899,176
flumatinib,0.6987556561085972,0.0281693526392441,0.0,0.0,0.0,7,0.0,177
cabazitaxel,0.698472850678733,0.0278072709993405,0.0,0.0,0.0,7,-0.0944194756554307,178
lapatinib,0.6981900452488687,0.0277414684750644,0.0,0.0,0.0,17,0.0,179
torin-2,0.6979072398190045,0.027555268923362,0.0,0.0,0.0,13,-0.0944569288389513,180
fluoxetine,0.6976244343891402,0.0275215114429834,0.0,0.0,0.0,7,0.0,181
midostaurin,0.697341628959276,0.0272884618100382,0.0,0.0,0.0,7,0.0,182
sarsagenin,0.6970588235294117,0.0268346958289855,0.0,0.0,0.0,7,-0.0651685393258426,183
clomethiazole,0.6967760180995475,0.0267842494144554,0.0,0.0,0.0,7,-0.0967228464419475,184
raloxifene,0.6964932126696832,0.0263176100464168,0.0,0.0,0.0,7,0.0,185
perampanel,0.696210407239819,0.0262980673085866,0.0,0.0,0.0,7,0.0,186
foretinib,0.6959276018099547,0.0261155676982591,0.0,0.0,0.0,15,0.0,187
NU-7441,0.6956447963800905,0.0260161473693273,0.0,0.0,0.0,13,0.058820224719101,188
BMS-599626,0.6953619909502262,0.0258170565468989,0.0,0.0,0.0,7,-0.0780149812734082,189
KD-023,0.695079185520362,0.0255482147555137,0.0,0.0,0.0,7,0.0,190
clofazimine,0.6947963800904977,0.025246245220405,0.0,0.0,0.0,7,0.0,191
ubenimex,0.6945135746606335,0.024808828054783,0.0,0.0,0.0,7,0.0,192
