drug,trace_score,trace_rank
PCI-24781,0.040598995907609375,110
zolpidem,0.04051157213895883,111
PD-184352,0.03984747261824212,112
GSK-429286A,0.03979027600439102,113
bosutinib,0.039628657020168344,114
dovitinib,0.039532105729287115,115
binimetinib,0.03945661594102946,116
cordycepin,0.03927440205256395,117
tracazolate,0.039231108862353765,118
KD-025,0.03918781766786156,119
pentobarbital,0.03912585207125585,120
AVL-292,0.03910132874968347,121
SB-939,0.03888960131494441,122
vu0155056,0.03865004859884902,123
PF-573228,0.03776386215309753,124
EMD-1214063,0.037596392135686274,125
bisindolylmaleimide,0.037588665079934386,126
BGT-226,0.036931095344788466,127
ursodiol,0.03688819801116724,128
tecastemizole,0.03680375347523708,129
paracetamol,0.036480270251439136,130
caffeine,0.03599092075525886,131
HG-6-64-01,0.03589944958738321,132
kakonein,0.0358713512051251,133
bortezomib,0.0356959849723289,134
nalbuphine,0.03558929316308384,135
anandamide,0.03546831719773262,136
lacidipine,0.03543103058254294,137
acexamic-acid,0.03443653417873494,138
sodium-gualenate,0.033922681580270175,139
levofloxacin,0.033732829518859975,140
clomifene,0.03341169770679672,141
LY-2157299,0.03320629754997864,142
cilomilast,0.03320275381790347,143
troglitazone,0.033067315337955545,144
ticagrelor,0.033052919891207705,145
DPI-201106,0.033010327107966794,146
XMD-1150,0.03299736187654672,147
epitiostanol,0.0329713264538763,148
BIIB-021,0.03295424290409428,149
SNX-2112,0.032644885132132984,150
ibrutinib,0.032621061242827196,151
RG-4733,0.032480575119304154,152
danusertib,0.03216873265709573,153
paclitaxel,0.03194596618230212,154
R-428,0.03186853150801648,155
theophylline,0.0316521935055429,156
rociletinib,0.03163356468484693,157
prazosin,0.03126842951517089,158
NSI-189,0.030979822952286587,159
MK-2206,0.03094751688952452,160
praziquantel,0.03086607818348887,161
KU-60019,0.030563295016706637,162
GSK-2126458,0.03036094598903948,163
LCQ-908,0.03032700261537661,164
inosine,0.03027355407196787,165
LXR-623,0.030199110220756515,166
LY-2228820,0.029979560647337884,167
AZD-7762,0.029455958991746765,168
sofalcone,0.02873340401709302,169
molindone,0.028721689702809756,170
homochlorcyclizine,0.02850029311467896,171
taselisib,0.028478597011265785,172
rimcazole,0.02843622514867045,173
EPZ-005687,0.02841376377307223,174
refametinib,0.028238705949604984,175
chlorpropamide,0.028216389124444304,176
flumatinib,0.028169352639244118,177
cabazitaxel,0.02780727099934058,178
lapatinib,0.027741468475064424,179
torin-2,0.02755526892336204,180
fluoxetine,0.027521511442983433,181
midostaurin,0.027288461810038297,182
sarsagenin,0.02683469582898556,183
clomethiazole,0.026784249414455494,184
raloxifene,0.026317610046416844,185
perampanel,0.026298067308586665,186
foretinib,0.026115567698259144,187
