,trace_score,baseline_score,sig_reproducibility,n_cell_lines,genetic_support,pathway_concordance,n_targets
DPI-201106,0.0330103271079667,-0.0650187265917602,0.0,7,0.0,0.0,0.0
pravastatin,0.0445469692123049,-0.0648876404494381,0.0,8,0.0,0.0,0.0
XMD11-85H,0.0537197998517982,-0.0647003745318352,0.0,15,0.0,0.0,0.0
GSK-923295,-0.0048468875701098,-0.0644382022471909,0.0,7,0.0,0.0,
sofalcone,0.028733404017093,-0.0636329588014981,0.0,7,0.0,0.0,0.0
honokiol,0.0215898884942584,-0.0630898876404494,0.0,7,0.0,0.0,
lacidipine,0.0354310305825429,-0.062752808988764,0.0,7,0.0,0.0,0.0
tecastemizole,0.036803753475237,-0.0623970037453183,0.0,7,0.0,0.0,0.0
ornidazole,-0.0004862168674487,-0.0623220973782771,0.0,7,0.0,0.0,
budipine,0.0218858486748815,-0.0622659176029962,0.0,7,0.0,0.0,
UK-383367,0.0159550614571789,-0.0619662921348314,0.0,7,0.0,0.0,
PD-184352,0.0398474726182421,-0.0618913857677902,0.0,15,0.0,0.0,0.0
amikacin,-0.0038875428175638,-0.0617790262172284,0.0,7,0.0,0.0,
XMD-1150,0.0329973618765467,-0.0617602996254681,0.0,15,0.0,0.0,0.0
bisindolylmaleimide,0.0375886650799343,-0.0616666666666666,0.0,7,0.0,0.0,0.0
GSK-690693,-0.0060836440143789,-0.0615917602996254,0.0,13,0.0,0.0,
podophyllotoxin,0.0053710850041475,-0.0612359550561797,0.0,7,0.0,0.0,
tenidap,0.004734267563474,-0.0612172284644194,0.0,7,0.0,0.0,
vicriviroc,0.0040074760554113,-0.0611048689138576,0.0,7,0.0,0.0,
r(-)-apomorphine,0.0016295336443206,-0.0599250936329587,0.0,7,0.0,0.0,
trehalose,-0.0031172621448352,-0.0596629213483146,0.0,7,0.0,0.0,
alaproclate,-0.0069502836625217,-0.059063670411985,0.0,7,0.0,0.0,
lomerizine,-0.0051301740360342,-0.0584082397003745,0.0,7,0.0,0.0,
tegobuvir,0.0123302047470185,-0.0578838951310861,0.0,7,0.0,0.0,
cabergoline,0.0225867658711242,-0.0577902621722846,0.0,7,0.0,0.0,
TG-101348,0.0601657867457739,-0.0577153558052434,0.0,14,0.0,0.0,0.0
PKI-179,-0.0153639115565996,-0.0564794007490636,0.0,7,0.0,0.0,
cilomilast,0.0332027538179034,-0.0557677902621722,0.0,7,0.0,0.0,0.0
balaglitazone,-0.0153169305478563,-0.0534082397003745,0.0,7,0.0,0.0,
valsartan,0.0014022037804097,-0.0503932584269662,0.0,7,0.0,0.0,
SR-2640,-0.0038842720454043,-0.0501123595505618,0.0,7,0.0,0.0,
diclofensine,-0.0002539989208131,-0.0465730337078651,0.0,7,0.0,0.0,
nepafenac,-0.0144235562992404,-0.045880149812734,0.0,7,0.0,0.0,
bitopertin,0.0045013519878303,0.0,0.0,7,0.0,0.0,
meisoindigo,0.0207003793656349,0.0,0.0,7,0.0,0.0,
busulfan,-0.0224953317201761,0.0,0.0,7,0.0,0.0,
broxuridine,0.0132502219579553,0.0,0.0,7,0.0,0.0,
meglitinide,-0.0041902374905093,0.0,0.0,7,0.0,0.0,
methylprednisolone,-0.0667390844648377,0.0,0.0,7,0.0,0.0,
mefloquine,-0.0129613207933515,0.0,0.0,7,0.0,0.0,
meptazinol,-0.0005820768941244,0.0,0.0,7,0.0,0.0,
buspirone,-0.0587700265262825,0.0,0.0,7,0.0,0.0,
merbarone,-0.0312084609466034,0.0,0.0,7,0.0,0.0,
mephentermine,-0.0213887015655494,0.0,0.0,7,0.0,0.0,
amitriptyline,-0.0317793579940573,0.0,0.0,7,0.0,0.0,
amitifadine,-0.0186201532145301,0.0,0.0,7,0.0,0.0,
mestinon,-0.0531983899943444,0.0,0.0,7,0.0,0.0,
brequinar,-0.0187878362508306,0.0,0.0,7,0.0,0.0,
amlexanox,-0.0082937974773247,0.0,0.0,7,0.0,0.0,
bms-906024,-0.0109254502933312,0.0,0.0,2,0.0,0.0,
bosutinib,0.0396286570201683,0.0,0.0,24,0.0,0.0,0.0
bupivacaine,0.0096442340815492,0.0,0.0,7,0.0,0.0,
menadione,-0.0246948238323984,0.0,0.0,7,0.0,0.0,
metergoline,0.0068192748317552,0.0,0.0,7,0.0,0.0,
metatinib,0.007205564033653,0.0,0.0,7,0.0,0.0,
bortezomib,0.0356959849723289,0.0,0.0,7,0.0,0.0,0.0
metformin,0.0131382915594691,0.0,0.0,7,0.0,0.0,
buparlisib,-0.021772896755604,0.0,0.0,15,0.0,0.0,
mepacrine,0.0221167884030149,0.0,0.0,7,0.0,0.0,
apocynin,-0.0111424891274879,0.0,0.0,7,0.0,0.0,
metixene,0.0109453153283198,0.0,0.0,7,0.0,0.0,
andarine,0.019285074046503,0.0,0.0,7,0.0,0.0,
atovaquone,-0.0004206742089208,0.0,0.0,7,0.0,0.0,
nortriptyline,0.0106533139426075,0.0,0.0,7,0.0,0.0,
avanafil,0.0023278221318233,0.0,0.0,7,0.0,0.0,
naftopidil,0.0224842500797922,0.0,0.0,7,0.0,0.0,
azacitidine,0.0180880945353107,0.0,0.0,21,0.0,0.0,
naftidrofuryl,0.0068212717887524,0.0,0.0,7,0.0,0.0,
mycophenolic-acid,0.0117915711245092,0.0,0.0,7,0.0,0.0,
mycophenolate-mofetil,-0.0124127983490857,0.0,0.0,7,0.0,0.0,
mubritinib,-0.0128325437409585,0.0,0.0,7,0.0,0.0,
bafilomycin a1,0.1028006358958682,0.0,0.0,5,0.0,0.0,0.0
mozavaptan,0.0021965022169645,0.0,0.0,7,0.0,0.0,
moxifloxacin,-0.0133349040457574,0.0,0.0,7,0.0,0.0,
moxidectin,-0.0294647407817763,0.0,0.0,7,0.0,0.0,
molsidomine,-0.0234114030592779,0.0,0.0,7,0.0,0.0,
narlaprevir,-4.796503216002938e-06,0.0,0.0,7,0.0,0.0,
molindone,0.0287216897028097,0.0,0.0,7,0.0,0.0,0.0
navitoclax,-0.0114311030045824,0.0,0.0,7,0.0,0.0,
anecortave-acetate,0.0001734306685045,0.0,0.0,7,0.0,0.0,
nicergoline,-0.0440581981615094,0.0,0.0,7,0.0,0.0,
netupitant,0.0019305380863888,0.0,0.0,7,0.0,0.0,
nesbuvir,0.0197245101761484,0.0,0.0,7,0.0,0.0,
niclosamide,-0.0222859841185126,0.0,0.0,9,0.0,0.0,
argatroban,-0.0003283874744714,0.0,0.0,7,0.0,0.0,
aphidicolin,-0.0274195155943935,0.0,0.0,7,0.0,0.0,
apabetalone,0.0152855248851928,0.0,0.0,7,0.0,0.0,
aripiprazole,0.020991794559453,0.0,0.0,7,0.0,0.0,
anisodamine,-0.0534611869009973,0.0,0.0,7,0.0,0.0,
aniracetam,-0.0331372412823829,0.0,0.0,7,0.0,0.0,
neostigmine,0.0052571988363154,0.0,0.0,7,0.0,0.0,
nisoxetine,-0.0275255992019444,0.0,0.0,7,0.0,0.0,
aspirin,0.0048157204689686,0.0,0.0,7,0.0,0.0,
asymmetrical-dimethylarginine,-0.0266649789458193,0.0,0.0,7,0.0,0.0,
ataluren,-0.0106504336408305,0.0,0.0,7,0.0,0.0,
nefazodone,-0.0120577052130432,0.0,0.0,7,0.0,0.0,
mocetinostat,0.0014482765180301,0.0,0.0,19,0.0,0.0,
mizolastine,0.0525896975544685,0.0,0.0,7,0.0,0.0,1.0
anagrelide,0.0408527620111257,0.0,0.0,7,0.0,0.0,0.0
milacemide,0.010327577240026,0.0,0.0,7,0.0,0.0,
midostaurin,0.0272884618100382,0.0,0.0,7,0.0,0.0,0.0
okadaic acid,-0.0185144795236444,0.0,0.0,5,0.0,0.0,
amoxapine,0.018457763103603,0.0,0.0,7,0.0,0.0,
olanzapine,0.0119103088352083,0.0,0.0,7,0.0,0.0,
oprozomib,0.0167497544238582,0.0,0.0,7,0.0,0.0,
betahistine,-0.0044265559912954,0.0,0.0,7,0.0,0.0,
orantinib,-0.0483424653055206,0.0,0.0,7,0.0,0.0,
midodrine,-0.0465708251643738,0.0,0.0,7,0.0,0.0,
orlistat,0.1159934148203403,0.0,0.0,7,0.0,0.0,2.0
mibefradil,-0.0010536666017746,0.0,0.0,7,0.0,0.0,
bexarotene,-0.0504836086776479,0.0,0.0,7,0.0,0.0,
metronidazole,0.0433696974277885,0.0,0.0,7,0.0,0.0,1.0
bifonazole,-0.0633118543935287,0.0,0.0,7,0.0,0.0,
binimetinib,0.0394566159410294,0.0,0.0,7,0.0,0.0,0.0
milnacipran,-0.0624314458001539,0.0,0.0,7,0.0,0.0,
amsacrine,-0.043363048748779,0.0,0.0,7,0.0,0.0,
milrinone,0.0170461382107084,0.0,0.0,7,0.0,0.0,
minaprine,-0.0145193662706539,0.0,0.0,7,0.0,0.0,
bardoxolone-methyl,0.0101533876526465,0.0,0.0,7,0.0,0.0,
anacetrapib,0.0160475706428087,0.0,0.0,7,0.0,0.0,
mitoxantrone,-0.019136582418983,0.0,0.0,29,0.0,0.0,
batimastat,-0.0615517396924431,0.0,0.0,7,0.0,0.0,
bavisant,-0.024802495326549,0.0,0.0,7,0.0,0.0,
beclomethasone-dipropionate,-0.009777289317696,0.0,0.0,7,0.0,0.0,
belinostat,0.0425670552698215,0.0,0.0,21,0.0,0.0,0.0
methylstat,-0.0007135935124015,0.0,0.0,19,0.0,0.0,
mitomycin-c,-0.054422399207776,0.0,0.0,7,0.0,0.0,
nutlin-3,-0.0232708838711064,0.0,0.0,7,0.0,0.0,
bendroflumethiazide,-0.0239930257969505,0.0,0.0,7,0.0,0.0,
mirtazapine,-0.0083925897392444,0.0,0.0,7,0.0,0.0,
amuvatinib,0.0045816867248407,0.0,0.0,24,0.0,0.0,
ofloxacin,-0.0236922985620496,0.0,0.0,7,0.0,0.0,
mirodenafil,0.004771266795265,0.0,0.0,7,0.0,0.0,
benzotript,-0.0332026523558352,0.0,0.0,7,0.0,0.0,
mitiglinide,0.0164236225032341,0.0,0.0,7,0.0,0.0,
benzbromarone,-0.0021025555421637,0.0,0.0,7,0.0,0.0,
10-DEBC,-0.017385592881468,0.0,0.0,7,0.0,0.0,
calpain inhibitor ii,0.0421623829135591,0.0,0.0,5,0.0,0.0,0.0
dimethyl-fumarate,-0.0052343361852342,0.0,0.0,7,0.0,0.0,
haloperidol,0.0126147865305709,0.0,0.0,7,0.0,0.0,
dinaciclib,-0.0522349157998246,0.0,0.0,23,0.0,0.0,
halofantrine,-0.0221060176530531,0.0,0.0,7,0.0,0.0,
diphenylpyraline,-0.0266975455368072,0.0,0.0,7,0.0,0.0,
gsk126,0.0075334775200097,0.0,0.0,5,0.0,0.0,
dofequidar,-0.0276190799269743,0.0,0.0,7,0.0,0.0,
griseofulvin,-0.0441740184785762,0.0,0.0,7,0.0,0.0,
dolutegravir,-0.000109335485414,0.0,0.0,7,0.0,0.0,
donitriptan,0.0032568543553515,0.0,0.0,7,0.0,0.0,
dopamine,-0.0451411586693349,0.0,0.0,7,0.0,0.0,
golvatinib,-0.0015369342044844,0.0,0.0,7,0.0,0.0,
glibenclamide,-0.0075158355125082,0.0,0.0,7,0.0,0.0,
doxazosin,0.0159710883971647,0.0,0.0,7,0.0,0.0,
doxepin,-0.0756863533667459,0.0,0.0,7,0.0,0.0,
ginkgetin,-0.0368985680329619,0.0,0.0,5,0.0,0.0,
doxofylline,0.0439170376666387,0.0,0.0,7,0.0,0.0,0.0
hexachlorophene,0.007602198074269,0.0,0.0,7,0.0,0.0,
diltiazem,-0.0308462829721074,0.0,0.0,7,0.0,0.0,
dihydroergocristine,0.0043872536693178,0.0,0.0,7,0.0,0.0,
diflunisal,-0.0124553511578855,0.0,0.0,7,0.0,0.0,
indibulin,0.0058896634327203,0.0,0.0,7,0.0,0.0,
indacaterol,-0.0050417622998676,0.0,0.0,7,0.0,0.0,
imipramine,-0.0440873062571524,0.0,0.0,7,0.0,0.0,
