drug,weighted_trace,weighted_rank
ritonavir,0.002492505726456516,335
sulmazole,0.0021616471724803504,336
ketanserin,0.0021282220673550034,337
delivert,0.0021140508774942068,338
SB-743921,0.002042573859640708,339
SB-590885,0.002038851768105925,340
EVP-6124,0.001983005460810696,341
kakonein,0.0019781228671057606,342
clobetasol,0.00197249681062582,343
tegobuvir,0.0018318333449527865,344
gsk126,0.001804655780588458,345
levetiracetam,0.0017586782540637256,346
ticlopidine,0.0017504224553369402,347
palbociclib,0.0015248573951526737,348
itraconazole,0.001390110973660832,349
honokiol,0.0013130827478136313,350
JW-7-24-1,0.0013053053780453534,351
saquinavir,0.0012177743176349871,352
bruceantin,0.001191234040549066,353
doxofylline,0.0010719147397238197,354
lenvatinib,0.0010399631330102093,355
cimetidine,0.0009797684209670485,356
lapatinib,0.0009233742318915866,357
avanafil,0.0007690589113463339,358
lisofylline,0.000745671293419693,359
luliconazole,0.0005698714002463082,360
sodium-gualenate,0.0003265967853684494,361
combretastatin-A-4,0.0003262731805645594,362
inosine,0.0002619687367318845,363
zonisamide,0.00022292518832691308,364
cinoxacin,0.00020032504068336955,365
capsaicin,0.00017350972254256007,366
cariporide,-7.157617473461208e-05,367
hexachlorophene,-7.823010369917685e-05,368
prednisone,-0.00015945320573501192,369
"ICI-185,282",-0.00017720216629814886,370
NPK76-II-72-1,-0.00032392322137368663,371
ixazomib-citrate,-0.0005533144496210997,372
nafamostat,-0.0005934965367471795,373
vicriviroc,-0.000666832737776324,374
milacemide,-0.0006921823315155892,375
desoxypeganine,-0.0007076117930087716,376
tesaglitazar,-0.0008381609362281901,377
benazepril,-0.0009225430008564514,378
valproic-acid,-0.0010336128672339612,379
desmopressin-acetate,-0.0010350418776121388,380
SR-2640,-0.0011162826741401167,381
caffeine,-0.001153478875758365,382
ketorolac,-0.001184409557686003,383
faropenem,-0.0011909396254038665,384
eperezolid,-0.0012628804771180108,385
camptothecin,-0.0014636826874462761,386
torcetrapib,-0.001482720915590847,387
varenicline,-0.0015196452033259206,388
orteronel,-0.001569691188516005,389
penitrem-a,-0.001588234126410827,390
dazmegrel,-0.001595117687597377,391
sulpiride,-0.001600829315500788,392
KD-025,-0.001725998329901754,393
acexamic-acid,-0.0019389642903347374,394
dapagliflozin,-0.0019870036109512017,395
LY-294002,-0.0020455799386862187,396
fludroxycortide,-0.0022893318508704808,397
perhexiline,-0.0024836085371824335,398
BIX-01338,-0.002537223946759754,399
tasisulam,-0.002640763047800088,400
triamcinolone,-0.002668921137520282,401
oxybutynin,-0.0029097280621604438,402
IKK-2-inhibitor-V,-0.0030417485693257002,403
acarbose,-0.0030707611969428626,404
celecoxib,-0.0033030002460749676,405
L-citrulline,-0.003416180326251982,406
fenticonazole,-0.003473820845303456,407
nesbuvir,-0.003479403463736905,408
amikacin,-0.0034828758583773066,409
closantel,-0.003562653056151214,410
medetomidine,-0.0037765208736057695,411
teneligliptin,-0.0037854960941066758,412
pidotimod,-0.003977660971766162,413
podophyllotoxin,-0.003991196228177795,414
penicillin-v-potassium,-0.004034261305624593,415
benfluorex,-0.00406351057927429,416
haloperidol,-0.004100219188302851,417
ganciclovir,-0.00423766589655881,418
dolastatin-10,-0.004291312475753932,419
tenidap,-0.004406106864479393,420
andarine,-0.0044150476340885465,421
ixabepilone,-0.004458780628256171,422
ifosfamide,-0.004473564330071725,423
etofylline-clofibrate,-0.004495938149085443,424
vardenafil,-0.004502233977487891,425
delanzomib,-0.004541646982385274,426
metformin,-0.004608491272543948,427
SEP-227900,-0.0046550725152718865,428
miglitol,-0.00482038182018029,429
telmesteine,-0.004851362718398477,430
lonidamine,-0.004911446575694288,431
penciclovir,-0.004916682794719906,432
rottlerin,-0.004933390003523084,433
amineptine,-0.004943908832872161,434
dalfampridine,-0.0053030300503307285,435
ambrisentan,-0.005358965863109175,436
indirubin,-0.005384301360697859,437
SDZ-NKT-343,-0.005395781255591837,438
ATN-161,-0.005428823706415997,439
GSK-690693,-0.005557735376052286,440
enoxolone,-0.005821795619643758,441
ketotifen,-0.006130258848088378,442
CTS-1027,-0.0061322171120555295,443
perindopril,-0.00615814732214328,444
elacridar,-0.006387274967892018,445
anastrozole,-0.00643647486274131,446
finasteride,-0.00653048965807211,447
