drug,baseline_score,baseline_rank,trace_score,trace_rank
mocetinostat,0.0,284,0.001448276518030165,456
mizolastine,0.0,285,0.052589697554468566,72
anagrelide,0.0,286,0.04085276201112576,107
milacemide,0.0,287,0.010327577240026004,337
midostaurin,0.0,288,0.027288461810038297,182
okadaic acid,0.0,289,-0.01851447952364443,820
amoxapine,0.0,290,0.018457763103603003,249
olanzapine,0.0,291,0.011910308835208322,324
oprozomib,0.0,292,0.016749754423858246,270
betahistine,0.0,293,-0.00442655599129546,560
orantinib,0.0,294,-0.048342465305520645,1414
midodrine,0.0,295,-0.04657082516437386,1394
orlistat,0.0,296,0.11599341482034035,4
mibefradil,0.0,297,-0.00105366660177467,509
bexarotene,0.0,298,-0.050483608677647916,1443
metronidazole,0.0,299,0.04336969742778853,99
bifonazole,0.0,300,-0.0633118543935287,1595
binimetinib,0.0,301,0.03945661594102946,116
milnacipran,0.0,302,-0.062431445800153945,1584
amsacrine,0.0,303,-0.043363048748779,1325
milrinone,0.0,304,0.01704613821070842,265
minaprine,0.0,305,-0.014519366270653982,759
bardoxolone-methyl,0.0,306,0.010153387652646501,341
anacetrapib,0.0,307,0.016047570642808786,278
mitoxantrone,0.0,308,-0.01913658241898307,841
batimastat,0.0,309,-0.061551739692443104,1572
bavisant,0.0,310,-0.024802495326549066,953
beclomethasone-dipropionate,0.0,311,-0.009777289317696072,656
belinostat,0.0,312,0.04256705526982157,102
methylstat,0.0,313,-0.0007135935124015523,504
mitomycin-c,0.0,314,-0.05442239920777605,1487
nutlin-3,0.0,315,-0.023270883871106415,919
bendroflumethiazide,0.0,316,-0.023993025796950528,937
mirtazapine,0.0,317,-0.00839258973924449,628
amuvatinib,0.0,318,0.004581686724840759,406
ofloxacin,0.0,319,-0.023692298562049675,929
mirodenafil,0.0,320,0.004771266795265033,404
benzotript,0.0,321,-0.03320265235583527,1144
mitiglinide,0.0,322,0.016423622503234144,274
benzbromarone,0.0,323,-0.002102555542163786,524
10-DEBC,0.0,324,-0.017385592881468084,809
calpain inhibitor ii,0.0,325,0.04216238291355913,104
dimethyl-fumarate,0.0,326,-0.005234336185234298,572
haloperidol,0.0,327,0.012614786530570927,314
dinaciclib,0.0,328,-0.05223491579982461,1459
halofantrine,0.0,329,-0.02210601765305313,902
diphenylpyraline,0.0,330,-0.02669754553680726,988
gsk126,0.0,331,0.00753347752000973,372
dofequidar,0.0,332,-0.02761907992697437,1007
griseofulvin,0.0,333,-0.04417401847857621,1346
dolutegravir,0.0,334,-0.00010933548541405137,486
donitriptan,0.0,335,0.003256854355351553,423
dopamine,0.0,336,-0.04514115866933495,1366
golvatinib,0.0,337,-0.0015369342044844942,515
glibenclamide,0.0,338,-0.007515835512508263,617
doxazosin,0.0,339,0.01597108839716478,279
doxepin,0.0,340,-0.07568635336674596,1682
ginkgetin,0.0,341,-0.03689856803296196,1202
doxofylline,0.0,342,0.04391703766663878,97
hexachlorophene,0.0,343,0.007602198074269088,371
diltiazem,0.0,344,-0.03084628297210742,1095
dihydroergocristine,0.0,345,0.004387253669317841,410
diflunisal,0.0,346,-0.012455351157885588,699
indibulin,0.0,347,0.005889663432720364,390
indacaterol,0.0,348,-0.005041762299867694,569
imipramine,0.0,349,-0.04408730625715245,1344
dequalinium,0.0,350,-0.026164204549363274,979
iguratimod,0.0,351,-0.02135513566386007,885
ifosfamide,0.0,352,0.002342214143323603,434
dexamethasone-acetate,0.0,353,-0.06722451640819581,1632
ifenprodil,0.0,354,0.0006300540126778718,469
doxorubicin,0.0,355,-0.0324276065426119,1125
idoxuridin,0.0,356,-0.01028946123496772,661
