drug,baseline,net_trace,weighted_trace,vae_score,genetic_support,sig_reproducibility,n_cell_lines,combined_score,combined_rank,genetic_support_expanded,combined_score_expanded,combined_rank_expanded
vandetanib,-0.1098501872659176,0.0743649091657052,0.0720093989788218,0.09700813,0.0,0.0,24,0.7190530088662516,45,0.0,0.0371824545828526,46
KN-62,-0.1010674157303371,0.0723036970694837,0.0160620890795744,-0.53991455,0.0,0.0,5,0.5723825693265422,517,0.0,0.03615184853474185,47
selumetinib,-0.080131086142322,0.0698489095238831,0.0651098544373114,0.035629418,0.0,0.0,18,0.6996227126957179,69,0.0,0.03492445476194155,48
simvastatin,0.0,0.0684920594655081,0.0802400850033372,-0.46935016,0.0,0.0,7,0.5946425202791926,420,0.0,0.03424602973275405,49
AS-605240,0.0,0.0673550714064886,0.0233298085086737,-0.031595,0.0,0.0,17,0.6420863987926806,217,0.0,0.0336775357032443,50
rosuvastatin,-0.0755617977528089,0.0673281329537973,0.0362181008858615,0.036290966,0.0,0.0,7,0.6939634031314846,83,0.0,0.03366406647689865,51
proglumide,-0.0910861423220974,0.066816620874361,0.031466167292847,-0.05564912,0.0,0.0,7,0.628504055838521,274,0.0,0.0334083104371805,52
fomocaine,-0.0769101123595505,0.0667647078988136,0.0477408167065983,-0.05056052,0.0,0.0,7,0.6373703074891529,227,0.0,0.0333823539494068,53
NVP-BHG712,-0.0853932584269663,0.0653904600293584,0.0432356637123351,0.065633,0.0,0.0,19,0.7045274476513864,62,0.0,0.0326952300146792,54
clonidine,-0.10812734082397,0.0640070262280149,0.0276143916138816,-0.07732544,0.0,0.0,7,0.6135068854933031,331,0.0,0.03200351311400745,55
PF-02545920,-0.0678464419475655,0.0640014252633736,0.0316605507898878,-0.009519188,0.0,0.0,7,0.6642520279192605,155,0.0,0.0320007126316868,56
NVP-AUY922,-0.0894756554307116,0.0637161588420081,0.0551233521404792,0.07369484,0.0,0.0,13,0.709903791737408,57,0.0,0.03185807942100405,57
triflupromazine,0.0,0.0634034986299502,0.0357278938775058,0.031082748,0.0,0.0,7,0.6907564610450858,93,0.0,0.0317017493149751,58
volasertib,-0.134625468164794,0.0626717493025158,0.0713254625799923,0.24492896,0.0,0.0,7,0.7384833050367855,22,0.0,0.0313358746512579,59
Ro-4987655,-0.1035767790262172,0.0614380132917211,0.0827007991713025,0.1580685,0.0,0.0,7,0.7340501792114695,26,0.0,0.03071900664586055,60
XMD-892,-0.1168913857677902,0.0606307297187191,0.0338634618527847,0.10336076,0.0,0.0,19,0.7117902282588191,54,0.0,0.03031536485935955,61
S-ruxolitinib,-0.0960486891385767,0.0605963645462976,0.0337517471624113,0.057705447,0.0,0.0,7,0.6986794944350122,71,0.0,0.0302981822731488,62
gallopamil,-0.0663295880149812,0.0604347381488696,0.0671298860466157,-0.054313302,0.0,0.0,7,0.6362384455763063,234,0.0,0.0302173690744348,63
PHA-848125,-0.1289887640449438,0.0602428119249531,0.0368275263131257,-0.002626981,0.0,0.0,7,0.6720807394831164,137,0.0,0.03012140596247655,64
TG-101348,-0.0577153558052434,0.0601657867457739,0.0858108128395182,0.09895609,0.0,0.0,14,0.7195246179966044,42,0.0,0.03008289337288695,65
clonazepam,-0.1040823970037453,0.0595055191330422,0.0057368996909296,0.028786745,0.0,0.0,7,0.671326164874552,140,0.0,0.0297527595665211,66
UNC-0638,0.0,0.0590758116054647,0.0455049467688451,-0.035595372,0.0,0.0,19,0.6452933408790794,210,0.0,0.02953790580273235,67
alvespimycin,-0.1110299625468164,0.0585728459876997,0.0604380061771261,-0.17610066,0.0,0.0,7,0.6013393699302019,386,0.0,0.02928642299384985,68
saracatinib,-0.1137078651685393,0.0568766329186168,0.0180795233579721,0.060811512,0.0,0.0,27,0.6912280701754386,90,0.0,0.0284383164593084,69
VE-821,-0.1461048689138576,0.0564983031108789,0.0239684002168382,-0.060072575,0.0,0.0,19,0.6200150914921713,310,0.0,0.02824915155543945,70
tanespimycin,-0.0730524344569288,0.0561812825065102,0.0494222427711414,-0.04765071,0.0,0.0,21,0.6376532729673646,226,0.0,0.0280906412532551,71
TAK-733,-0.1154681647940074,0.0552938051801496,0.0774873416041587,0.17066751,0.0,0.0,7,0.7336728919071873,27,0.0,0.0276469025900748,72
geldanamycin,-0.0702996254681648,0.0545633614618235,0.0451628273594017,-0.015904889,0.0,0.0,16,0.6610450858328617,167,0.0,0.02728168073091175,73
XMD-885,-0.1220411985018726,0.0544491859617425,0.0685329368641328,0.13484702,0.0,0.0,22,0.7261271458215431,31,0.0,0.02722459298087125,74
XMD11-85H,-0.0647003745318352,0.0537197998517982,0.0385150582432263,0.1674198,0.0,0.0,15,0.7258441803433314,32,0.0,0.0268598999258991,75
darapladib,-0.1060112359550561,0.0537015544335819,0.0819018334335683,0.22550847,0.0,0.0,7,0.7369741558196566,24,0.0,0.02685077721679095,76
mizolastine,0.0,0.0525896975544685,0.046633307579398,-0.010248113,0.0,0.0,7,0.6658554989624599,152,0.0,0.02629484877723425,77
lonidamine,-0.0675093632958801,0.0522707453283154,-0.0049114465756942,0.048327535,0.0,0.0,7,0.6640633842671194,156,0.0,0.0261353726641577,78
tie2-kinase-inhibitor,-0.0969475655430711,0.0522521248293169,0.0318796897321443,-0.040623512,0.0,0.0,19,0.6361441237502358,235,0.0,0.02612606241465845,79
