drug,baseline,net_trace,weighted_trace,vae_score,genetic_support,sig_reproducibility,n_cell_lines,combined_score,combined_rank
sofalcone,-0.0636329588014981,0.028733404017093,0.0126719354636769,0.008035766,0.0,0.0,7,0.655291454442558,180
BMS-599626,-0.0780149812734082,0.0258170565468989,0.0402389461490246,-0.007650404,0.0,0.0,7,0.655291454442558,181
genz-644282,0.0,0.0066225558159476,0.0044811810532216,0.07767612,0.0,0.0,7,0.655291454442558,182
KX2-391,0.0,0.0092223148343729,0.0084087160895878,0.05621077,0.0,0.0,7,0.6551971326164875,183
umeclidinium,0.0521161048689138,0.0105972484552044,0.0078189677003922,0.04655742,0.0,0.0,7,0.6534993397472175,184
midostaurin,0.0,0.0272884618100382,-0.0147701008022695,0.095994264,0.0,0.0,7,0.6526504433125825,185
dexniguldipine,0.0,-0.0057401740351662,0.0181900551636424,0.09550746,0.0,0.0,7,0.6519901905300887,186
anamorelin,-0.0726779026217228,0.011482914671288,0.0155594194681035,0.023545431,0.0,0.0,7,0.6511412940954536,187
nortriptyline,0.0,0.0106533139426075,0.0126493372766331,0.02703545,0.0,0.0,7,0.6510469722693831,188
picotamide,0.0,-0.0082979067099748,0.0157075915774451,0.10914806,0.0,0.0,7,0.650858328617242,189
JW-7-24-1,-0.0758052434456928,0.0121359435309967,0.0013053053780453,0.05461257,0.0,0.0,15,0.6505753631390303,190
levetiracetam,0.0,-0.0052444681725551,0.0017586782540637,0.14081268,0.0,0.0,7,0.6504810413129598,191
IKK-2-inhibitor-V,0.0,0.0009055157746082,-0.0030417485693257,0.11659585,0.0,0.0,7,0.6503867194868892,192
SEP-227900,0.0,0.0020164032655406,-0.0046550725152718,0.11906507,0.0,0.0,7,0.6503867194868892,193
doxofylline,0.0,0.0439170376666387,0.0010719147397238,0.006804231,0.0,0.0,7,0.6492548575740427,194
SB-743921,-0.0751310861423221,0.0045668907311765,0.0020425738596407,0.06982508,0.0,0.0,7,0.6485002829654781,195
famciclovir,0.0,0.0424416167783047,0.0150031978586074,-0.013425777,0.0,0.0,7,0.6478400301829843,196
praziquantel,0.0623970037453183,0.0308660781834888,0.011765388808536,-0.0037491394,0.0,0.0,7,0.6476513865308432,197
avagacestat,-0.1022097378277154,0.0224909969640139,-0.0125805655487113,0.06720373,0.0,0.0,7,0.6473684210526316,198
ketoconazole,0.0,0.0189904458649691,0.0300481517651401,-0.007156855,0.0,0.0,7,0.647274099226561,199
dilazep,-0.0695692883895131,-0.005021615007375,0.0060230084783553,0.10761801,0.0,0.0,7,0.647274099226561,200
WH-4-025,-0.0950749063670412,0.1141349760442371,0.0973798574899344,-0.05078294,0.0,0.0,13,0.6465195246179966,201
sodium-gualenate,0.0,0.0339226815802701,0.0003265967853684,0.008434272,0.0,0.0,7,0.6463308809658556,202
combretastatin-A-4,-0.078876404494382,0.0099211174399733,0.0003262731805645,0.050479535,0.0,0.0,7,0.6461422373137143,203
hymecromone,0.1176217228464419,0.0159072438904904,-0.0101330024570552,0.07241406,0.0,0.0,7,0.6460479154876438,204
AT-13387,-0.1085580524344569,0.0453550159456131,0.0460359309879466,-0.031167189,0.0,0.0,7,0.6459535936615732,205
amoxapine,0.0,0.018457763103603,0.0026743645972717,0.020207128,0.0,0.0,7,0.6456706281833616,206
scopolamine,0.0794007490636704,0.0125137140589475,0.0212845844668542,0.006410438,0.0,0.0,7,0.6455763063572911,207
vicriviroc,-0.0611048689138576,0.0040074760554113,-0.0006668327377763,0.0739106,0.0,0.0,7,0.6454819845312204,208
L-655240,0.0,0.0054970411921593,-0.0089604238976006,0.1056653,0.0,0.0,7,0.6453876627051499,209
UNC-0638,0.0,0.0590758116054647,0.0455049467688451,-0.035595372,0.0,0.0,19,0.6452933408790794,210
netupitant,0.0,0.0019305380863888,0.0134850774687394,0.036643505,0.0,0.0,7,0.6448217317487267,211
taselisib,-0.0919288389513108,0.0284785970112657,0.0231714297640769,-0.015891619,0.0,0.0,7,0.643501226183739,212
ponatinib,0.0,0.0024096341190724,-0.0127510174811428,0.13215809,0.0,0.0,19,0.6432182607055272,213
golvatinib,0.0,-0.0015369342044844,0.0040704829898124,0.080295466,0.0,0.0,7,0.642840973401245,214
troglitazone,0.0857865168539326,0.0330673153379555,0.0271419641090683,-0.021163058,0.0,0.0,7,0.642840973401245,215
AR-A014418,0.0,0.0027075001812932,0.0060949574344088,0.04491792,0.0,0.0,2,0.6422750424448217,216
AS-605240,0.0,0.0673550714064886,0.0233298085086737,-0.031595,0.0,0.0,17,0.6420863987926806,217
gsk126,0.0,0.0075334775200097,0.0018046557805884,0.040178776,0.0,0.0,5,0.6413318241841162,218
meptazinol,0.0,-0.0005820768941244,0.0111209948562501,0.04957968,0.0,0.0,7,0.6413318241841162,219
dolastatin-10,-0.0897752808988763,0.0109564194810568,-0.0042913124757539,0.048225243,0.0,0.0,7,0.6408602150537634,220
SDZ-NKT-343,0.0766853932584269,0.0236327748090362,-0.0053957812555918,0.019371452,0.0,0.0,7,0.6394453876627052,221
armodafinil,-0.0694943820224719,0.0103942126350596,0.0047809607849496,0.019582456,0.0,0.0,7,0.6389737785323524,222
resminostat,0.0,-0.0203744715829229,0.0350279652380221,0.11222911,0.0,0.0,7,0.6385964912280702,223
amuvatinib,0.0,0.0045816867248407,-0.0183792665254693,0.14240493,0.0,0.0,24,0.638219203923788,224
amodiaquine,0.0854868913857677,-0.001380358248403,0.0158365139009372,0.031570487,0.0,0.0,7,0.6380305602716468,225
tanespimycin,-0.0730524344569288,0.0561812825065102,0.0494222427711414,-0.04765071,0.0,0.0,21,0.6376532729673646,226
fomocaine,-0.0769101123595505,0.0667647078988136,0.0477408167065983,-0.05056052,0.0,0.0,7,0.6373703074891529,227
EVP-6124,0.0,0.0088255650290294,0.0019830054608106,0.025923604,0.0,0.0,7,0.6371816638370119,228
TH-302,0.0563108614232209,0.0042164910460357,0.0052792896161263,0.027008358,0.0,0.0,7,0.6371816638370119,229
ivermectin,0.0,0.0140911591550961,-0.0229690623428398,0.11669134,0.0,0.0,7,0.6368043765327297,230
BS-181,0.0,-0.0020965699406764,-0.0175213186212884,0.22638915,0.0,0.0,22,0.636521411054518,231
etofylline-clofibrate,0.0557303370786516,0.0096790897865461,-0.0044959381490854,0.04159796,0.0,0.0,7,0.6364270892284475,232
