entrez,probe,log2FC,t_stat,se,pvalue,padj,n_uc,n_ctrl
26119,221790_s_at,-0.3480457093238858,-2.8961591072438178,0.12193458903905396,0.006986162350635063,0.07263137982904964,19,13
26120,216028_at,0.4004829066477731,2.1981649618569934,0.17134950006463345,0.03579163075299441,0.21398659501585232,19,13
26121,202408_s_at,0.3780529451700403,3.7058218983272306,0.1113233399207922,0.0008511248581524311,0.018023604142042238,19,13
26122,225838_at,-0.511046230218624,-3.2118027195936163,0.1528279072594797,0.0031415109368391186,0.04238637340855544,19,13
26123,212123_at,-0.2776101307165968,-2.7454434584925402,0.10398585364927934,0.010111039181750926,0.09269300255905967,19,13
26127,1556283_s_at,0.5256359667206469,3.2915672917940646,0.1478714260741215,0.0025547943245812616,0.03658230938506105,19,13
26128,212453_at,0.2565650671862372,2.5274883815779763,0.11067806320818097,0.016991439969444643,0.1303686472536326,19,13
26130,214869_x_at,-0.1520286896923082,-0.8057962461528789,0.18114773219624308,0.4267016447205802,0.8508965716498629,19,13
26133,212059_s_at,0.05877773868421077,0.7527009623268159,0.08005873831556876,0.4574957150503735,0.872739200320267,19,13
26135,210466_s_at,0.21877421344129644,2.7824747392753637,0.08023657829759605,0.009240252045448122,0.08701529117893146,19,13
26136,202719_s_at,-0.17702508847368392,-1.097049651542064,0.15231350872533359,0.281347754538054,0.7188314961207505,19,13
26137,226250_at,-0.6351060875222676,-2.6477850115745745,0.2408107326138048,0.012789024647475722,0.10844227625252473,19,13
26138,210464_at,-0.0024689470445342643,-0.12287906396537918,0.021822464340711025,0.9030223855350887,0.9996525187900612,19,13
26140,230873_at,-0.11651645410121425,-1.1789303392657222,0.11102882116042134,0.2476919441769618,0.6772294368092907,19,13
26145,213771_at,-0.015352720125505925,-0.29974043532695366,0.05253090366374322,0.7664421793473453,0.9933109731016943,19,13
26146,238494_at,0.08767510871659834,0.9556144677020012,0.0949227540575049,0.34690469513694416,0.7861974800668362,19,13
26147,227212_s_at,1.115428516234819,4.4731776997168735,0.2508177367101743,0.00010262123954776851,0.005124033125364606,19,13
26148,226892_at,-0.05099515365182139,-0.4968736388249705,0.10074046543007602,0.6228999326677279,0.9562827488798793,19,13
26149,231950_at,-0.010014363582995678,-0.08002817019375405,0.12755925304730076,0.9367463322685178,0.9996525187900612,19,13
26150,206526_at,0.09237877806477801,2.2327223282580686,0.03552922503530704,0.03317984345850249,0.20348939328027188,19,13
26151,204382_at,0.498109486044533,4.317643376389869,0.11704354689072254,0.0001584677008395043,0.006567661876371787,19,13
26152,214760_at,0.10437306532388746,1.0003469703908148,0.09887801030638807,0.3251434907914714,0.7674503694967925,19,13
26153,234307_s_at,-0.19114032982995877,-1.0543793594286692,0.18535892326461773,0.3001273745604882,0.740399052659599,19,13
26154,215465_at,0.653467359327935,1.946608491430059,0.2764551143056044,0.060999089549752285,0.30143418901167635,19,13
26155,202115_s_at,0.2932206911012125,3.2725572749091656,0.0793904009119287,0.002684250206038629,0.03784460547064519,19,13
26156,213750_at,0.08808250580971588,0.5160910354950355,0.16899334449140782,0.6095740620760338,0.9500972617237421,19,13
26157,232024_at,0.4945841766639685,1.8358462632912111,0.26143284891641383,0.07631033299576968,0.3492313933660088,19,13
26160,226324_s_at,-0.22481063460323902,-1.29579295564194,0.15575984486229205,0.20492835492354888,0.6176998624756069,19,13
26164,226854_at,0.44690211249797773,4.194701113696297,0.10983146669208697,0.00022304283947690426,0.008001881396587756,19,13
26166,223691_at,-0.0003567599109306485,-0.05385490196008632,0.007111785814009789,0.957407810388685,0.9996525187900612,19,13
26167,223629_at,0.0016507174493924914,0.19825395391313888,0.008677529582340741,0.8441837432037508,0.9996525187900612,19,13
26168,203871_at,0.4536054705991903,3.387944370835916,0.14357266075176683,0.001985550695800682,0.03096405712860875,19,13
26173,212210_at,-0.07915715537246992,-0.9611708515716076,0.09274225740131246,0.3441498052222472,0.7839574405882929,19,13
26175,213246_at,-0.4321024379352245,-3.726696582476724,0.10758200704730943,0.0008044698286872622,0.017386418863395852,19,13
26184,217308_at,-0.043368384178138264,-1.4179872332211514,0.03603712320972152,0.16649884765694736,0.5555176103747037,19,13
26188,1567054_at,0.06525175554251028,0.9994636274326798,0.057193198668884296,0.32556399009649106,0.7676290644588815,19,13
26189,221445_at,0.0076549058218620125,0.6407537474107253,0.011581697581698774,0.5265473692941214,0.9117215913720921,19,13
26190,218941_at,0.3480514517368425,3.3436381696363857,0.1038212339060448,0.002230176442252246,0.033452646633783695,19,13
26191,208010_s_at,-0.06258020689068866,-0.5959363343825581,0.10602271783653215,0.5556877291095839,0.9265981453861507,19,13
26205,222251_s_at,0.04995257172469625,0.7955166466643445,0.058132992427407375,0.43256262169610626,0.85516203866194,19,13
26206,206815_at,0.04431094241700384,0.24692263294414218,0.18674599095087394,0.8066500562710277,0.9989349067496965,19,13
26207,219155_at,2.3184032781497965,6.042126507308389,0.33110512890085203,1.2394643182618256e-06,0.0007231748103564507,19,13
26211,208526_at,-0.006913572125506029,-0.20388330797558124,0.035184237777240106,0.8398214572894971,0.9996525187900612,19,13
26212,216522_at,-0.009687819971659462,-0.621734844762483,0.01792844728246445,0.5388127525363715,0.9177155616624438,19,13
26219,1567282_at,0.057393676615384415,0.9988590387241315,0.058178900077787664,0.32585200762655453,0.7678389766691501,19,13
26220,215244_at,0.05640324289068843,1.0483486344509745,0.044470572140559765,0.30285084863188955,0.7430942938091173,19,13
26222,1557451_at,-0.006944216198379927,-0.4643695476104336,0.0162062630195298,0.6457354635013425,0.9631628602235286,19,13
26223,1553500_at,-0.013300393570849778,-0.5878171847358915,0.024226759624642283,0.5610540979348377,0.928754657877796,19,13
26224,225132_at,-0.6678803907854256,-7.020750798430416,0.083326829550218,8.385562757115016e-08,0.00023334487640725457,19,13
26226,214623_at,-0.04121367512955443,-0.7304006926939587,0.06038754462951161,0.4708111757116675,0.8807774253074461,19,13
26227,201397_at,0.5657712961295549,2.4073450326312837,0.20132687289861503,0.022427369164874013,0.15702604803297307,19,13
