pert_iname,n_signatures,n_cell_lines,cell_lines
BX-795,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
BX-912,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
CB-10-277-(free-acid),42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CC-401,161,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
CC-930,41,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CEP-32496,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CEP-37440,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CG-930,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
CGK-733,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
CGP-12177,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CGP-60474,530,27,A375|A549|ASC|ASC.C|BT20|CD34|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|HUVEC|JURKAT|LNCAP|MCF10A|MCF7|MDAMB231|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKBR3|SKL|SKL.C
CGS-20625,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CHIR-99021,153,16,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|NPC.TAK|PC3|SKBR3
CI-966,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CI-976,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CL-218872,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CNQX,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CO-102862,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CP-466722,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
CP-724714,156,15,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
CP-945598,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CPI-1189,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CPI-613,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CT-7758,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CTB,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
CTS-1027,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CX-4945,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CX-516,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CX-5461,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
CYT-997,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
CYT387,170,16,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|NPC.TAK|PC3|SKBR3|YAPC
D-4476,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
D-serine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
DMP-543,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
DMP-777,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
DPCPX,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
DPI-201106,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
DU-728,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
E-2012,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
EMD-1214063,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
EMD-53998,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ENMD-2076,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
EPZ-005687,15,5,A375|A549|MCF7|NPC.TAK|PC3
EVP-6124,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
EX-527,170,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
FK-866,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
FK-888,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
FPL-55712,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
FPL-62064,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
FR-180204,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
GDC-0068,174,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
GDC-0152,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
GDC-0834,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
GDC-0879,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
GDC-0941,180,17,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
GDC-0980,156,15,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
GNF-2,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
GSK-1059615,721,28,A375|A549|ASC|ASC.C|BT20|CD34|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|HUES3|HUVEC|JURKAT|LNCAP|MCF10A|MCF7|MDAMB231|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKBR3|SKL|SKL.C
GSK-1070916,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
GSK-1292263,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
GSK-1904529A,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
GSK-2110183,48,8,A375|HA1E|HELA|HT29|MCF7|NPC|PC3|YAPC
GSK-2126458,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
GSK-2334470,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
GSK-256066,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
GSK-2636771,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
GSK-3-inhibitor-II,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
GSK-429286A,112,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
GSK-461364,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
GSK-690693,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
GSK-923295,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
GSK-J1,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
GSK-J2,112,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
GSK-J4,129,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
GW-5074,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
GW-842166,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
GW-843682X,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
Gossypetin,14,5,A375|A549|MCF7|NPC.TAK|PC3
HC-030031,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
HG-14-10-04,128,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
HG-5-113-01,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
