pert_iname,n_signatures,n_cell_lines,cell_lines
XMD-1499,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
XMD-16144,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
XMD-885,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
XMD-892,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
XMD11-85H,135,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
Y-26763,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
Y-27152,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
Y-27632,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
Y-39983,179,17,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
YM-155,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
YM-201636,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
YM-976,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
Z160,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ZD-7114,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ZD-7288,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ZK-200775,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ZK-811752,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ZK-93423,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ZK-93426,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ZM-447439,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
ZSTK-474,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
abacavir,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
abiraterone-acetate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acarbose,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acebutolol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acecainide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acenocoumarol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acetazolamide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acetylcysteine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acexamic-acid,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acifran,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acipimox,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acivicin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aclidinium,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acrivastine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
actarit,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
acyclovir,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
adapalene,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
adarotene,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
adatanserin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
adenosine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
adoprazine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
afatinib,180,17,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
afloqualone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
agomelatine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
alagebrium,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
alaproclate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
albendazole,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
alectinib,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
alisertib,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aliskiren,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
alizapride,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
allopurinol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
almitrine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
almorexant,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
alpelisib,120,14,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|NPC|PC3|SKBR3
alprostadil,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
altanserin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
altrenogest,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
altretamine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
alvespimycin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
alvimopan,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
alvocidib,185,18,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|NPC|PC3|SKBR3|YAPC
amantadine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ambrisentan,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ambroxol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amcinonide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amfepramone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amikacin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amiloride,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amineptine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aminocaproic-acid,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aminoglutethimide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aminoguanidine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aminosalicylic-acid,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amiodarone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amiprilose,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amitifadine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amitriptyline,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amlexanox,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amlodipine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ammonium-glycyrrhizinate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amodiaquine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amonafide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amoxapine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ampalex,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amrinone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amsacrine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amtolmetin-guacil,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
amuvatinib,174,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
anacardic-acid,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
anacetrapib,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
anagrelide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
anamorelin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
anandamide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
anastrozole,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
andarine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
andrographolide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
anecortave-acetate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
anidulafungin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aniracetam,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
anisodamine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
apabetalone,37,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
apafant,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aphidicolin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
apixaban,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
apocynin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
apremilast,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aprepitant,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
arbutin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
argatroban,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
arglabin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aripiprazole,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
armodafinil,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
arofylline,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
artesunate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
asenapine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aspirin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
asymmetrical-dimethylarginine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ataluren,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
atenolol-(+/-),42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
atipamezole,41,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
atomoxetine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
atorvastatin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
atovaquone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
atracurium,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
atrasentan,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
aurora-a-inhibitor-i,112,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
avagacestat,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
avanafil,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
avasimibe,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
azacitidine,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
azathioprine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
azelaic-acid,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
azelastine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
azithromycin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bafilomycin a1,15,5,A375|A549|MCF7|NPC.TAK|PC3
baicalin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
balaglitazone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
balapiravir,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
balicatib,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
balsalazide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bambuterol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
barasertib,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
barasertib-HQPA,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
bardoxolone-methyl,40,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
baricitinib,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
basimglurant,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
batimastat,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bavisant,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bazedoxifene,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
beclomethasone-dipropionate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
belinostat,171,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
bemegride,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
benazepril,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bendamustine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bendroflumethiazide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
benfluorex,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
benzamil,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
benzbromarone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
benzotript,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
benzthiazide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
benzydamine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
benzylpenicillin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bepotastine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
berberine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
betahistine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
betrixaban,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
betulinic-acid,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bevirimat-dimeglumine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bexarotene,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bezafibrate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bicalutamide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bifemelane,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bifonazole,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bimatoprost,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bindarit,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
binimetinib,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
biperiden,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
birinapant,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bisindolylmaleimide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bisoprolol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bitopertin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
blonanserin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bms-906024,6,2,A375|NPC
bopindolol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bortezomib,2339,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bosentan,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bosutinib,174,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
brequinar,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bretazenil,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
brexpiprazole,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
brivanib,156,15,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
brivudine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bromocriptine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bropirimine,41,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
broxuridine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bruceantin,36,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bucladesine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
budipine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
buflomedil,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bumetanide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
buparlisib,154,15,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
bupivacaine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
bupropion,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
buspirone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
busulfan,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
butaclamol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
butoconazole,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
butorphanol-(+)-tartrate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cabazitaxel,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cabergoline,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cabozantinib,174,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
caffeine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
calcitriol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
calpain inhibitor ii,13,5,A375|A549|MCF7|NPC.TAK|PC3
calpeptin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
camicinal,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
camostat-mesilate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
camptothecin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
canagliflozin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
candesartan,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
canertinib,180,17,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
capecitabine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
capsaicin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
carbachol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
carbamazepine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
carbenoxolone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
carbimazole,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
carfilzomib,38,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
carglumic-acid,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cariporide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cariprazine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
carisoprodol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
carprofen,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
carvedilol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
castanospermine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cediranib,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cefdinir,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cefepime,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cefoperazone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cefotetan,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cefozopran,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
celastrol,136,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
celecoxib,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cepharanthine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cevimeline,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chelerythrine,108,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
chenodiol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chlorambucil,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chloramphenicol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chlormezanone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chloroquine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chloroxine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chlorphenamine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chlorpromazine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chlorpropamide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chlorprothixene,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chlorthalidone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cholic-acid,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
choline-alfoscerate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
chrysin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cianidanol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ciclesonide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ciglitazone,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cilengitide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cilomilast,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cilostazol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cimetidine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cinaciguat,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cinepazide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cinnarizine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cinoxacin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ciprofloxacin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cisapride,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
citalopram,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cladribine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clarithromycin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clemizole,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clenbuterol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
climbazole,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clinafloxacin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clindamycin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clinofibrate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clioquinol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clobetasol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clofarabine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clofazimine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clofibrate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clofibric-acid,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clofoctol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clomethiazole,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clomifene,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clomipramine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clonazepam,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clonidine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
closantel,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clotrimazole,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
clozapine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cobicistat,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cobimetinib,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
colchicine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
colforsin-daproate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
combretastatin-A-4,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
compound e,15,5,A375|A549|MCF7|NPC.TAK|PC3
conivaptan,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
cordycepin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
