gene_id,gene_symbol,log2FC,pvalue,n_datasets,padj
23108,RAP1GAP2,0.014990742,0.0706572642059183,1,0.3335280841564571
23109,DDN,-0.00084172527,0.12597678799129128,1,0.47165491487412653
23112,TNRC6B,-0.060967714,0.0567553787934786,1,0.28928921303249705
23113,CUL9,0.00079600513,0.939219355145004,1,1.0
23114,NFASC,-0.00014226763,0.12794572044260966,1,0.47605013162767196
23117,NPIPB3,0.00058376696,0.8182436291809853,1,1.0
23118,TAB2,0.0062592775,0.8175584773753874,1,1.0
23119,HIC2,-0.0054369345,0.47962469704719235,1,0.8474857986701101
2312,FLG,0.0,,1,1.0
23120,ATP10B,-0.0007389113,0.11678925097777587,1,0.4510848391962428
23122,CLASP2,-0.01673428,0.5037130831166372,1,0.8759426691334815
23125,CAMTA2,-0.010983687,0.4153111108778975,1,0.769665362970434
23126,POGZ,0.058101147,0.19118694951691473,1,0.5826506860620553
23127,COLGALT2,0.002325237,0.387439503550878,1,0.7342665936866005
23129,PLXND1,-0.15971035,1.747872768469156e-10,1,3.6632653428005404e-08
2313,FLI1,0.0019774144,0.4607980091177103,1,0.8255956345590633
23130,ATG2A,-0.033980172,0.011073117910460291,1,0.09409787202570193
23131,GPATCH8,0.028491316,0.3044797677729689,1,0.6591637315128221
23132,RAD54L2,-0.022868775,0.09730695355003385,1,0.4058186979185939
23133,PHF8,-0.023661003,0.17707735572748284,1,0.5599717767021212
23135,KDM6B,-0.061480522,0.41505863020052647,1,0.7694377776801123
23136,EPB41L3,0.1465645,7.371383153653835e-05,1,0.0017942289031885657
23137,SMC5,-0.11115575,0.0057700203479530005,1,0.05797829429115227
23138,N4BP3,0.0025419295,0.7259618670153352,1,1.0
23139,MAST2,0.025025407,0.23495776546311264,1,0.6495489361732069
2314,FLII,0.0012212247,0.9661509997025002,1,1.0
23140,ZZEF1,-0.029070787,0.06453326440216302,1,0.3143845267627274
23141,ANKLE2,0.09263049,0.04260697768665993,1,0.24079654533926836
23142,DCUN1D4,-0.013559729,0.4042577462967597,1,0.7555061699065243
23143,LRCH1,0.032551,0.15153307277540315,1,0.523711030288954
23144,ZC3H3,-0.026185099,0.13282569767392022,1,0.48627670729519246
23148,NACAD,0.007095796,0.0517457243289461,1,0.27276014143926963
23149,FCHO1,-0.011868411,0.13831032444360916,1,0.4978446560308199
2315,MLANA,0.0,,1,1.0
23150,FRMD4B,-0.3249997,5.677640685385204e-09,1,6.851191810082552e-07
23151,GRAMD4,-0.07513352,8.242259190994764e-06,1,0.0002930491100398237
23152,CIC,-0.05207678,0.0009872319522415765,1,0.014603478295026678
23154,NCDN,-0.030709159,0.03933420180182831,1,0.22847746334338928
