,pearson,cmap,net_trace,reversal_rank,scrna_rank
SB-939,-0.047093493537996724,0.07912280701754387,0.0388896013149444,122,1271.0
SC-12267,0.019624743399174263,0.0,-0.0406026048662449,1287,645.0
SCH-28080,0.017624454823961876,0.0,-0.0150734255133273,771,668.0
SDZ-NKT-343,0.0389378715666146,-0.1400877192982456,0.0236327748090362,198,473.0
SEP-227900,-0.0762873167680838,0.1324122807017544,0.0020164032655406,444,1550.0
SGI-1776,0.0778752866144236,-0.14092105263157892,-0.0064717722604925,596,154.0
SGX523,0.027595356099530566,-0.09241228070175436,-0.0439311566914819,1338,571.0
SK&F-10047-(+),-0.06855073116830696,0.10574561403508773,-0.0302883798811535,1079,1486.0
SN-38,-0.03098414810812561,0.08298245614035088,-0.0172790950494252,807,1128.0
SNX-2112,-0.06980429933332155,0.16206140350877193,0.0326448851321329,150,1502.0
SR-2640,-0.058767655809027305,0.14802631578947367,-0.0038842720454043,551,1393.0
SR-27897,0.04340112212053056,-0.11548245614035088,-0.040483612841957,1282,433.0
SR-33805,0.06585058796304358,-0.16517543859649125,0.0239987063376178,196,248.0
SR-57227A,0.08594711245628316,-0.12916666666666662,0.0170531222697291,264,102.0
ST-1859,-0.08447205735974884,0.13855263157894737,0.0486171468209304,83,1602.0
STA-5326,0.054515533499193324,0.0,0.1646287206202187,1,346.0
SU-014813,0.07203155100084355,-0.1362280701754386,0.0409330329023653,106,204.0
SU-11274,0.013678560041087444,-0.07122807017543858,-0.0063845399643287,595,710.0
SU-11652,-0.03792914692265429,0.07311403508771927,0.0030895875091014,424,1184.0
SYK-inhibitor,0.08902104641119161,-0.14166666666666666,-0.0373288879554702,1208,87.0
T-5224,0.07115409769643746,-0.11644736842105266,-0.045904933681533,1384,212.0
TAK-285,-0.06091168448408439,0.17929824561403507,0.0224179207812606,211,1419.0
TAK-715,-0.005264479722701231,0.0,-0.0294723598396235,1058,899.0
TAK-733,-0.09781305770703792,0.13412280701754387,0.0552938051801496,66,1681.0
TAK-875,0.07169350058254555,-0.12684210526315787,-0.0736481927508838,1671,206.0
TAS-103,-0.0703769525402412,0.12978070175438594,-0.0355631971506404,1184,1507.0
TG-100115,0.01591660348035671,-0.05745614035087719,-0.0208967510257241,876,682.0
TG-100801,0.1266569717847658,-0.11592105263157897,-0.0295831811541836,1061,6.0
TG-101348,0.09825940451815406,-0.13570175438596493,0.0601657867457739,55,37.0
TGX-221,0.0063718399689450715,0.0,0.0001809658879132,478,779.0
TH-302,0.059000330207186986,-0.1610526315789474,0.0042164910460357,411,306.0
THZ-2-98-01,0.07680744497405863,-0.12000000000000002,-0.082455619494211,1711,162.0
TIC10,0.0978147760439449,-0.14618421052631575,-0.0301226114798827,1074,39.0
TPCA-1,-0.06163624790102365,0.09456140350877193,-0.0156929358643002,784,1426.0
TTNPB,0.013570294523510695,-0.06671052631578946,-0.0396497505078312,1264,713.0
TWS-119,0.049721000434654584,0.0,0.0039821831492255,416,383.0
UK-383367,-0.0017820466506857455,0.0,0.0159550614571789,280,868.0
