,pearson,cmap
CX-516,-0.005892191429982307,0.07500000000000001
CX-5461,0.011393434756779171,-0.10206140350877196
CYT-997,-0.07962594956418653,0.1444736842105263
CYT387,0.014588595349986475,0.07692982456140351
D-4476,0.07976254125894361,0.0
D-serine,0.07794917228825862,-0.15320175438596492
DMP-543,0.023859918332503772,-0.09504385964912279
DMP-777,0.06682643326540416,-0.13807017543859648
DPCPX,-0.05880678111736788,0.13223684210526318
DPI-201106,0.028732798367075582,0.06280701754385962
DU-728,0.02847895001973449,0.0
E-2012,-0.023573884038515906,0.07521929824561405
EMD-1214063,-0.12519547378521034,0.1830701754385965
EMD-53998,-0.057374649439537496,0.10153508771929823
ENMD-2076,-0.024915299004186906,0.09442982456140353
EPZ-005687,0.019589220120025317,0.0
EVP-6124,-0.0795114936530674,0.1494298245614035
EX-527,0.043972527489885394,0.0
FK-866,0.04153557666960181,-0.08504385964912281
FK-888,0.013616455880512903,0.07631578947368423
FPL-55712,0.022472907500401304,-0.11491228070175441
FPL-62064,0.057842735537490385,-0.13236842105263152
FR-180204,0.07797981052196643,-0.16285087719298247
GDC-0068,-0.08084997064042332,0.15131578947368418
GDC-0152,-0.007711519058504738,0.09600877192982454
GDC-0834,0.07530292553128629,-0.10350877192982455
GDC-0879,0.1129582092172518,-0.12890350877192983
GDC-0941,-0.057503451626754624,0.14425438596491227
GDC-0980,-0.11290663386470208,0.17557017543859643
GNF-2,0.03946027635840942,0.0
GSK-1059615,-0.09470855773240086,0.19289473684210523
GSK-1070916,-0.04723974805845759,0.1587280701754386
GSK-1292263,0.004720870539406789,0.0
GSK-1904529A,-0.040033231013236734,0.10000000000000003
GSK-2110183,-0.12405952036382334,0.21473684210526317
GSK-2126458,-0.0640981915515181,0.15447368421052626
GSK-2334470,-0.0062637571808612765,0.1204385964912281
GSK-256066,-0.029532563966673836,0.0968421052631579
GSK-2636771,0.01901239645463373,-0.09214912280701756
GSK-3-inhibitor-II,0.06617814639368719,-0.13548245614035087
GSK-429286A,-0.02091809845250421,0.07828947368421052
GSK-461364,-0.00776639634892552,0.07342105263157894
GSK-690693,-0.1659301909335323,0.19342105263157897
GSK-923295,-0.003510611619586759,0.0
GSK-J1,0.04997190441356613,0.0
GSK-J2,0.03454786336833955,0.0
GSK-J4,-0.05695398977662693,0.12592105263157896
GW-5074,-0.030381532968350305,0.11114035087719293
GW-842166,-0.032382445422899746,0.0
GW-843682X,-0.029149928839303108,0.0
Gossypetin,0.02693867313908184,0.0
HC-030031,0.06517101349303184,-0.12342105263157895
HG-14-10-04,-0.07742289754261623,0.17565789473684212
HG-5-113-01,-0.01399182642533845,0.0874561403508772
HG-5-88-01,-0.018827775438745527,0.0
HG-6-64-01,0.054472961286379275,-0.06421052631578947
HG-9-91-01,0.06633380655601279,0.0
HMN-214,0.02784337978514434,0.0
I-BET-151,0.0712818038339513,-0.0906578947368421
I-BET-762,0.04683917135333101,0.0
IB-MECA,0.00740804739152612,0.0
ICI-162846,0.039686060554016654,-0.15109649122807023
"ICI-185,282",-0.05621724262451552,0.11087719298245619
ICI-192605,0.03033639433366372,-0.07245614035087722
IKK-2-inhibitor-V,0.05670880215900381,0.0
IKK-inhibitor-X,-0.08592913802615983,0.12526315789473685
IOWH-032,0.08737257383559043,-0.13964912280701758
IOX2,0.003639131946068638,0.0
IPI-145,-0.008466014666114888,0.10903508771929823
JNJ-26481585,0.015086037532985716,-0.07723684210526317
JNJ-38877605,0.04601675999906922,0.0
JNK-9L,-0.035549882515562715,0.0
JNK-IN-5A,-0.058518185378243964,0.1309210526315789
JQ1-(+),0.024152037068988854,0.0
JQ1-(-),0.03531686275834559,0.0
JTC-801,-0.009706421011942667,0.0
JTE-907,-0.025289456316312908,0.07399122807017539
JW-7-24-1,-0.06005226821711842,0.14684210526315788
JW55,0.0750693990834813,-0.09442982456140356
JWE-035,-0.0005104933802887519,0.08140350877192981
KBG,-0.10679162909541438,0.17368421052631583
KD-023,0.10980350319772628,-0.15675438596491226
KD-025,-0.05042010967002722,0.0
KI-20227,0.038764760771479924,-0.0935964912280702
KIN001-043,0.13931918623251333,-0.16736842105263156
KIN001-055,-0.002998739262018823,0.0
KIN001-127,0.047424786000994465,-0.09162280701754388
KIN001-242,0.06761052385200558,-0.11964912280701756
KIN001-244,-0.1537113751194768,0.21929824561403505
KIN001-260,-0.017477977956012754,0.0
KIN001-266,0.025897060603637247,-0.11109649122807022
KIN001-269,0.05910646218786164,-0.11078947368421055
KIN001-270,0.09217428136896637,-0.15982456140350876
