gene_symbol,log2FC,pvalue,padj,dataset
RP1-69M21.2,0.0,,1.0,GSE135893
FBXO2,-0.03455827,0.0717946,0.26676744912156564,GSE135893
FBXO44,0.00043725967,0.9833888,1.0,GSE135893
FBXO6,-0.045613863,3.3121552e-05,0.0006817334066926321,GSE135893
MAD2L2,-0.051914234,1.7458058e-05,0.00040317464929335044,GSE135893
DRAXIN,0.0,,1.0,GSE135893
AGTRAP,-0.1752708,2.4301055e-06,8.288138160911235e-05,GSE135893
C1orf167,0.08873558,0.00907297,0.05822325184209285,GSE135893
RP11-56N19.5,0.0,,1.0,GSE135893
MTHFR,-0.05437149,0.05534,0.22126806016966757,GSE135893
CLCN6,-0.052451342,0.024473086,0.1232304537704168,GSE135893
NPPA-AS1,-0.008767349,0.00018740998,0.0027470757514390202,GSE135893
NPPA,-0.00057997234,0.21419701,0.5466298605062506,GSE135893
NPPB,0.0,,1.0,GSE135893
KIAA2013,0.0036547184,0.84580654,1.0,GSE135893
PLOD1,-0.036740433,0.008418419,0.05486464665543352,GSE135893
MFN2,0.03941088,0.06414956,0.24558726084473406,GSE135893
MIIP,-0.004803404,0.6901009,1.0,GSE135893
TNFRSF8,-4.9445174e-05,0.328183,0.6361638969490901,GSE135893
TNFRSF1B,-0.007870063,0.0016127211,0.015212493188288647,GSE135893
VPS13D,0.11244415,0.015583613,0.0876584732793085,GSE135893
RP5-888M10.2,0.0,,1.0,GSE135893
DHRS3,-0.059536085,0.089512296,0.31091112312386054,GSE135893
RP11-474O21.5,-0.0018955253,0.14874601,0.43967443048692584,GSE135893
AADACL4,0.0,,1.0,GSE135893
AADACL3,0.0,,1.0,GSE135893
C1orf158,-0.00073753623,0.015667628,0.08802819319227169,GSE135893
PRAMEF12,0.0,,1.0,GSE135893
PRAMEF1,0.0,,1.0,GSE135893
RP5-845O24.8,0.0,,1.0,GSE135893
PRAMEF11,0.0,,1.0,GSE135893
HNRNPCL1,0.0,,1.0,GSE135893
PRAMEF2,0.0,,1.0,GSE135893
PRAMEF4,0.0,,1.0,GSE135893
PRAMEF10,0.0,,1.0,GSE135893
PRAMEF7,0.0,,1.0,GSE135893
PRAMEF6,0.0,,1.0,GSE135893
PRAMEF27,0.0,,1.0,GSE135893
PRAMEF26,0.0,,1.0,GSE135893
PRAMEF25,0.0,,1.0,GSE135893
HNRNPCL3,0.0,,1.0,GSE135893
HNRNPCL2,0.0,,1.0,GSE135893
RP13-221M14.2,0.0,,1.0,GSE135893
HNRNPCL4,0.0,,1.0,GSE135893
PRAMEF9,0.0,,1.0,GSE135893
PRAMEF18,0.0,,1.0,GSE135893
PRAMEF5,0.0,,1.0,GSE135893
PRAMEF8,0.0,,1.0,GSE135893
PRAMEF15,0.0,,1.0,GSE135893
RP11-219C24.10,0.0,,1.0,GSE135893
PRAMEF14,0.0,,1.0,GSE135893
PRAMEF19,0.0,,1.0,GSE135893
PRAMEF17,0.0,,1.0,GSE135893
PRAMEF20,0.0,,1.0,GSE135893
LRRC38,0.0002152631,0.32818305,0.6361638969490901,GSE135893
RP4-597A16.2,0.0,,1.0,GSE135893
PDPN,0.42731443,1.6598896e-08,1.7796773283930091e-06,GSE135893
CTA-520D8.2,0.0,,1.0,GSE135893
PRDM2,-0.0661746,0.0061907624,0.043611028214545454,GSE135893
RP11-344F13.1,0.0,,1.0,GSE135893
RP4-704D23.1,0.0,,1.0,GSE135893
KAZN,0.08827358,6.227377e-05,0.00115288596753489,GSE135893
TMEM51-AS1,-0.00092186965,0.53950244,0.923256400874028,GSE135893
TMEM51,-0.029505666,0.0040729437,0.03149007918922629,GSE135893
C1orf195,0.0,,1.0,GSE135893
FHAD1,9.977259e-05,0.95502764,1.0,GSE135893
RP3-467K16.2,0.0,,1.0,GSE135893
RP3-467K16.7,0.0,,1.0,GSE135893
RP3-467K16.4,-0.0003967823,0.29740217,0.6361638969490901,GSE135893
EFHD2,-0.03359884,0.006397998,0.04475278041921192,GSE135893
CTRC,0.0,,1.0,GSE135893
CELA2A,0.0,,1.0,GSE135893
