,rwr_up,rwr_down,rwr_net
10157,1.6886885253967523e-07,0.0001090608158725423,-0.00010889194702000262
10158,1.708949831190572e-06,0.0001717946432539625,-0.00017008569342277194
10159,2.042004577933577e-06,5.846369536780802e-05,-5.642169078987444e-05
1016,2.403935855907509e-06,4.1008254188647735e-07,1.9938533140210318e-06
10160,0.001274964492214846,1.2487645156097685e-07,0.001274839615763285
10161,2.6654472385662135e-05,3.6267851956166048e-06,2.302768719004553e-05
10162,0.0002757756739196706,1.7079659652919968e-05,0.0002586960142667506
10163,2.016322453131444e-05,7.851668707686607e-05,-5.8353462545551626e-05
10164,2.1115374789540744e-06,6.590421772429172e-07,1.4524953017111573e-06
10165,3.711886105743803e-07,8.46374558674551e-05,-8.426626725688071e-05
10166,1.570791984489058e-05,2.3118816953751823e-06,1.3396038149515395e-05
101669762,7.39865488605665e-08,6.150366944653874e-06,-6.0763803957933074e-06
10168,2.1877077308333453e-07,5.4566720395684545e-06,-5.23790126648512e-06
10169,2.9334109563654855e-06,0.0007720224574493672,-0.0007690890464930017
1017,3.074894986647045e-05,4.510476187090186e-05,-1.4355812004431407e-05
10170,6.98487775942182e-06,6.274166739765202e-06,7.107110196566183e-07
10171,1.203162414403022e-06,0.00010955577982798679,-0.00010835261741358377
10174,0.0002386460556531275,6.72271017399341e-06,0.00023192334547913408
10175,9.336510295184991e-07,0.000294131107444506,-0.0002931974564149875
10178,1.0223122367985707e-07,6.533956182968376e-07,-5.511643946169805e-07
10179,1.0306269315697223e-06,9.706540017020373e-05,-9.6034773238634e-05
1018,2.034142463224869e-06,6.054695792948961e-06,-4.020553329724092e-06
10181,7.265446744319781e-07,6.569963827858157e-05,-6.49730936041496e-05
10188,4.699258920310474e-05,1.9391968260278866e-06,4.505339237707686e-05
10189,5.43642014851247e-06,0.00010437993853983936,-9.89435183913269e-05
1019,1.6971676610724856e-05,0.0002656133450382275,-0.0002486416684275026
10190,7.18437529326455e-06,5.4291995272435416e-05,-4.710761997917087e-05
101928601,2.1208765374292398e-05,1.5329485963104443e-07,2.1055470514661352e-05
101929983,1.056677312307152e-07,7.243783632901238e-06,-7.138115901670523e-06
10193,2.1158835949195796e-06,3.3452442068637065e-05,-3.1336558473717486e-05
10194,3.1070062797172246e-05,1.3421293898189655e-06,2.972793340735328e-05
10195,8.093567053733393e-07,0.00012333190237320005,-0.00012252254566782672
10196,1.519287355481816e-05,4.35916035950346e-05,-2.839873004021644e-05
10197,1.6617665401829423e-06,0.00011673868598478919,-0.00011507691944460625
10198,2.994267097661402e-07,4.4187617119415955e-05,-4.3888190409649816e-05
10199,2.1182255600319084e-06,8.139050306143916e-05,-7.927227750140725e-05
102,0.0009598573476013807,2.345345282976021e-05,0.0009364038947716204
1020,6.688729181773947e-05,0.00012705275771796262,-6.016546590022315e-05
10200,1.1204881204149434e-06,4.927934475300861e-05,-4.815885663259367e-05
10201,1.875570585089674e-06,4.311761592971037e-05,-4.12420453446207e-05
10202,1.2617257794216704e-05,4.0135956153148e-05,-2.7518698358931295e-05
10203,1.4028167689899255e-06,7.439405845220804e-06,-6.036589076230879e-06
10204,7.15024792471597e-07,1.2157522464490048e-05,-1.144249767201845e-05
