drug,pearson,cmap
TAS-103,-0.010245266968372727,0.0
TG-100115,-0.08203414605625298,0.0
TG-100801,-0.01926048035795566,-0.09858983401410512
TG-101348,0.06147852587030038,-0.10066466891298209
TGX-221,0.0807013589018096,-0.14781798659264578
TH-302,-0.016102995216474056,0.0
THZ-2-98-01,-0.05280678566340896,0.0
TIC10,0.01860360093561038,0.0
TPCA-1,0.016267951122513603,0.0
TTNPB,0.0015129692293321551,0.0
TWS-119,0.05539717085155986,-0.10327665489334673
UK-383367,-0.012138275099668826,0.0
UNC-0321,0.05533535631852971,0.0
UNC-0638,0.03882783439335815,-0.09603596375958276
UNC-1215,-0.029584984030000476,-0.06879512978182534
UNC-669,0.03127491013095131,0.0
VE-821,0.07930319979684944,-0.12741108255966857
VE-822,-0.03674770551260434,0.0
VGX-1027,0.032969028360183235,-0.09782284501564495
VP-20629,-0.019354193843612318,0.0
VT-464,0.05662766692354693,-0.11274165093863003
VTP-27999,0.010791401158610311,-0.05841525645265861
VX-222,0.035002353011013454,-0.08911079185384746
VX-661,0.02192782636452169,-0.08709736720094892
VX-745,0.013952761471176365,-0.08679588984786356
VX-765,0.010575050238630685,0.0
WAY-362450,-0.04945797306491864,0.08592703371279817
WH-4-025,0.042973069726750024,0.0
WYE-125132,0.002389117609158639,0.0
WZ-3105,-0.06657307722497506,0.0
WZ-4-145,0.12344164011952864,-0.12120548052273641
WZ-4002,-0.039797548763609615,0.0
WZ-7043,0.10128981104750034,-0.11963005914490804
XBD-173,-0.01932423353380831,0.0
XL-147,-0.0030366740986206434,0.0
XL-888,0.06904690557746129,-0.12551389630427404
XMD-1150,0.0075063441341698236,0.0
XMD-1499,-0.03966107079385201,0.0
XMD-16144,0.013072049509208594,0.0
XMD-885,0.017995541230971558,0.07059914581819256
XMD-892,0.06857461993700316,-0.10551627586926401
XMD11-85H,0.01963808226173952,0.0
Y-26763,0.007584958068228319,0.0
Y-27152,0.012111109684602193,-0.07272106086417743
Y-27632,0.05513801328678548,0.0
Y-39983,0.08224294982995399,-0.11839009668350409
YM-155,-0.11405940865613107,0.17808451671369385
YM-201636,0.0281859639378592,-0.09636281018383658
YM-976,-0.08398146440446007,0.0733140284899306
Z160,0.06667987562458011,-0.09779942184988435
ZD-7114,0.013909309220642006,0.0
ZD-7288,-0.025993913929574886,0.0
ZK-200775,0.014651698171060592,0.0
ZK-811752,-0.03869045715297574,0.0
ZK-93423,0.04213224005368634,-0.11012017743261371
ZK-93426,-0.006273371397503437,-0.07235320682325821
ZM-447439,0.03485635683842265,-0.07596411398732644
ZSTK-474,0.07503931730496163,0.0
abacavir,0.016729678900126527,0.0
abiraterone-acetate,0.07670768002759602,-0.1398182254064134
acarbose,-0.058864483242541184,0.09769959343205999
acebutolol,0.012224799651455358,0.0
acecainide,-0.02392277082554923,0.0
acenocoumarol,-0.004501223639440072,-0.08780709664758114
acetazolamide,0.020451267742416415,0.0
acetylcysteine,-0.052192756196428255,0.0
acexamic-acid,0.05818703012306488,-0.10889245759388438
acifran,0.03583553047698375,-0.06154005938377377
acipimox,-0.027917667816852714,0.06268813029881842
acivicin,-0.039677103640378,0.0
aclidinium,0.06981117990241421,-0.12960042833043967
acrivastine,0.09740165305615679,-0.12972256401956395
actarit,-0.022354238285348733,0.0
acyclovir,-0.019294403828611705,0.0
adapalene,-0.05013732046126801,0.0
adarotene,-0.08397498320187317,0.0
adatanserin,0.040862712651223765,-0.10847137142703311
adenosine,-0.058809192850672286,0.07497812177458515
adoprazine,0.026411740998778764,-0.0750821377819441
afatinib,0.022909589457819703,-0.09907519277433663
afloqualone,0.030001337062133204,-0.09105124175054406
agomelatine,-0.010685503092301114,0.0
alagebrium,-0.13519511254339783,0.09162709859846212
alaproclate,-0.01711406401324804,0.0
albendazole,-0.03681049363253922,0.11974641864973949
alectinib,-0.06606974490989945,0.08787286492130397
alisertib,-0.07884434397495739,0.11181572918325905
aliskiren,-0.008087515866639533,0.0
alizapride,-0.07434840552200339,0.0
allopurinol,0.023245681499840024,-0.10223388092115179
almitrine,0.03659471501887818,0.0
almorexant,0.02932323086806027,0.0
alpelisib,0.12682654423406364,-0.17171908968202276
alprostadil,-0.06173505995250951,0.0
altanserin,-0.03811744432267244,-0.07615740924410687
altrenogest,-0.07772152123366204,0.0
altretamine,-0.051638964768253436,0.09533737323787864
alvespimycin,0.05307605660749579,-0.1009715139201682
alvimopan,0.018440736059378907,0.0
alvocidib,-0.014902162800748782,0.0
amantadine,0.009453283375122752,-0.10638458996211372
ambrisentan,-0.027482857195802072,0.0
ambroxol,0.0023417229701260985,0.0
amcinonide,-0.0967198887362207,0.0
amfepramone,0.008877210228325006,0.0
amikacin,0.0038407112685005414,0.0
amiloride,-0.017251249982084604,-0.08276720747086447
amineptine,0.014862669567014982,0.0
aminocaproic-acid,0.0384731361693507,-0.08666989419034446
aminoglutethimide,-0.009693049718570981,-0.07983989556667799
aminoguanidine,0.0008336745028391392,0.0
aminosalicylic-acid,0.004805239242553888,0.0
amiodarone,0.00013196590929575688,0.0
