drug,pearson,cmap
PF-431396,-0.06975762361603494,0.0
PF-477736,-0.023291251660989453,-0.21822512438844172
PF-562271,-0.06667513492388745,-0.40514544987408657
PF-573228,-0.0036223925184747634,0.0
PFI-1,0.041808257503073695,-0.20228443708741545
PH-797804,-0.0086755192523503,0.0
PHA-665752,0.012548079969112152,-0.2863388592246202
PHA-767491,-0.00546187022500026,0.20220171848886193
PHA-793887,-0.030285337425810525,0.27649016225711115
PHA-848125,0.02236724668208966,-0.18218649461327058
PI-103,0.013514625759388013,0.0
PIK-93,0.005488213350618357,-0.20213977299406127
PK-11195,-0.05850533698112603,0.0
PKI-179,0.06418328302131955,0.0
PLX-4720,-0.004551113506686038,-0.2217121725844103
PRX-08066,0.019322635943623243,-0.27662203918948713
PS-178990,-0.02148952172032195,-0.18557340374610204
PSI-6130,-0.07097462824380547,0.2690243056674668
PSI-7976,-0.04165687194616569,0.0
PX-12,0.018063198223264517,0.1478221528243618
QL-X-138,0.03556112078374359,0.0
QL-XI-92,-0.045453955321294766,0.19544000928912136
QL-XII-47,0.03897585078271833,0.0
R-428,0.016109844965781214,-0.2514740652193661
R-547,-0.008726371745786674,0.0
RAF-265,-0.011488280632626446,-0.2519757356196493
REV-5901,-0.06617786454168988,0.25666071450965094
RG-108,-0.013119137713160525,0.0
RG-2833,-0.006238252411326222,-0.21562584853039263
RG-4733,-0.023927164247295594,0.0
RGFP-966,0.01752214411108488,0.21028402674046828
RHO-kinase-inhibitor-III[rockout],-0.01752129253989162,-0.29024548321994426
RS-127445,-0.05627686202919779,-0.16031262144867242
RU-58841,0.023261367942614564,-0.2813191835857076
Ro-4987655,-0.0105108136498597,0.0
S-18986,-0.026146423027965132,-0.25026410305322616
S-ruxolitinib,0.035520407398408574,0.0
SAR-245408,0.019335470703982192,-0.26766278172413777
SAR-245409,-0.03218794823558264,-0.24754272242115333
SB-203580,-0.03872248022839941,0.194752568203463
SB-216763,-0.02689528385874705,0.0
SB-239063,0.011527431931893416,0.0
SB-242235,0.024561574824485427,0.0
SB-271046,-0.032786544487536706,0.0
SB-525334,0.0030998685568071446,-0.18046506021109543
SB-590885,-0.019917795016364162,-0.18648779741218685
SB-683698,-0.06753339151993454,-0.24894219241377474
SB-705498,0.0743709731032413,0.0
SB-743921,0.05038103846262423,0.0
SB-756050,-0.04814401952841934,0.0
SB-939,-0.025356487230501025,0.15292624704988486
SC-12267,-0.09622182473659964,0.22328071468812993
SCH-28080,-0.028005598652722577,0.0
SDZ-NKT-343,-0.03913554846913946,0.15701515554670992
SEP-227900,-0.013520303628350426,0.2106982949286414
SGI-1776,0.0049776388494592065,-0.15479187945602726
SGX523,-0.017294817652710057,0.0
SK&F-10047-(+),-0.0498614820558675,0.3158946405600916
SN-38,0.0008116137910184067,0.0
SNX-2112,0.0061037698053411716,0.23259889142400167
SR-2640,-0.052418928856313066,0.0
SR-27897,-0.05685246449396196,0.0
SR-33805,-0.10464713371153385,0.0
SR-57227A,-0.008220576153518226,-0.16109760736998963
ST-1859,0.01703591476724353,0.0
STA-5326,0.01354459592987904,0.0
SU-014813,-0.048704679932468006,0.0
SU-11274,-0.014602639270132833,-0.23900102531102108
SU-11652,-0.036456609955430985,-0.3048636454446928
SYK-inhibitor,-0.008786722936786936,-0.23928833581574627
T-5224,-0.029665902610599624,0.0
TAK-285,0.05476525144632861,0.2891071241539514
TAK-715,-0.010085451842713138,0.21007528691730581
TAK-733,-0.018470282908358525,-0.22987177443426382
TAK-875,0.006467167848175895,0.0
TAS-103,-2.0636926849887414e-05,0.26328140161845714
TG-100115,-0.05951371679529111,0.0
TG-100801,0.0007090912275311302,0.0
TG-101348,-0.01801006742774635,0.0
TGX-221,-0.04155597282405628,0.0
TH-302,-0.024910367928650572,-0.22398581436654902
THZ-2-98-01,0.0035737667091502237,-0.2237324447520816
TIC10,-0.004325361236776847,-0.20293830419585135
TPCA-1,0.002336482935767891,-0.2413113676936422
TTNPB,-0.024394900561377945,-0.1987173376432634
TWS-119,-0.06493761537940707,0.23394144356293284
UK-383367,-0.0032139896228336362,0.0
UNC-0321,0.01003786559533282,0.0
UNC-0638,-0.022144143305807825,0.0
UNC-1215,-0.03662386656163905,-0.18398432935878167
UNC-669,0.04044085605522602,-0.28043251881765796
VE-821,0.027410552415368886,0.0
VE-822,-0.006869480131513819,0.21995207880231188
VGX-1027,-0.027314703306563683,0.0
VP-20629,0.060439280688784444,-0.275066561416338
VT-464,-0.011758358653121316,0.0
VTP-27999,-0.06504165186047926,0.0
VX-222,0.05544323923581166,0.0
VX-661,0.005711010145746095,0.0
VX-745,-0.048149517658960396,0.258054132000323
VX-765,-0.05765172900696897,0.0
WAY-362450,-0.05870628834940236,-0.31943301338226504
WH-4-025,-0.017646334158609205,0.33054841870485074
WYE-125132,0.048140567496532234,0.0
WZ-3105,-0.03796252994198348,0.0
WZ-4-145,0.017577755173561974,0.0
WZ-4002,-0.04031300688750856,-0.23024145684481923
WZ-7043,0.042785620597426015,-0.22975194298797208
XBD-173,-0.042193918146246005,0.20115611892997265
XL-147,0.0031558884016529257,0.0
XL-888,0.010280781202562058,0.0
XMD-1150,0.002251455514957812,0.16966466356022397
XMD-1499,0.033073300908392896,-0.28882800854791074
XMD-16144,-0.021897922433298828,0.22908120690090417
XMD-885,0.017096202350402545,0.0
XMD-892,0.033550540795429955,0.0
XMD11-85H,0.007401828035278586,0.0
Y-26763,-0.0762438163512222,0.2007521479631374
Y-27152,-0.021294975633860777,-0.19356467270814617
Y-27632,-0.004791105814420334,-0.25738302925494766
Y-39983,0.007942454416009641,0.0
YM-155,0.01768343487158574,-0.205928735602105
YM-201636,0.005737918888562611,0.0
YM-976,0.029644261007971625,-0.31156758337092577
Z160,0.006997054460404297,-0.17103546661238694
ZD-7114,0.00018449378828080826,0.0
ZD-7288,0.021545251802815354,0.2694122820734818
ZK-200775,0.007670861990808114,0.23201056087513006
ZK-811752,0.03205686051041035,-0.24793947747350517
ZK-93423,0.030327729102274534,0.0
ZK-93426,0.011483437302228654,-0.20552899065427327
ZM-447439,0.03619893679472549,-0.25095846562270113
ZSTK-474,0.006366377278229217,-0.16332385699306395
abacavir,0.007984207365742587,0.0
abiraterone-acetate,0.007611812185403331,0.0
acarbose,0.03743121712030005,0.0
acebutolol,-0.02546565027202791,-0.26233243730964606
acecainide,-0.0500165182080375,0.0
acenocoumarol,-0.0033307133211539575,0.0
acetazolamide,-0.11058581324750938,0.0
