drug,pearson,cmap
EMD-1214063,0.04097292080786111,0.0
EMD-53998,-0.04885807716637772,0.10216466954891992
ENMD-2076,0.009971054803934275,-0.060923706732242996
EPZ-005687,0.025034188021041875,-0.11732478457476464
EVP-6124,0.013708052859465636,0.0
EX-527,-0.03318001004223061,0.0
FK-866,0.008251591918857302,0.0
FK-888,0.014660101968491431,0.0
FPL-55712,-0.049931450537353705,0.09723224428263956
FPL-62064,-0.05518705817754989,0.09472015395938574
FR-180204,-0.06405484344587342,0.11299989899980564
GDC-0068,-0.022617209462412333,0.07744543614214192
GDC-0152,-0.021631045384100017,0.07298627803025956
GDC-0834,-0.011063928108364492,0.0
GDC-0879,-0.04581344634253654,0.0
GDC-0941,0.04849440013256384,-0.07949861073677622
GDC-0980,0.02584327952999771,0.0
GNF-2,-0.09126420053991958,0.122466529502302
GSK-1059615,0.0007422112142474044,0.0
GSK-1070916,0.005486559843046235,0.0
GSK-1292263,-0.04211968291191206,0.12066597390852567
GSK-1904529A,-0.009710952834137816,0.0
GSK-2110183,0.014776604238911696,0.0
GSK-2126458,0.035673791103226465,-0.10544694908560126
GSK-2334470,-0.02760977319628841,0.09456026945325413
GSK-256066,-0.054383237444518166,0.0
GSK-2636771,-0.004519728272514529,0.0
GSK-3-inhibitor-II,-0.09876840621547944,0.13483509771165386
GSK-429286A,0.03661583392632634,-0.09207868679829623
GSK-461364,0.01809222037733577,-0.07892769258946689
GSK-690693,-0.0034507545214491884,0.0
GSK-923295,-0.021362068004331575,0.0
GSK-J1,-0.08242255692151881,0.13403539095285233
GSK-J2,-0.0077417362201761646,0.09615216469839508
GSK-J4,-0.026041011866488575,0.09989967211394946
GW-5074,-0.08444593405040283,0.0
GW-842166,-0.05754515778448762,0.12818972928593642
GW-843682X,-0.05674326040031682,0.11405843406866348
Gossypetin,-0.0557824828226047,0.0
HC-030031,-0.07065419769827297,0.1115103318134809
HG-14-10-04,0.05182110011074993,-0.1030977807064839
HG-5-113-01,0.011643864000164235,0.0
HG-5-88-01,-0.016574723763099264,0.0
HG-6-64-01,0.03429284794107812,-0.09399211382913461
HG-9-91-01,-0.049607210754508475,0.1457002729293365
HMN-214,-0.03377286334407601,0.08438154913954252
I-BET-151,0.07462616424348549,-0.14964359204791447
I-BET-762,0.0784346868311596,-0.14967872511756128
IB-MECA,-0.04759725213643748,0.10668173691306343
ICI-162846,-0.03210169802344579,0.08802535095873931
"ICI-185,282",-0.00989256067356385,0.0
ICI-192605,-0.06987873365131526,0.11644993871238984
IKK-2-inhibitor-V,0.0009482164603640568,0.0
IKK-inhibitor-X,-0.027895698015397954,0.0
IOWH-032,-0.015067608777273301,0.0
IOX2,-0.06443129048377708,0.1051058342356843
IPI-145,0.010399017500070974,-0.08167578203568972
JNJ-26481585,0.09779492405315289,-0.14489485697836282
JNJ-38877605,-0.0561700869746861,0.10548625460200109
JNK-9L,-0.09004852236843852,0.13322482197553165
JNK-IN-5A,-0.030214848650294297,0.0
JQ1-(+),0.07535657705127373,-0.10935154084872376
JQ1-(-),-0.06837013809398741,0.12561928407356632
JTC-801,0.012212506485041352,-0.06457770146687077
JTE-907,0.009792445904931588,-0.10285995070496397
JW-7-24-1,0.02038260389882414,0.0
JW55,-0.04470541192692909,0.1455793661686548
JWE-035,0.009858800254052252,0.0
KBG,-0.032224507991265805,0.13739454965556652
KD-023,0.01677987585300492,0.0
KD-025,0.026773990534127205,0.0
KI-20227,-0.050175661927130154,0.1307213606515428
