drug,ipf_pearson,ipf_cmap,ra_pearson,ra_cmap,uc_pearson,uc_cmap
CEP-32496,0.0009353511866517562,0.0,0.029404522549487055,0.0,0.03268649306004908,-0.06770237254986457
CEP-37440,0.005254261557775817,0.0,-0.005423091278297933,0.20674134039133693,0.02943628532483636,0.0
CG-930,-0.03419454633681059,0.09631223733968108,0.03403225496334537,0.0,0.032889054467369866,0.0
CGK-733,-0.040903119810871434,0.0,0.013472158139841088,-0.31447121330799704,-0.028070812266947905,0.0
CGP-12177,-0.009786227894893126,0.0,0.0539329572684738,0.0,-0.007307481007641826,0.0
CGP-60474,-0.06027052494356551,0.09227700688888951,-0.027125569470811968,0.0,-0.027965194117293625,0.0
CGS-20625,-0.04733817555095465,0.09784098613553054,-0.04641695567069899,0.0,0.007847118653279304,-0.07008289569184631
CHIR-99021,-0.06063534468807374,0.16007541958767388,-0.021399582625204278,-0.12933017165453253,-0.07370663478782087,0.0
CI-966,-0.02719585653300119,0.10790251914777113,-0.07672500731897315,-0.26921042946512963,0.0024635374802716493,-0.08982089387427616
CI-976,-0.04630624574442224,0.09476096725544389,-0.029852529503839056,0.0,0.002328476171133622,-0.05416084137513495
CL-218872,-0.022514552747385456,0.08501557743227975,0.02535791926175537,-0.2579186712786224,-0.09617788292805476,0.07732592565725316
CNQX,-0.04346137504182044,0.07296616419110796,0.022574810059073986,-0.25255096217114725,0.0032623051873094866,0.08888541954254994
CO-102862,-0.00594483415363214,0.0,-0.018209053516649965,-0.21174413366752529,0.016163108373692222,0.0
CP-466722,-0.10217534005342074,0.1322095986537242,-0.001145751680716026,-0.25853720055634866,-0.0730406210314192,0.0
CP-724714,-0.04039357013644115,0.08219794637052925,0.051478898445840124,-0.24918998937221248,-0.05139232640491779,0.0
CP-945598,-0.02692360020345569,0.10245742096974242,-0.06915699794953988,0.2516015371727931,0.010260936539077163,0.0
CPI-1189,-0.060442055442648066,0.13472909029816807,-0.08938632103452547,0.14639206638322957,0.006266205754891526,0.0
CPI-613,-0.021944786547588892,0.07357566572989883,-0.021449983425284383,0.0,-0.0527217665322702,0.08262297840672864
CT-7758,-0.05253219837777593,0.12001085329848069,-0.02995028855280917,0.28243953575250985,0.04445126993968627,0.0
CTB,-0.08100835192932095,0.16583025785414252,0.03883894216022728,-0.20207341105853766,-0.02307477838400949,0.0
CTS-1027,-0.020028690100437313,0.0,-0.008388538963375602,-0.1448622482775266,0.02820454852436795,0.0
CX-4945,-0.026401903758552222,0.1532161288690861,-0.055689106398723216,0.0,-0.05659559237737001,0.08779640239651287
CX-516,-0.05604640345638601,0.11589286149736797,0.04533417137007067,0.0,0.024180524035618222,0.0
CX-5461,-0.10291335501061713,0.11115342537208162,0.01435644210912406,-0.236383621690902,0.059849197921549704,-0.07487245607404444
CYT-997,-0.021971519651347644,0.08571142923265161,0.05297946188704375,0.0,-0.10869920157997354,0.1789791334688024
CYT387,-0.07755324820367919,0.12081509604852239,-0.017694142346405567,-0.22924210362990924,-0.0012407020799207983,0.06385538559611442
D-4476,0.09713293430750397,-0.1625720796780889,-0.016527047659895135,-0.1854404408231527,0.05278031967256252,-0.12147700512315288
D-serine,-0.041986563584725696,0.11488444950326801,-0.0331949941725024,0.0,0.053492575709797846,-0.12681405391668552
DMP-543,0.000889292219513981,0.07732616243115409,-0.038621558833875545,-0.24117645887965128,-0.0033627877015955797,-0.08035740547618125
DMP-777,-0.04637062351873128,0.09244199196355633,-0.004504106371201533,-0.18705884818658025,0.029925615501122178,-0.10114082128788321
DPCPX,-0.004521887103612217,0.0,0.02114994002062077,0.2254343359706083,-0.07430176963099747,0.10128262837715574
DPI-201106,0.030801955633860924,-0.09290463449983559,0.040491200345812585,-0.2617182675685878,-0.06460254414542403,0.09244269918307779
DU-728,-0.08876390928270197,0.19381296177328233,-0.05331874917956494,-0.22857982441459493,-0.003825683306186482,0.0
E-2012,-0.07557621868942427,0.0,-0.02380616558693481,0.0,-0.047437688721123784,0.0
EMD-1214063,0.04097292080786111,0.0,0.0019301869119784153,0.0,0.0437320176577401,0.0
EMD-53998,-0.04885807716637772,0.10216466954891992,-0.08465547761460467,0.33360345847884615,-0.010002729591125014,0.0
ENMD-2076,0.009971054803934275,-0.060923706732242996,0.019484701593145918,0.2296857523052839,0.10560029482206433,-0.1368440759117639
EPZ-005687,0.025034188021041875,-0.11732478457476464,0.03788186148953991,0.0,0.010505621231049709,0.0
EVP-6124,0.013708052859465636,0.0,-0.02521951231694913,0.26174378823085676,0.017897741069867336,0.0
