drug,ipf_pearson,ipf_cmap,ra_pearson,ra_cmap
BMS-777607,-0.05141520978902429,0.12059034987749284,-0.004400349728271029,0.0
BMS-927711,0.0038811096180002614,-0.07259224498186162,-0.008759019913667464,0.2879017512659343
BMY-14802,-0.028449856192124628,0.0,-0.039588316214260275,0.0
BRD-K68548958,-0.029632527053040574,0.0,-0.03167178748383556,0.0
BRD-K73261812,-0.009063325358674454,-0.08202292913205969,0.01240610732566573,-0.12946197718806868
BS-181,0.003335349325965414,0.0,-0.0009576666786785687,0.19128054271455383
BTS-54505,-0.07566959880657692,0.13967768709348521,-0.03207458419390996,0.0
BVD-523,0.005529328088075693,0.0,-0.026898618231240883,0.0
BX-795,-0.0062006423681214805,0.0,-0.0436228479230624,0.14122047191088127
BX-912,-0.0683345324811075,0.10893137175231632,-0.05069191425338893,0.0
CB-10-277-(free-acid),-0.05386217409424775,0.0977282073669549,0.02422489049642184,-0.2092103691050412
CC-401,-0.018828439971160377,0.07906269193090736,-0.05237572294257165,-0.19611612247910137
CC-930,0.05057333874076829,-0.14907692174055545,-0.03833358395667914,0.30725750787978123
CEP-32496,0.0009353511866517562,0.0,0.029404522549487055,0.0
CEP-37440,0.005254261557775817,0.0,-0.005423091278297933,0.20674134039133693
CG-930,-0.03419454633681059,0.09631223733968108,0.03403225496334537,0.0
CGK-733,-0.040903119810871434,0.0,0.013472158139841088,-0.31447121330799704
CGP-12177,-0.009786227894893126,0.0,0.0539329572684738,0.0
CGP-60474,-0.06027052494356551,0.09227700688888951,-0.027125569470811968,0.0
CGS-20625,-0.04733817555095465,0.09784098613553054,-0.04641695567069899,0.0
CHIR-99021,-0.06063534468807374,0.16007541958767388,-0.021399582625204278,-0.12933017165453253
CI-966,-0.02719585653300119,0.10790251914777113,-0.07672500731897315,-0.26921042946512963
CI-976,-0.04630624574442224,0.09476096725544389,-0.029852529503839056,0.0
CL-218872,-0.022514552747385456,0.08501557743227975,0.02535791926175537,-0.2579186712786224
CNQX,-0.04346137504182044,0.07296616419110796,0.022574810059073986,-0.25255096217114725
CO-102862,-0.00594483415363214,0.0,-0.018209053516649965,-0.21174413366752529
CP-466722,-0.10217534005342074,0.1322095986537242,-0.001145751680716026,-0.25853720055634866
CP-724714,-0.04039357013644115,0.08219794637052925,0.051478898445840124,-0.24918998937221248
CP-945598,-0.02692360020345569,0.10245742096974242,-0.06915699794953988,0.2516015371727931
CPI-1189,-0.060442055442648066,0.13472909029816807,-0.08938632103452547,0.14639206638322957
CPI-613,-0.021944786547588892,0.07357566572989883,-0.021449983425284383,0.0
CT-7758,-0.05253219837777593,0.12001085329848069,-0.02995028855280917,0.28243953575250985
